intervention_type,interventions_normalized,study_type,completion_yr,phase,overall_status,n,mesh
Drug,ldv,Interventional,2017,Phase 3,Completed,1,coinfection
Biological,autologous cd19car-cd28-cd3zeta-egfrt-expressing tn/mem-enriched t-lymphocytes,Interventional,2021,Phase 1,Recruiting,1,"leukemia, prolymphocytic, b-cell"
Drug,ipilimumab,Interventional,2008,Phase 1,Completed,1,"neoplasms, germ cell and embryonal"
Other,internet-based intervention,Interventional,2022,N/A,Recruiting,1,colorectal neoplasms
Behavioral,cognitive behavioral therapy (cbt),Interventional,2020,N/A,"Active, not recruiting",2,"stress disorders, traumatic"
Behavioral,acceptance/commitment therapy,Interventional,2019,N/A,Recruiting,1,chronic pain
Drug,cyclosporine,Interventional,NA,Phase 2,Completed,3,leukemia
Biological,fluarix [nh 2007,Interventional,2007,Phase 2,Completed,1,"influenza, human"
Drug,topical spray on the cervix,Interventional,2012,Phase 2,Unknown status,1,virus diseases
Drug,dapagliflozin/metformin ir fdcfed,Interventional,2013,Phase 1,Completed,1,"diabetes mellitus, type 2"
Device,syringe,Interventional,2016,N/A,Completed,1,drug overdose
Drug,selumetinib,Interventional,2013,Phase 2,Withdrawn,1,gallbladder neoplasms
Drug,fludarabine,Interventional,2030,Phase 2,Not yet recruiting,1,neoplasms
Behavioral,american heart association step 2 diet / 10 g/day flax seed,Interventional,NA,Phase 2,Completed,1,osteoporosis
Drug,ampligen,Interventional,NA,N/A,Completed,1,infection
Diagnostic Test,neuroimaging studies,Observational [Patient Registry],2020,NA,Recruiting,1,atherosclerosis
Behavioral,educational outreach visits,Interventional,2014,N/A,Unknown status,1,gastroesophageal reflux
Drug,mirtazapine,Interventional,2015,Phase 4,Completed,1,"depressive disorder, major"
Drug,telbivudine/lamivudine,Interventional,2006,Phase 3,Completed,1,hepatitis
Drug,tenofovir plus telbivudine,Interventional,2011,N/A,Withdrawn,1,hepatitis b
Other,methacholine(mch) challenge testing,Interventional,2017,N/A,Completed,1,asthma
Procedure,blood sample,Observational,2016,NA,Completed,1,motor neuron disease
Dietary Supplement,t-diet plus standard,Interventional,2014,N/A,Unknown status,1,metabolic syndrome
Other,integrated care,Interventional,2007,Phase 3,Completed,1,"lung diseases, obstructive"
Drug,cytarabine,Interventional,2013,Phase 1,Withdrawn,1,"leukemia, myeloid, acute"
Other,quantitative brain imaging,Observational,2018,NA,Completed,1,hodgkin disease
Drug,metformin,Interventional,2008,Phase 3,Completed,1,polycystic ovary syndrome
Drug,5 mg tadalafil,Interventional,2015,Phase 3,Completed,1,prostatic hyperplasia
Drug,ondansetron 4 mg,Interventional,2008,N/A,Withdrawn,1,postoperative nausea and vomiting
Procedure,preoperative preparation 2010,Interventional,2011,N/A,Completed,1,"carcinoma, ovarian epithelial"
Drug,on 01910.na,Interventional,2018,Phase 3,"Active, not recruiting",1,myelodysplastic syndromes
Drug,corticoids/ tocilizumab 8mg/kg/4 weeks,Interventional,2015,Phase 2,Completed,1,polymyalgia rheumatica
Behavioral,control group,Interventional,2009,N/A,Withdrawn,1,wounds and injuries
Drug,saline irrigation with ethanol,Interventional,2015,N/A,Completed,1,hypertrophy
Drug,anluohuaxian,Interventional,2020,N/A,Recruiting,1,virus diseases
Other,dxa scan,Interventional,2012,N/A,Terminated,1,hemophilia b
Drug,cytarabine,Interventional,2001,Phase 2,Completed,3,"leukemia, myeloid"
Biological,rituximab,Interventional,2011,Phase 2,Completed,1,"lymphoma, follicular"
Drug,meloxicam test capsules,Interventional,2013,Phase 3,Completed,1,osteoarthritis
Drug,neumega),Interventional,2011,Phase 2,Completed,1,"leukemia, myeloid"
