mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,198,199,200,201,202,203,n_gl
hepatitis,Drug,ombitasvir,13,,1,,,,14,,,14
myelodysplastic syndromes,Drug,cytarabine,8,1,,,,6,2,1,,9
atherosclerosis,Drug,prednisone,1,,1,,,1,1,,,2
tinea pedis,Drug,naftinâ® 2% (naftifine hydrochloride 2%),2,,,,,,2,,,2
communicable diseases,Drug,dexamethasone,3,,,,,1,2,,,3
head and neck neoplasms,Drug,methotrexate,2,,,,,1,1,,,2
furcation defects,Procedure,open flap debridement (ofd),3,,,,,,3,,,3
renal insufficiency,Drug,vildagliptin,4,,,,,,4,,,4
fever,Drug,acetaminophen,2,,,,,1,1,,,2
crohn disease,Drug,certolizumab pegol (cdp870),2,,,,,2,,,,2
inflammation,Drug,c1-esterase inhibitor,1,,1,,,,2,,,2
nephrotic syndrome,Drug,rituximab,3,,1,,,,4,,,4
hepatitis b,Biological,dtap-ipv-hep b-prp~t,2,,,,,,2,,,2
diabetes mellitus,Drug,glucagen,2,,,,,,2,,,2
"hepatitis, chronic",Drug,daclatasvir,2,,,,,,2,,,2
hepatitis,Drug,simeprevir,3,,,,,,3,,,3
"arthritis, rheumatoid",Drug,methylprednisolone,4,,,,,4,,,,4
hypertension,Drug,timolol,8,,,,3,1,4,,,8
hypertension,Drug,"brinzolamide ophthalmic suspension, 1%",2,,,,,,2,,,2
burns,Procedure,split skin graft,2,,,,,,2,,,2
fibrosis,Drug,tolvaptan,3,,,,,,3,,,3
"pneumonia, bacterial",Drug,daptomycin,2,,,,,2,,,,2
metabolic diseases,Drug,fenofibrate (f) / metformin (m) hydrochloride fixed combination,1,,1,,,2,,,,2
hypertension,Drug,dorzolamide hydrochloride (,2,,,,,2,,,,2
"hypertension, pulmonary",Drug,distilled water,2,,,,,,2,,,2
"renal insufficiency, chronic",Drug,darbepoetin alfa,21,,2,,,9,14,,,23
"lymphoma, large b-cell, diffuse",Biological,mabthera,1,,1,,,,2,,,2
lung diseases,Drug,salbutamol,6,,,,,1,5,,,6
"conjunctivitis, allergic",Drug,de-114 ophthalmic solution,2,,,,,,2,,,2
scabies,placebo,placebo,2,,,,,,2,,,2
leukoencephalopathies,Drug,melatonin 20 âµg,NA,,2,,,,2,,,2
diabetes mellitus,Drug,usual care,1,,1,,,1,1,,,2
glaucoma,Device,oculusgen biodegradable collagen matrix implant,3,,,,,2,1,,,3
"vision, low",Procedure,laser,2,,,,,,2,,,2
urologic diseases,Drug,mirabegron,3,,,,,,3,,,3
sclerosis,Drug,laquinimod,2,,2,,,,4,,,4
irritable bowel syndrome,Drug,ibodutant 10 mg,1,,1,,,,2,,,2
parkinson disease,Drug,istradefylline 20 mg,2,,,,,,2,,,2
anovulation,Drug,clomiphene citrate,3,,,,,1,2,,,3
infarction,Drug,bivalirudin,1,,1,,,1,1,,,2
