mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,198,199,200,201,202,203,n_gl
abdominal neoplasms,Drug,dexmedetomidine,2,,,,,,2,,,2
abdominal neoplasms,Drug,ketamine,2,,,,,,2,,,2
abdominal pain,placebo,placebo,7,,,,,2,5,,,7
abdominal pain,Dietary Supplement,probiotic dietary supplement (trenev trioâ®),2,,,,,,2,,,2
abdominal pain,Drug,bifilactâ®,2,,,,,,2,,,2
"abortion, spontaneous",Drug,misoprostol,5,,,,,,5,,,5
"abortion, spontaneous",placebo,placebo,4,,,,,1,3,,,4
"abortion, spontaneous",Drug,dydrogesterone,2,,,,,1,1,,,2
"abortion, spontaneous",Drug,letrozole,2,,,,,,2,,,2
"abortion, spontaneous",Drug,vaginal misoprostol,2,,,,,,2,,,2
"abortion, spontaneous",placebo,placebo oral tablet,2,,,,,,1,1,,2
"abortion, threatened",placebo,placebo,1,,1,,,,2,,,2
abscess,Drug,iv vancomycin,2,,,,,,2,,,2
abscess,Drug,meropenem,1,,1,,,1,1,,,2
abscess,Drug,single-dose iv oritavancin diphosphate,2,,,,,,2,,,2
abscess,placebo,placebo,2,,,,,1,1,,,2
acidosis,placebo,placebo,3,,,,,,3,,,3
acidosis,Drug,trc101,2,,,,,,2,,,2
acne vulgaris,placebo,placebo,14,,1,,,1,14,,,15
acne vulgaris,Drug,vehicle foam,6,,,,,,6,,,6
acne vulgaris,Drug,vehicle gel,6,,,,,3,3,,,6
acne vulgaris,Drug,clindamycin,4,,,,,3,1,,,4
acne vulgaris,Drug,adapalene,3,,,,,1,2,,,3
acne vulgaris,Drug,benzoyl peroxide,3,,,,,3,,,,3
acne vulgaris,Drug,benzoyl peroxide gel,3,,,,,1,2,,,3
acne vulgaris,Drug,"cb-03-01 cream, 1%",3,,,,,,3,,,3
acne vulgaris,Drug,"olumacostat glasaretil gel, 5.0%",3,,,,,,3,,,3
acne vulgaris,Drug,sarecycline,3,,,,,,3,,,3
acne vulgaris,Drug,sb204 4%,3,,,,,,3,,,3
acne vulgaris,Drug,vehicle,3,,,,,2,1,,,3
acne vulgaris,Drug,2.5%,2,,,,,,2,,,2
acne vulgaris,Drug,"aczoneâ® (dapsone) gel, 7.5% (allergan, inc.)",2,,,,,,,2,,2
acne vulgaris,Drug,adapalene lotion 0.1%,2,,,,,2,,,,2
acne vulgaris,Drug,adapalene lotion vehicle,2,,,,,2,,,,2
acne vulgaris,Drug,clindamycin 1%,2,,,,,,2,,,2
acne vulgaris,Drug,clindamycin gel,2,,,,,1,,1,,2
acne vulgaris,Drug,clindamycin phosphate,2,,,,,,2,,,2
acne vulgaris,Drug,dapsone gel,2,,,,,,2,,,2
acne vulgaris,Drug,dapsone gel vehicle,2,,,,,,2,,,2
acne vulgaris,Drug,duacâ„¢once daily gel,2,,,,,,2,,,2
acne vulgaris,Drug,duacâ® gel,2,,,,,,2,,,2
acne vulgaris,Drug,"fmx-101, 4% minocycline foam",2,,,,,,2,,,2
acne vulgaris,Drug,g cream,2,,,,,,2,,,2
acne vulgaris,Drug,gk530g,2,,,,,,2,,,2
acne vulgaris,Drug,idp-110,2,,,,,2,,,,2
acne vulgaris,Drug,idp-121 vehicle lotion,2,,,,,,2,,,2
acne vulgaris,Drug,idp-123 lotion,2,,,,,,2,,,2
acne vulgaris,Drug,idp-123 vehicle lotion,2,,,,,,2,,,2
acne vulgaris,Drug,isotretinoin,2,,,,,,2,,,2
acne vulgaris,Drug,s6g5t-3,2,,,,,,2,,,2
acne vulgaris,Drug,s6g5t-8,2,,,,,,2,,,2
acne vulgaris,Drug,tazarotene (fabiorâ„¢),2,,,,,,2,,,2
acne vulgaris,Drug,tazarotene foam,2,,,,,,2,,,2
acne vulgaris,Drug,tazoracâ®,2,,,,,,2,,,2
acne vulgaris,Drug,topical gel vehicle,2,,,,,1,1,,,2
acne vulgaris,Drug,vehicle cream,2,,,,,,2,,,2
acne vulgaris,Other,"olumacostat glasaretil gel, vehicle",2,,,,,,2,,,2
acne vulgaris,placebo,placebo cream,2,,,,,,2,,,2
acquired immunodeficiency syndrome,placebo,placebo,12,,2,,,7,7,,,14
acquired immunodeficiency syndrome,Drug,lamivudine,6,,1,,,2,5,,,7
acquired immunodeficiency syndrome,Drug,lopinavir,6,,,,,4,2,,,6
acquired immunodeficiency syndrome,Drug,ritonavir,6,,,,,2,4,,,6
acquired immunodeficiency syndrome,Drug,zidovudine,6,,,,,2,4,,,6
acquired immunodeficiency syndrome,Drug,tdf,5,,,,,,5,,,5
acquired immunodeficiency syndrome,Drug,abacavir,4,,,,,2,2,,,4
acquired immunodeficiency syndrome,Drug,c,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,dolutegravir,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,drv,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,e,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,efavirenz,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,f,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,ftc,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,raltegravir,4,,,,,,4,,,4
acquired immunodeficiency syndrome,Drug,serostimâ®,4,,,,,4,,,,4
acquired immunodeficiency syndrome,Drug,abacavir/lamivudine,3,,,,,2,1,,,3
acquired immunodeficiency syndrome,Drug,atv,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Drug,cobi,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Drug,e/c/f/taf,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Drug,ftc/tdf,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Drug,maraviroc,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Drug,r),3,,,,,1,2,,,3
acquired immunodeficiency syndrome,Drug,ribavirin,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Drug,ritonavir (lpv,3,,,,,3,,,,3
acquired immunodeficiency syndrome,Drug,stribild,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Drug,taf,3,,,,,,3,,,3
acquired immunodeficiency syndrome,Biological,begrivacâ®,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Biological,focetriaâ®,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Biological,î±1 proteinase inhibitor,,,2,,,,2,,,2
acquired immunodeficiency syndrome,Drug,acyclovir,2,,,,1,1,,,,2
acquired immunodeficiency syndrome,Drug,darunavir,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,dtg 50 mg,1,1,,,,,1,1,,2
acquired immunodeficiency syndrome,Drug,e/c/f/tdf,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,emtricitabine,2,,,,,2,,,,2
acquired immunodeficiency syndrome,Drug,evg,1,,1,,,,2,,,2
acquired immunodeficiency syndrome,Drug,fluconazole,2,,,,1,,1,,,2
acquired immunodeficiency syndrome,Drug,fosamprenavir,2,,,,,2,,,,2
acquired immunodeficiency syndrome,Drug,glecaprevir,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,glecaprevir/pibrentasvir,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,lopinavir/ritonavir,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,nevirapine,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,nevirapine (nvp),2,,,,,1,1,,,2
acquired immunodeficiency syndrome,Drug,nrtis,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,pibrentasvir,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,r,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,rbv,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,rtv,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,sof,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,sofosbuvir,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,truvadaâ®,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,valacyclovir,2,,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,vicriviroc,2,,,,,2,,,,2
acquired immunodeficiency syndrome,Other,"atorvastatin, lipitorâ®",2,,,,,,2,,,2
acromegaly,Drug,lanreotide (autogel formulation),3,,,,,3,,,,3
acromegaly,Drug,lanreotide autogelâ®,2,,,,,,2,,,2
acromegaly,Drug,octreotide,1,,1,,,,2,,,2
acromegaly,Drug,octreotide lar,2,,,,,2,,,,2
acromegaly,Drug,pasireotide,2,,,,,,2,,,2
acute chest syndrome,placebo,placebo,1,,1,,,1,1,,,2
acute coronary syndrome,placebo,placebo,18,,3,,,5,16,,,21
acute coronary syndrome,Drug,clopidogrel,12,,1,,,3,10,,,13
acute coronary syndrome,Drug,prasugrel,11,,,,,1,10,,,11
acute coronary syndrome,Drug,ticagrelor,3,,1,,,1,3,,,4
acute coronary syndrome,Drug,enoxaparin,2,,1,,,2,1,,,3
acute coronary syndrome,Device,percutaneous coronary intervention,2,,,,,,2,,,2
acute coronary syndrome,Drug,aspirin,,,2,,,1,1,,,2
acute coronary syndrome,Drug,atorvastatin,1,,1,,,2,,,,2
acute coronary syndrome,Drug,oxygen,2,,,,,,2,,,2
acute coronary syndrome,placebo,placebo bolus & placebo infusion,,,2,,,2,,,,2
acute coronary syndrome,placebo,placebo capsules - end of infusion,,,2,,,2,,,,2
acute disease,placebo,placebo,4,,1,,,2,3,,,5
acute disease,Drug,azithromycin sr,2,,,,,2,,,,2
acute kidney injury,placebo,placebo,6,,1,,,,7,,,7
acute kidney injury,Device,with blood volume management (bvmâ®) only,2,,,,,,2,,,2
acute kidney injury,Drug,darbepoetin-î±,,,2,,,,2,,,2
acute kidney injury,Drug,fenoldopam,2,,,,,,2,,,2
acute kidney injury,Drug,n-acetylcysteine,2,,,,,1,1,,,2
acute kidney injury,Drug,normal saline,1,,1,,,1,1,,,2
acute lung injury,placebo,placebo,2,,4,,,2,4,,,6
acute lung injury,Behavioral,full feeding,1,,1,,,1,1,,,2
acute lung injury,Behavioral,minimal (trophic) feeding,1,,1,,,1,1,,,2
acute lung injury,Drug,calfactant,1,,1,,,,2,,,2
acute pain,placebo,placebo,22,1,2,,,6,18,1,,25
acute pain,Drug,hydromorphone,4,,1,,,3,2,,,5
acute pain,Drug,morphine,5,,,,,3,2,,,5
acute pain,Drug,iv acetaminophen,3,,,,,1,2,,,3
acute pain,Drug,ketamine,2,,1,,,,3,,,3
acute pain,Drug,methoxyflurane,2,1,,,,,2,1,,3
acute pain,placebo,matching placebo patch,3,,,,,3,,,,3
acute pain,Drug,celecoxib (celebrexâ®),2,,,,,,2,,,2
acute pain,Drug,dexketoprofen,2,,,,,,2,,,2
acute pain,Drug,dexketoprofen-multiple doses,2,,,,,,2,,,2
acute pain,Drug,dexketoprofen-single dose,2,,,,,,2,,,2
acute pain,Drug,dexketoprofen/tramadol-multiple doses,2,,,,,,2,,,2
acute pain,Drug,dexketoprofen/tramadol-single dose,2,,,,,,2,,,2
acute pain,Drug,diclofenac sodium,2,,,,,2,,,,2
acute pain,Drug,mr308,2,,,,,,2,,,2
acute pain,Drug,oliceridine,2,,,,,,2,,,2
acute pain,Drug,tapentadol ir 50 mg,2,,,,,,2,,,2
acute pain,Drug,tapentadol ir 75 mg,2,,,,,,2,,,2
acute pain,Drug,tramadol,2,,,,,,2,,,2
acute pain,Drug,tramadol-multiple doses,2,,,,,,2,,,2
acute pain,Drug,tramadol-single dose,2,,,,,,2,,,2
acute pain,Drug,tramadol (ultramâ®),2,,,,,,2,,,2
acute pain,Drug,zalvisoâ„¢ 15 mcg,2,,,,,,2,,,2
adenocarcinoma,placebo,placebo,12,,4,,,6,10,,,16
adenocarcinoma,Drug,cisplatin,12,,3,,,4,11,,,15
adenocarcinoma,Drug,paclitaxel,10,3,,,,3,7,3,,13
adenocarcinoma,Drug,fluorouracil,9,,2,,,7,4,,,11
adenocarcinoma,Drug,oxaliplatin,8,,3,,,5,6,,,11
adenocarcinoma,Other,laboratory biomarker analysis,8,1,1,,,5,4,1,,10
adenocarcinoma,Biological,bevacizumab,7,1,1,,,5,3,1,,9
adenocarcinoma,Drug,gemcitabine,5,1,3,,,,8,1,,9
adenocarcinoma,Drug,leucovorin calcium,7,,2,,,6,3,,,9
adenocarcinoma,Other,quality-of-life assessment,4,3,,,,,4,3,,7
adenocarcinoma,Drug,docetaxel,5,,1,,,1,5,,,6
adenocarcinoma,Drug,carboplatin,4,1,,,,3,1,1,,5
adenocarcinoma,Drug,irinotecan,3,,1,,,1,3,,,4
adenocarcinoma,Drug,bevacizumab,1,,2,,,1,2,,,3
adenocarcinoma,Drug,capecitabine,1,,2,,,2,1,,,3
adenocarcinoma,Drug,gefitinib,3,,,,,2,1,,,3
adenocarcinoma,Drug,irinotecan hydrochloride,3,,,,,2,1,,,3
adenocarcinoma,Drug,nab-paclitaxel,1,,2,,,,3,,,3
adenocarcinoma,Other,questionnaire administration,2,1,,,,,2,1,,3
adenocarcinoma,Procedure,quality-of-life assessment,3,,,,,1,2,,,3
adenocarcinoma,Radiation,radiation therapy,3,,,,,2,1,,,3
adenocarcinoma,Biological,cetuximab,2,,,,,,2,,,2
adenocarcinoma,Drug,5-fluorouracil,2,,,,,1,1,,,2
adenocarcinoma,Drug,bibw 2992,2,,,,,,2,,,2
adenocarcinoma,Drug,erlotinibâ®,2,,,,,,2,,,2
adenocarcinoma,Drug,gefitinibâ®,2,,,,,,2,,,2
adenocarcinoma,Drug,gemcitabine hydrochloride,2,,,,,1,1,,,2
adenocarcinoma,Drug,icotinibâ®,2,,,,,,2,,,2
adenocarcinoma,Drug,leucovorin,1,,1,,,1,1,,,2
adenocarcinoma,Drug,pemetrexed,1,,1,,,,2,,,2
adenocarcinoma,Drug,topotecan hydrochloride,2,,,,,,2,,,2
adenocarcinoma,Drug,vinorelbine tartrate,2,,,,,1,1,,,2
adenocarcinoma,Other,best supportive care (bsc),2,,,,,,2,,,2
adenocarcinoma,Procedure,adjuvant therapy,2,,,,,1,1,,,2
adenocarcinoma,Procedure,chemotherapy,2,,,,,1,1,,,2
adenocarcinoma,Procedure,therapeutic conventional surgery,2,,,,,1,1,,,2
adenocarcinoma,Radiation,radiotherapy,2,,,,,,2,,,2
adenocarcinoma of lung,Drug,paclitaxel,4,,,,,3,1,,,4
adenocarcinoma of lung,Drug,carboplatin,3,,,,,3,,,,3
adenocarcinoma of lung,Drug,cisplatin,2,,1,,,2,1,,,3
adenocarcinoma of lung,Drug,docetaxel,2,,1,,,1,2,,,3
adenocarcinoma of lung,placebo,placebo,3,,,,,2,1,,,3
adenocarcinoma of lung,Drug,erlotinibâ®,2,,,,,,2,,,2
adenocarcinoma of lung,Drug,gefitinib,2,,,,,1,1,,,2
adenocarcinoma of lung,Drug,gefitinibâ®,2,,,,,,2,,,2
adenocarcinoma of lung,Drug,icotinibâ®,2,,,,,,2,,,2
adenocarcinoma of lung,Other,laboratory biomarker analysis,2,,,,,1,1,,,2
adenocarcinoma of lung,Radiation,radiation therapy,2,,,,,2,,,,2
"adenocarcinoma, bronchiolo-alveolar",Drug,carboplatin,2,,,,,2,,,,2
"adenocarcinoma, bronchiolo-alveolar",Drug,gefitinib,2,,,,,1,1,,,2
"adenocarcinoma, bronchiolo-alveolar",Drug,paclitaxel,2,,,,,2,,,,2
"adenocarcinoma, bronchiolo-alveolar",Other,laboratory biomarker analysis,2,,,,,1,1,,,2
"adenocarcinoma, bronchiolo-alveolar",placebo,placebo,2,,,,,1,1,,,2
"adenocarcinoma, clear cell",Drug,paclitaxel,2,1,,,,,2,1,,3
"adenocarcinoma, clear cell",Other,quality-of-life assessment,1,2,,,,,1,2,,3
"adenocarcinoma, clear cell",Biological,bevacizumab,1,1,,,,,1,1,,2
"adenocarcinoma, clear cell",Drug,carboplatin,1,1,,,,,1,1,,2
"adenocarcinoma, mucinous",Drug,fluorouracil,2,,,,,1,1,,,2
