mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,197,199,200,201,202,n_gl
sepsis,Drug,rheosorbilactâ®,2,,,,,,2,,2
infarction,Drug,atorvastatin,6,,,,,3,3,,6
diabetes mellitus,Drug,dulaglutide,3,,,,,,3,,3
pelvic organ prolapse,placebo,placebo,3,,1,,,,4,,4
"jaw, edentulous",Procedure,abutment connection,2,,,,,,2,,2
acne vulgaris,Drug,clindamycin/benzoyl peroxide,2,,,,,2,,,2
meningitis,Biological,"meningococcal (groups a, c, y",2,,,,,,2,,2
wounds and injuries,Drug,ibuprofen,2,,,,,1,1,,2
obsessive-compulsive disorder,Drug,fluvoxamine,2,,,,,,2,,2
chagas disease,Drug,benznidazole,2,,,,,,2,,2
prediabetic state,Drug,metformin,4,,,,,,4,,4
communicable diseases,Drug,"mupirocin calcium ointment, 2%",2,,,,,1,1,,2
peripheral arterial disease,Drug,clopidogrel,4,,,,,1,3,,4
asthma,Drug,salmeterol xinofoate 250,2,,,,,2,,,2
ocular hypertension,Drug,brimonidine tartrate 0.2%,2,,,,,2,,,2
coronary artery disease,Drug,plavixâ®,2,,,,,,2,,2
"hepatitis b, chronic",Drug,treatment with entecavir(baracludeâ®),,,2,,,,2,,2
venous thrombosis,Drug,apixaban,1,,1,,,,2,,2
esophageal neoplasms,Drug,sodium glycididazole,1,,2,,,,3,,3
pyelonephritis,Drug,antibiotic,2,,,,,1,1,,2
leukemia,Drug,prednisone,5,,,,,2,3,,5
fatty liver,Drug,insulin glargine,2,,,,,,2,,2
glaucoma,Drug,latanoprost,9,,2,,,4,7,,11
kidney diseases,Drug,methoxy polyethylene glycol-epoetin beta [mircera],1,,1,,,1,1,,2
coronary artery disease,Device,everolimus-eluting stent,4,,,,,,4,,4
atrial fibrillation,Drug,diltiazem,2,,,,,,2,,2
"rhinitis, allergic, perennial",Drug,fpns,3,,,,,2,1,,3
"pain, procedural",Drug,fentanyl,2,,,,,,2,,2
"stress, psychological",Drug,corticoid (altimâ® 1.5 ml),,,2,,,,2,,2
diabetes mellitus,Drug,alogliptin,3,,,,,,3,,3
diverticulitis,Drug,tigecycline,2,,,,,2,,,2
atrial fibrillation,Drug,antiarrhythmic drugs,2,,1,,,2,1,,3
slipped capital femoral epiphyses,Device,depuy asrâ„¢ hip system,,,4,,,,4,,4
essential hypertension,Drug,losartan,2,,,,,1,1,,2
parkinson disease,Drug,rotigotine,7,,,,,1,6,,7
depression,Drug,lithium,9,,1,,,2,8,,10
"diabetes mellitus, type 2",Drug,acarbose,9,,2,,,1,10,,11
bipolar disorder,Drug,lithium,16,,3,,,7,12,,19
peripheral vascular diseases,Device,gore viabahnâ® endoprosthesis,2,,,,,,2,,2
"influenza, human",Biological,fluzoneâ®,4,,4,,,,8,,8
