mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,197,199,200,201,202,n_gl
"abortion, missed",Drug,mifepristone,2,,1,,,1,2,,3
"abortion, missed",Drug,misoprostol,1,,1,,,,2,,2
abscess,Drug,ceftriaxone,2,,,,,,2,,2
acne vulgaris,Drug,adapalene,11,,1,,,6,6,,12
acne vulgaris,Drug,benzoyl peroxide,8,,,,,6,2,,8
acne vulgaris,Drug,clindamycin,8,,,,,6,2,,8
acne vulgaris,Drug,tretinoin gel,4,,,,,3,1,,4
acne vulgaris,Drug,dapsone gel,3,,,,,1,2,,3
acne vulgaris,Drug,epiduo gel,3,,,,,1,2,,3
acne vulgaris,Drug,isotretinoin,3,,,,,,3,,3
acne vulgaris,Behavioral,standard of care,2,,,,,1,1,,2
acne vulgaris,Drug,acnatacâ® gel left face,2,,,,,,2,,2
acne vulgaris,Drug,acnatacâ® gel right face,2,,,,,,2,,2
acne vulgaris,Drug,adapalene 0.1%,2,,,,,1,1,,2
acne vulgaris,Drug,adapalene 0.3%,2,,,,,,2,,2
acne vulgaris,Drug,adapalene/benzoyl peroxide,2,,,,,1,1,,2
acne vulgaris,Drug,azelaic acid,2,,,,,,2,,2
acne vulgaris,Drug,benzoyl peroxide 2.5%,2,,,,,1,1,,2
acne vulgaris,Drug,bpo,2,,,,,,2,,2
acne vulgaris,Drug,clindamycin phosphate 1.2%,2,,,,,1,1,,2
acne vulgaris,Drug,clindamycin/benzoyl peroxide,2,,,,,2,,,2
acne vulgaris,Drug,duac gel,2,,,,,2,,,2
acne vulgaris,Drug,duacâ® fixed dose combination gel,2,,,,,,2,,2
acne vulgaris,Drug,epiduoâ® gel left face,2,,,,,,2,,2
acne vulgaris,Drug,epiduoâ® gel right face,2,,,,,,2,,2
acne vulgaris,Drug,tretinoin,2,,,,,1,1,,2
acne vulgaris,Other,cetaphilâ® dermacontrol moisturizer spf30,2,,,,,,2,,2
acne vulgaris,Other,dermotivinâ® soft liquid cleanser,2,,,,,,2,,2
acne vulgaris,Other,maxclarity ii (0.5% salicylic acid) toner foam,2,,,,,1,1,,2
acne vulgaris,Other,maxclarity ii (2.5% bpo) foam cleanser,2,,,,,1,1,,2
acne vulgaris,Other,maxclarity ii (2.5% bpo) foam treatment,2,,,,,1,1,,2
acquired immunodeficiency syndrome,Drug,3tc,4,,1,,,1,4,,5
acquired immunodeficiency syndrome,Drug,lopinavir,4,,1,,,3,2,,5
acquired immunodeficiency syndrome,Drug,raltegravir,3,,2,,,,5,,5
acquired immunodeficiency syndrome,Drug,ritonavir,4,,1,,,3,2,,5
acquired immunodeficiency syndrome,Drug,emtricitabine,4,,,,,1,3,,4
acquired immunodeficiency syndrome,Drug,maraviroc,4,,,,,1,3,,4
acquired immunodeficiency syndrome,placebo,placebo,4,,,,,1,3,,4
acquired immunodeficiency syndrome,Drug,efavirenz,2,,1,,,2,1,,3
acquired immunodeficiency syndrome,Drug,etravirine,2,,1,,,,3,,3
acquired immunodeficiency syndrome,Drug,lamivudine,3,,,,,2,1,,3
acquired immunodeficiency syndrome,Drug,ribavirin,3,,,,,1,2,,3
acquired immunodeficiency syndrome,Drug,tenofovir,3,,,,,1,2,,3
acquired immunodeficiency syndrome,Drug,abc,2,,,,,,2,,2
acquired immunodeficiency syndrome,Drug,darunavir,1,,1,,,,2,,2
acquired immunodeficiency syndrome,Drug,kaletra,1,,1,,,1,1,,2
acquired immunodeficiency syndrome,Drug,lopinavir/ritonavir,2,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,nevirapine,2,,,,,2,,,2
acquired immunodeficiency syndrome,Drug,zidovudine,2,,,,,2,,,2
acromegaly,Drug,pegvisomant,3,,,,,3,,,3
acromegaly,Drug,cabergoline,2,,,,,1,1,,2
acromegaly,Drug,lanreotide (autogel formulation),2,,,,,2,,,2
acromegaly,Drug,octreotide,2,,,,,2,,,2
acromegaly,Drug,octreotide acetate,1,,1,,,1,1,,2
acromegaly,Drug,sandostatinâ® lar,2,,,,,,2,,2
acute coronary syndrome,Drug,clopidogrel,13,,5,,,1,17,,18
acute coronary syndrome,Drug,ticagrelor,14,,3,,,,17,,17
acute coronary syndrome,Drug,prasugrel,9,,3,,,,12,,12
acute coronary syndrome,Drug,atorvastatin,7,,,,,2,5,,7
acute coronary syndrome,Drug,rosuvastatin,5,,,,,1,4,,5
acute coronary syndrome,placebo,placebo,4,,1,,,2,3,,5
acute coronary syndrome,Drug,aspirin,3,,,,,,3,,3
acute coronary syndrome,Drug,tirofiban,2,,1,,,1,2,,3
acute coronary syndrome,Drug,enoxaâ®,2,,,,,,2,,2
acute coronary syndrome,Drug,esomeprazole 20 mg daily,2,,,,,,2,,2
acute coronary syndrome,Drug,famotidine 40 mg daily,2,,,,,,2,,2
acute coronary syndrome,Drug,generic clopidogrel (plavitorâ® ),2,,,,,,2,,2
acute coronary syndrome,Drug,lovenoxâ®,2,,,,,,2,,2
acute coronary syndrome,Drug,original clopidogrel (plavixâ® ),2,,,,,,2,,2
acute coronary syndrome,Drug,pravastatin 20mg,2,,,,,,2,,2
acute coronary syndrome,Drug,unfractionated heparin,1,,1,,,2,,,2
acute coronary syndrome,Procedure,stenting using optimaxâ„¢,2,,,,,,2,,2
acute coronary syndrome,Procedure,stenting using promus elementâ„¢ plus,2,,,,,,2,,2
acute disease,Drug,telithromycin,2,,1,,,3,,,3
acute disease,Drug,synaturaâ® 15 ml,2,,,,,,2,,2
acute disease,placebo,placebo,2,,,,,,2,,2
