tag,n
disorder,78214
procedure,55542
finding,36279
organism,35231
body structure,33576
substance,26914
physical object,15739
qualifier value,10033
observable entity,9384
medicinal product,8041
clinical drug,6529
medicinal product form,6522
morphologic abnormality,4958
situation,4710
occupation,3462
event,3211
regime/therapy,2903
product,1756
specimen,1717
assessment scale,1364
environment,1218
attribute,1188
cell,708
navigational concept,635
geographic location,618
cell structure,518
record artifact,502
person,453
disposition,365
dose form,327
foundation metadata concept,273
namespace concept,269
ethnic group,240
tumor staging,216
religion/philosophy,205
physical force,171
role,127
basic dose form,58
core metadata concept,57
unit of presentation,51
intended site,29
social concept,23
life style,21
racial group,19
administration method,18
staging scale,16
link assertion,8
release characteristic,8
OWL metadata concept,5
state of matter,5
transformation,5
environment / location,1
linkage concept,1
metadata,1
product name,1
SNOMED RT+CTV3,1
special concept,1
supplier,1
