"","STUDYID","DOMAIN","TSSEQ","TSPARMCD","TSPARM","TSVAL"
"1","CDISC01","TS",1,"ADDON","Added on to Existing Treatments","N"
"2","CDISC01","TS",1,"AGEMAX","Planned Maximum Age of Subjects","85"
"3","CDISC01","TS",1,"AGEMIN","Planned Minimum Age of Subjects","18"
"4","CDISC01","TS",1,"AGESPAN","Age Span","ADULT (18-65)"
"5","CDISC01","TS",2,"AGESPAN","Age Span","ELDERLY (> 65)"
"6","CDISC01","TS",1,"AGEU","Age Unit","YEARS"
"7","CDISC01","TS",1,"DOSE","Dose per Administration","10"
"8","CDISC01","TS",2,"DOSE","Dose per Administration","20"
"9","CDISC01","TS",3,"DOSE","Dose per Administration","30"
"10","CDISC01","TS",4,"DOSE","Dose per Administration","40"
"11","CDISC01","TS",5,"DOSE","Dose per Administration","60"
"12","CDISC01","TS",1,"DOSFRQ","Dosing Frequency","QD"
"13","CDISC01","TS",1,"DOSU","Dose Units","mg"
"14","CDISC01","TS",1,"LENGTH","Trial Length","P36W"
"15","CDISC01","TS",1,"OBJPRIM","Trial Primary Objective","EFFICACY AND SAFETY COMPARING 2 DOSES"
"16","CDISC01","TS",1,"OBJSEC","Trial Secondary Objective","SECONDARY OBJECTIVE CONCERNING RESPONSE"
"17","CDISC01","TS",1,"PLANSUB","Planned Number of Subjects","80"
"18","CDISC01","TS",1,"RANDOM","Trial is Randomized","Y"
"19","CDISC01","TS",1,"ROUTE","Route of Administration","ORAL"
"20","CDISC01","TS",1,"SEXPOP","Sex of Participants","BOTH"
"21","CDISC01","TS",1,"SPONSOR","Clinical Study Sponsor","CDISC METADATA TEAM"
"22","CDISC01","TS",1,"TBLIND","Trial Blinding Schema","DOUBLE BLIND"
"23","CDISC01","TS",1,"TCNTRL","Control Type","PLACEBO"
"24","CDISC01","TS",1,"TINDTP","Trial Indication Type","TREATMENT"
"25","CDISC01","TS",1,"TITLE","Trial Title","SAMPLE STUDY DEVELOPED TO DEMONSTRATE A SAMPLE SUBMISSION"
"26","CDISC01","TS",1,"TPHASE","Trial Phase Classification","Phase III Trial"
"27","CDISC01","TS",1,"TRT","Investigational Therapy or Treatment","TEST PRODUCT XXX"
"28","CDISC01","TS",1,"TTYPE","Trial Type","EFFICACY"
"29","CDISC01","TS",2,"TTYPE","Trial Type","SAFETY"
