concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2721402,"Padding for compression bandage, roll",Device,HCPCS,HCPCS,S,S8430,20020101,20991231,
2720640,"Battery clips for use with electric or electric/pneumatic ventricular assist device, replacement only",Observation,HCPCS,HCPCS,S,Q0497,20051001,20991231,
2615390,"Technetium tc-99m exametazime labeled autologous white blood cells, diagnostic, per study dose",Device,HCPCS,HCPCS,S,A9569,20080101,20991231,
40664727,"Fasting lipid profile performed (triglycerides, ldl-c, hdl-c and total cholesterol)",Observation,HCPCS,HCPCS,S,G8725,20120101,20161231,
2616670,"Vaporizer, room type",Device,HCPCS,HCPCS,S,E0605,19860101,20991231,
44782179,TLSO 2 PIECE RIGID SHELL,Device,HCPCS,HCPCS,S,K0618,19700101,20060101,
953284,"Bundled payments for care improvement advanced (bpci advanced) model home visit for patient assessment performed by clinical staff for an individual not considered homebound, including, but not necessarily limited to patient assessment of clinical status,",Procedure,HCPCS,HCPCS,S,G9987,20181001,20991231,
40664529,Lvf testing not performed prior to discharge or in the previous 12 months for a medical or patient documented reason,Observation,HCPCS,HCPCS,S,G8683,20110101,20141231,
2720133,"Addition to lower extremity prosthesis, endoskeletal knee-shin system, microprocessor control feature, swing and stance phase, includes electronic sensor(s), any type",Device,HCPCS,HCPCS,S,L5856,20050101,20991231,
2718570,"Injection, methocarbamol, up to 10 ml",Drug,HCPCS,HCPCS,,J2800,19820101,20991231,
45537439,"Other contact with turtle, subsequent encounter",Condition,ICD10CM,7-char billing code,,W5929XD,19700101,20991231,
45557628,Respiratory conditions due to smoke inhalation,Condition,ICD10CM,4-char billing code,,J705,20061230,20991231,
45541544,"Poisoning by other antidepressants, assault, initial encounter",Condition,ICD10CM,7-char billing code,,T43293A,19700101,20991231,
45542471,Personal history of in-situ neoplasm of cervix uteri,Observation,ICD10CM,6-char billing code,,Z86001,19700101,20991231,
45599345,"Burns of other specified parts of unspecified eye and adnexa, sequela",Condition,ICD10CM,7-char billing code,,T2630XS,19700101,20991231,
45571451,Varicella encephalitis and encephalomyelitis,Condition,ICD10CM,5-char billing code,,B0111,19700101,20991231,
10827,"Fracture of neck, unspecified",Condition,ICD10CM,4-char nonbill code,,S129,20140101,20991231,
1567912,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy,Condition,ICD10CM,5-char nonbill code,,E0832,20120101,20991231,
45539374,"Blister (nonthermal) of unspecified eyelid and periocular area, initial encounter",Condition,ICD10CM,7-char billing code,,S00229A,19700101,20991231,
45591101,"Cannabis use, unspecified with unspecified cannabis-induced disorder",Condition,ICD10CM,5-char billing code,,F1299,19700101,20991231,
2743421,"Removal of Monitoring Device from Trachea, External Approach",Procedure,ICD10PCS,ICD10PCS,S,0BP1X2Z,20140422,20991231,
43014826,"Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,ICD10PCS,S,00164K6,20170514,20991231,
2724198,"Excision of Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,ICD10PCS,S,01BL4ZZ,20140422,20991231,
2807641,"Medical and Surgical @ Eye @ Revision @ Extraocular Muscle, Right @ Open @ Autologous Tissue Substitute",Procedure,ICD10PCS,ICD10PCS Hierarchy,S,08WL07,19700101,20991231,
2868199,"Medical and Surgical @ Lower Arteries @ Dilation @ Superior Mesenteric Artery @ Open @ Intraluminal Device, Drug-eluting",Procedure,ICD10PCS,ICD10PCS Hierarchy,S,047504,19700101,20991231,
43016351,"Extraction of Right Inguinal Lymphatic, Via Natural or Artificial Opening Endoscopic, Diagnostic",Procedure,ICD10PCS,ICD10PCS,S,07DH8ZX,20170514,20991231,
2895833,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Transfer @ Subcutaneous Tissue and Fascia, Right Upper Arm @ Open @ No Device",Procedure,ICD10PCS,ICD10PCS Hierarchy,S,0JXD0Z,19700101,20991231,
2804834,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Release @ Subcutaneous Tissue and Fascia, Left Upper Leg @ Open @ No Device",Procedure,ICD10PCS,ICD10PCS Hierarchy,S,0JNM0Z,19700101,20991231,
2734156,"Insertion of Monitoring Device into Upper Vein, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,ICD10PCS,S,05HY42Z,20140422,20991231,
2859509,"Medical and Surgical @ Lower Bones @ Insertion @ Femoral Shaft, Right @ Percutaneous Endoscopic @ External Fixation Device, Monoplanar",Procedure,ICD10PCS,ICD10PCS Hierarchy,S,0QH84B,19700101,20991231,
44836984,"Sedative, hypnotic or anxiolytic abuse, episodic",Condition,ICD9CM,5-dig billing code,,30542,19700101,20991231,
44829268,Unspecified congenital anomaly of the integument,Condition,ICD9CM,4-dig billing code,,7579,19700101,20991231,
44834889,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",Condition,ICD9CM,5-dig billing code,,64732,19700101,20991231,
44819420,Malignant neoplasm of retromolar area,Condition,ICD9CM,4-dig billing code,,1456,19700101,20991231,
44836747,"Tuberculous abscess of spinal cord, unspecified",Condition,ICD9CM,5-dig billing code,,01350,19700101,20991231,
44829509,Other motor vehicle nontraffic accident while boarding and alighting injuring driver of motor vehicle other than motorcycle,Condition,ICD9CM,4-dig billing E code,,E8240,19700101,20991231,
44836608,"Duplicate of ICD9CM Concept, do not use, use replacement from CONCEPT_RELATIONSHIP table instead",Observation,ICD9CM,ICD9CM V code,,44836608,20140401,20140930,U
44821909,Cicatricial entropion,Condition,ICD9CM,5-dig billing code,,37404,19700101,20991231,
44822326,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness",Condition,ICD9CM,5-dig billing code,,80043,19700101,20991231,
44823008,Unspecified cerebral degeneration in childhood,Condition,ICD9CM,4-dig billing code,,3309,19700101,20991231,
2006200,Aspiration of other soft tissue,Procedure,ICD9Proc,4-dig billing code,S,8395,19700101,20991231,
2006089,Injection of therapeutic substance into bursa of hand,Procedure,ICD9Proc,4-dig billing code,,8294,19700101,20991231,
2006717,Other x-ray of digestive system,Procedure,ICD9Proc,3-dig nonbill code,S,876,19700101,20991231,
2000231,"Peripheral nerve injection, not otherwise specified",Procedure,ICD9Proc,4-dig billing code,,0480,19700101,20991231,
2005338,"Osteoclasis, humerus",Procedure,ICD9Proc,4-dig billing code,,7872,19700101,20991231,
2000620,Other destruction of chorioretinal lesion,Procedure,ICD9Proc,4-dig billing code,S,1429,19700101,20991231,
2004003,Percutaneous aspiration of prostate,Procedure,ICD9Proc,4-dig billing code,,6091,19700101,20991231,
2001493,Creation of conduit between atrium and pulmonary artery,Procedure,ICD9Proc,4-dig billing code,,3594,19700101,20991231,
2003607,Other local destruction or excision of renal lesion or tissue,Procedure,ICD9Proc,4-dig billing code,S,5539,19700101,20991231,
2000508,Removal of intraocular foreign body from anterior segment of eye with use of magnet,Procedure,ICD9Proc,4-dig billing code,,1201,19700101,20991231,
