Year,States,HCPCS,Claims,Month
1999,AK,SNF_REVENUE_,HHA_CLAIMS_,1
2000,AL,HHA_REVENUE_,HOSPICE_CLAIMS_,2
2001,AR,HOSPICE_REVENUE_,INPATIENT_CLAIMS_,3
2002,AZ,INPATIENT_REVENUE_,SNF_CLAIMS_,4
2003,CA,OUTPATIENT_REVENUE_,OUTPATIENT_CLAIMS_,5
2004,CO,BCARRIER_LINE_,BCARRIER_CLAIMS_,6
2005,CT,,,7
2006,DC,,,8
2007,DE,,,9
2008,FL,,,10
2009,GA,,,11
2010,HI,,,12
2011,IA,,,
2012,ID,,,
2013,IL,,,
2014,IN,,,
2015,KS,,,
2016,KY,,,
2017,LA,,,
,MA,,,
,MD,,,
,ME,,,
,MI,,,
,MN,,,
,MO,,,
,MS,,,
,MT,,,
,NC,,,
,ND,,,
,NE,,,
,NH,,,
,NJ,,,
,NM,,,
,NV,,,
,NY,,,
,OH,,,
,OK,,,
,OR,,,
,PA,,,
,RI,,,
,SC,,,
,SD,,,
,TN,,,
,TX,,,
,UT,,,
,VA,,,
,VT,,,
,WA,,,
,WI,,,
,WV,,,
,WY,,,
