nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,intervention_type,intervention_name,description,n.x,status,facility_name,city,state,zip,country,n.y
NCT04245631,"ClinicalTrials.gov processed this data on February 25, 2020",2020-01-26,NA,NA,2020-01-26,2020-01-26,2020-01-29,Actual,NA,NA,NA,NA,NA,NA,2020-01-26,2020-01-29,Actual,"January 1, 2020",Actual,2020-01-01,January 2020,2020-01-31,"December 31, 2020",Anticipated,2020-12-31,"December 31, 2020",Anticipated,2020-12-31,NA,Observational,NA,,"Development of a Simple, Fast and Portable Recombinase Aided Amplification Assay for 2019-nCoV","Development of a Simple, Fast and Portable Recombinase Aided Amplification (RAA) Assay for 2019-nCoV",Recruiting,NA,NA,50,Anticipated,Beijing Ditan Hospital,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-02-25T23:43:20Z,2020-02-25T23:43:20Z,Diagnostic Test,Recombinase aided amplification (RAA) assay,"We established a real time reverse-transcription RAA (RT-RAA) assay for detection of 2019-nCoV. This assay was performed at 42Â°C within 30min using a portable real-time fluorescence detector, Recombinant plasmids containing conserved ORF1ab genes was used to analyze the specificity and sensitivity. Clinical specimens from patients who were suspected of being infected with 2019-nCoV were used to evaluate the performance of the assay. In parallel, we also used the commercial RT-qPCR assay kit for 2019-nCoV as a reference. Sample types include either of nasal swab, oral swab, bronchoalveolar-lavage fluid, urea, blood, fecal.",1,Recruiting,"Department of Hepatology Division 2, Beijing Ditan Hospital",Beijing,Beijing,100015,China,1
NCT04256395,"ClinicalTrials.gov processed this data on February 28, 2020",2020-02-01,NA,NA,2020-02-18,2020-02-03,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-02-18,2020-02-20,Actual,"February 1, 2020",Actual,2020-02-01,February 2020,2020-02-29,"July 31, 2020",Anticipated,2020-07-31,"July 31, 2020",Anticipated,2020-07-31,NA,Observational,COVID-19,,Efficacy of a Self-test and Self-alert Mobile Applet in Detecting Susceptible Infection of COVID-19,Registry Study on the Efficacy of a Self-test and Self-alert Applet in Detecting Susceptible Infection of COVID-19 â€”â€”a Population Based Mobile Internet Survey,Recruiting,NA,NA,300000,Anticipated,Beijing Tsinghua Chang Gung Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-03-01T23:58:43Z,2020-03-01T23:58:43Z,Other,mobile internet survey on self-test,"1. make a questionnaire, the content of which refers to the new coronavirus diagnosis and treatment guidelines released by the National Health Commission; 2. develop the mobile applet and carry out internet propagation; 3. background data could be identified according to computer technology, de duplication and de privacy; 4. once registered, the applet can automatically remind the self-test twice a day, and encourage to adhere to 14 days; 5. automatically compare with the standards and highly suspected population could be given medical guidance and encouraged to go to the fever clinic of the designated hospital for definite diagnosis.",1,Recruiting,Beijing Tsinghua Changgung Hospital,Beijing,Beijing,102218,China,1
NCT04260308,"ClinicalTrials.gov processed this data on February 25, 2020",2020-02-03,NA,NA,2020-02-05,2020-02-05,2020-02-07,Actual,NA,NA,NA,NA,NA,NA,2020-02-05,2020-02-07,Actual,"February 3, 2020",Actual,2020-02-03,February 2020,2020-02-29,"April 20, 2020",Anticipated,2020-04-20,"April 15, 2020",Anticipated,2020-04-15,NA,Observational,NA,,A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia,"A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia in Wuhan, China",Recruiting,NA,NA,30000,Anticipated,Huazhong University of Science and Technology,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-02-25T23:41:39Z,2020-02-25T23:41:39Z,NA,NA,NA,NA,Recruiting,Tongji Hospitalï¼ŒTongji Medical College Affiliatedï¼ŒHuazhong University of Science ï¼† Technology,Wuhan,Hubei,430030,China,1
NCT04255940,"ClinicalTrials.gov processed this data on February 25, 2020",2020-02-03,NA,NA,2020-02-03,2020-02-03,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-02-03,2020-02-05,Actual,"January 20, 2020",Actual,2020-01-20,February 2020,2020-02-29,"April 30, 2020",Anticipated,2020-04-30,"April 30, 2020",Anticipated,2020-04-30,NA,Observational,NA,,2019-nCoV Outbreak and Cardiovascular Diseases,Impact of a Novel Coronavirus (2019-nCoV) Outbreak on Public Anxiety and Cardiovascular Disease Risk in China,Recruiting,NA,NA,12000,Anticipated,Qilu Hospital of Shandong University,,NA,3,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-02-25T23:42:09Z,2020-02-25T23:42:09Z,NA,NA,NA,NA,Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting,"Affiliated Hospital of Binzhou Medical Universty|Heze Municipal Hospital|Shandong University Qilu Hospital|Jinan Central Hospital, Shandong University|First Hospital Affiliated with Shandong First Medical University|Shandong Provincial Hospital, Shandong University|The Second Hospital of Shandong University|Jining Hospital of Traditional Chinese Medicine|Qihe People's Hospital|Affiliated Hospital of Qingdao University Medical College|Weihai Municipal Hospital|Central Hospital of Zibo",Binzhou|Heze|Jinan|Jinan|Jinan|Jinan|Jinan|Jining|Qihe|Qingdao|Weihai|Zibo,Shandong|Shandong|Shandong|Shandong|Shandong|Shandong|Shandong|Shandong|Shandong|Shandong|Shandong|Shandong,||250012|250013|250014|250021||||266003||,China|China|China|China|China|China|China|China|China|China|China|China,12
NCT04259892,"ClinicalTrials.gov processed this data on February 27, 2020",2020-02-05,NA,NA,2020-02-13,2020-02-05,2020-02-07,Actual,NA,NA,NA,NA,NA,NA,2020-02-13,2020-02-17,Actual,"February 4, 2020",Actual,2020-02-04,February 2020,2020-02-29,"February 4, 2021",Anticipated,2021-02-04,"October 4, 2020",Anticipated,2020-10-04,NA,Observational,Cov-CONTACT,,Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection,Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection,Recruiting,NA,NA,300,Anticipated,"Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Nasopharyngeal swabs
    ",NA,NA,NA,Undecided,NA,2020-02-27T20:37:03Z,2020-02-27T20:37:03Z,Biological,2019-nCoV PCR,Nasopharyngeal swabs,1,Recruiting,CIC 1425,Paris,,75018,France,1
NCT04270383,"ClinicalTrials.gov processed this data on February 27, 2020",2020-02-11,NA,NA,2020-02-14,2020-02-13,2020-02-17,Actual,NA,NA,NA,NA,NA,NA,2020-02-14,2020-02-17,Actual,"February 15, 2020",Anticipated,2020-02-15,February 2020,2020-02-29,"December 31, 2020",Anticipated,2020-12-31,"December 31, 2020",Anticipated,2020-12-31,NA,Observational,NA,,Clinical Characteristics and Long-term Prognosis of 2019-nCoV Infection in Children,A Multicenter Observational Study About the Clinical Characteristics and Long-term Prognosis of 2019-nCoV Infection in Children,Not yet recruiting,NA,NA,500,Anticipated,Beijing Children's Hospital,,NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Serum
    ",NA,NA,NA,Undecided,NA,2020-02-27T20:35:40Z,2020-02-27T20:35:40Z,NA,NA,NA,NA,,"Beijing Children's Hospital,",Beijing,,,China,1
NCT04272710,"ClinicalTrials.gov processed this data on March 23, 2020",2020-02-12,NA,NA,2020-03-13,2020-02-14,2020-02-17,Actual,NA,NA,NA,NA,NA,NA,2020-03-13,2020-03-17,Actual,"January 25, 2020",Actual,2020-01-25,March 2020,2020-03-31,"April 30, 2020",Anticipated,2020-04-30,"March 31, 2020",Anticipated,2020-03-31,NA,Observational,NA,,Prognositc Factors in COVID-19 Patients Complicated With Hypertension,Prognostic Characteristics Difference Between the Hypertension Patients With and Without ACEI Treatment When Suffered With 2019-nCoV Infection in China,Withdrawn,NA,NA,0,Actual,Chongqing Medical University,,NA,2,"Similar projects have been registered, and it need to be withdrawn.",FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-24T08:57:25Z,2020-03-24T08:57:25Z,NA,NA,NA,NA,,The First Affiliated Hospital of Chongqing Medical University,Chongqing,,,China,1
NCT04283396,"ClinicalTrials.gov processed this data on March 23, 2020",2020-02-13,NA,NA,2020-03-15,2020-02-20,2020-02-25,Actual,NA,NA,NA,NA,NA,NA,2020-03-15,2020-03-17,Actual,"February 21, 2020",Actual,2020-02-21,March 2020,2020-03-31,"July 30, 2020",Anticipated,2020-07-30,"May 30, 2020",Anticipated,2020-05-30,NA,Observational,NA,,Study for Novel Coronavirus Pneumonia (NCP),Study for Clinical Epidemiology and Methods of Diagnosis and Treatment of Novel Coronavirus Pneumonia (NCP),Recruiting,NA,NA,2000,Anticipated,"Wuhan Union Hospital, China",,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-03-24T08:56:56Z,2020-03-24T08:56:56Z,Combination Product,systemic treatment,"Oxygen therapy, antiviral therapy, antibiotics, hormones, globulin",1,Recruiting,Union hospital,Wuhan,Hubei,430000,China,1
NCT04279782,"ClinicalTrials.gov processed this data on March 05, 2020",2020-02-15,NA,NA,2020-02-20,2020-02-19,2020-02-21,Actual,NA,NA,NA,NA,NA,NA,2020-02-20,2020-02-24,Actual,"January 20, 2020",Actual,2020-01-20,February 2020,2020-02-29,"February 28, 2021",Anticipated,2021-02-28,"January 31, 2021",Anticipated,2021-01-31,NA,Observational,NA,,Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection,Investigation on Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection in Isolation Unit,Recruiting,NA,NA,100,Anticipated,"Third Affiliated Hospital, Sun Yat-Sen University",,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-03-06T05:31:12Z,2020-03-06T05:31:12Z,Other,Comprehensive treatment,"Comprehensive treatment includes antiviral therapy, antibiotics therapy, symptomatic treatment, supportive therapy.",1,Recruiting,The Third Affiliated Hospital of Sun Yat-sen University,Guangzhou,Guangdong,510630,China,1
NCT04274322,"ClinicalTrials.gov processed this data on February 27, 2020",2020-02-16,NA,NA,2020-02-16,2020-02-16,2020-02-18,Actual,NA,NA,NA,NA,NA,NA,2020-02-16,2020-02-18,Actual,February 2020,Anticipated,2020-02-29,February 2020,2020-02-29,July 2020,Anticipated,2020-07-31,May 2020,Anticipated,2020-05-31,NA,Observational,NA,,Identifying Critically-ill Patients With COVID-19 Who Will Benefit Most From Nutrition Support Therapy: Validation of the NUTRIC Nutritional Risk Assessment Tool,Identifying Critically-ill Patients With COVID-19 Who Will Benefit Most From Nutrition Support Therapy: Validation of the NUTRIC Nutritional Risk Assessment Tool (COV_NUTRIC),Not yet recruiting,NA,NA,100,Anticipated,Peking University Third Hospital,,NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-02-29T00:07:37Z,2020-02-29T00:07:37Z,Other,Nutrition support,"Calories and proteins are given to patients by using ways as parenteral nutriton, enteral nutrition, oral nutrition supplement",1,NA,NA,NA,NA,NA,NA,NA
