intervention,mapped_intervention
(standard of care) soc,standard care
1: discontinuation of ras blocker therapy,discontinuation of ras blocker
1: naproxen,naproxen
1: usual practice,standard care
2: continuation of ras blocker therapy,continuation of ras blocker
2: standard of care,standard care
2: usual practice,standard care
2: usual practice / symbicort rapihaler,usual practice / symbicort rapihaler
î³-globulin,immunoglobulin of cured patients
abidol hydrochloride,arbidol
abidol hydrochloride/with interferon atomization,arbidol hydrochloride/interferon atomization
ace inhibitor,ace inhibitor
anakinra,anakinra
angiotensin 1-7,angiotensin
angiotensin receptor blocker,angiotensin
anti- sars-cov-2 plasma,convalescent plasma
antigen-specific ctls,control
antioxidants,antioxidants
antiviral treatment,antiviral treatment
antiviral treatment/prophylaxis,antiviral treatment/prophylaxis
arbidol,arbidol
arbidol hydrochloride granules,arbidol
asc09,asc09
asc09/ritonavir,asc09/ritonavir
asc09/ritonavir group,asc09/ritonavir
asc09f,asc09
asc09f/oseltamivir,asc09f/oseltamivir
ascorbic acid,vitamin c
aspirin 75mg,aspirin
atorvastatin 40mg,atorvastatin
automated oxygen administration - freeo2,oxygen
aviptadil,aviptadil
aviptadil / maximal intensive care,aviptadil / maximal intensive care
aviptadil by intravenous infusion,aviptadil
aviptadil by intravenous infusion / maximal intensive care,aviptadil / maximal intensive care
azithromycin,azithromycin
azithromycin 500mg oral tablet,azithromycin
azithromycin tablets,azithromycin
baricitinib,baricitinib
baricitinib (janus kinase inhibitor),baricitinib
basic treatment,standard care
bcg vaccine,bcg
best supportive care (bsc),best supportive care
best supportive care (bsc) / ifx-1,best supportive care (bsc) / ifx-1
best supportive care only,best supportive care
bevacizumab,bevacizumab
bevacizumab injection,bevacizumab
blood sample,blood
bromhexine hydrochloride,bromhexine hydrochloride
bromhexine hydrochloride tablets,bromhexine hydrochloride
budesonide,budesonide
calcium channel blockers,calcium channel blockers
camostat mesilate,camostat mesilate
carrimycin,carrimycin
castem,castem
cd24fc,cd24fc
centricyte 1000,centricyte 1000
chadox1 ncov-19,chadox1
chinese medicine,chinese medicine
chinese medicine treatment,chinese medicine
chloroquine,chloroquine
chloroquine analog (gns651),chloroquine
chloroquine diphosphate,chloroquine
chloroquine phosphate,chloroquine
chloroquine phosphatetablets tablets,chloroquine
chloroquine/hydroxychloroquine,chloroquine/hydroxychloroquine
ciclesonide metered dose inhaler [alvesco],ciclesonide
clopidogrel 75mg,clopidogrel
cobicistat,cobicistat
colchicine,colchicine
control,control
control group,control
convalescent plasma,convalescent plasma
"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,","conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,"
"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)","conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)"
"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)/traditional chinese medicines (tcms) granules","conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)/traditional chinese medicines (tcms) granules"
cpap,cpap
cpap treatment,cpap
cytokine adsorption (cytosorb adsorber),cytokine adsorption
darunavir,darunavir
darunavir/cobicistat,darunavir/cobicistat
das181,das181
deferoxamine,deferoxamine
dental pulp mesenchymal stem cells,mesenchymal�stem cells
dexamethasone,dexamethasone
emapalumab,emapalumab
emtricitabine,emtricitabine
emtricitabine/tenofovir disoproxil,emtricitabine/tenofovir disoproxil
escin,escin
favipiravir,favipiravir
favipiravir tablets,favipiravir
favipiravir tablets/chloroquine phosphatetablets tablets,favipiravir/chloroquine
favipiravir/chloroquine,favipiravir/chloroquine
favipiravir/with tocilizumab,favipiravir/tocilizumab
fingolimod 0.5 mg,fingolimod
formoterol inhaler,formoterol
fuzheng huayu,fuzheng huayu
fuzheng huayu tablet,fuzheng huayu
ganovo,ganovo
ganovo/ritonavir//-interferon nebulization,ganovo/ritonavir//-interferon nebulization
glucose tablets,glucose
high does chloroquine,chloroquine
high does chloroquine/hydroxychloroquine,chloroquine/hydroxychloroquine
high flow nasal cannula (hfnc),high flow nasal cannula (hfnc)
high-titer anti-sars-cov-2 plasma,convalescent plasma
huaier,huaier
huaier granule,huaier
human amniotic fluid,human amniotic fluid
human biological samples,biological sample
humanistic care,humanistic care
hydoxychloroquine,hydroxychloroquine
hydroxychloroquine,hydroxychloroquine
hydroxychloroquine / azithromycin,hydroxychloroquine / azithromycin
hydroxychloroquine 200 mg oral tablet,hydroxychloroquine
hydroxychloroquine as post exposure prophylaxis,hydroxychloroquine
hydroxychloroquine oral product,hydroxychloroquine
hydroxychloroquine sar321068,hydroxychloroquine
hydroxychloroquine sulfate,hydroxychloroquine
hydroxychloroquine sulfate 400 mg twice a day,hydroxychloroquine
hydroxychloroquine sulfate 600 mg once a day,hydroxychloroquine
hydroxychloroquine sulfate 600 mg twice a day,hydroxychloroquine
hyperbaric oxygen,hyperbaric oxygen
hyperbaric oxygen therapy (hbot),hyperbaric oxygen
hyperimmune plasma,convalescent plasma
ifx-1,ifx-1
igg rapid test,igg rapid test
immunoglobulin of cured patients,immunoglobulin of cured patients
infusion of lv-smenp-dc vaccine,lv-smenp-dc vaccine
inhaled nitric oxide gas,nitric oxide
injection,injection
injection/infusion of lv-smenp-dc vaccine/antigen-specific ctls,lv-smenp-dc vaccine/antigen-specific ctls
interferon,interferon
interferon beta-1a,interferon
interferon beta-1b,interferon
isocaloric,isocaloric
isocaloric/isonutrigenous ons,isocaloric/isonutrigenous ons
isonutrigenous ons,isonutrigenous ons
iv deployment of csvf in sterile normal saline iv solution,csvf
kevzara sc,sarilumab
levamisole,levamisole
levamisole pill,levamisole
