ArticleType,Article_Count
Journal Article,340
"Journal Article|Research Support, Non-U.S. Gov't",130
Journal Article|Review,74
Clinical Trial Protocol|Letter,30
"Journal Article|Research Support, Non-U.S. Gov't|Review",29
Letter,20
Letter|Comment,20
Journal Article|Multicenter Study,19
Journal Article|Observational Study,19
Journal Article|Randomized Controlled Trial,17
"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",15
Journal Article|Multicenter Study|Observational Study,14
"Journal Article|Research Support, N.I.H., Extramural",13
Editorial,12
Comparative Study|Journal Article,11
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",11
Journal Article|Comment,9
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",9
Case Reports|Journal Article,8
Clinical Trial Protocol|Journal Article,8
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review",8
"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",8
"Journal Article|Observational Study|Research Support, Non-U.S. Gov't",8
"Case Reports|Journal Article|Research Support, Non-U.S. Gov't",7
"Comparative Study|Journal Article|Research Support, Non-U.S. Gov't",7
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",7
Letter|Randomized Controlled Trial,6
"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't",5
Evaluation Study|Journal Article,5
Journal Article|Multicenter Study|Randomized Controlled Trial,5
"Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",5
"Clinical Trial Protocol|Journal Article|Research Support, Non-U.S. Gov't",4
Clinical Trial|Journal Article,4
Journal Article|Published Erratum,4
"Journal Article|Research Support, N.I.H., Extramural|Review",4
"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",4
Journal Article|Systematic Review,4
"Letter|Research Support, Non-U.S. Gov't",4
Case Reports|Letter,3
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",3
"Clinical Trial, Phase II|Letter|Multicenter Study|Randomized Controlled Trial",3
"Clinical Trial|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",3
Comparative Study|Journal Article|Randomized Controlled Trial,3
Historical Article|Journal Article|Review,3
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural",3
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",3
Journal Article|Practice Guideline,3
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",3
"Journal Article|Research Support, Non-U.S. Gov't|Validation Study",3
Journal Article|Review|Systematic Review,3
"Clinical Trial Protocol|Clinical Trial, Phase I|Clinical Trial, Phase II|Letter",2
Clinical Trial Protocol|Journal Article|Multicenter Study,2
Clinical Trial Protocol|Letter|Multicenter Study,2
Clinical Trial Protocol|Letter|Multicenter Study|Randomized Controlled Trial,2
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase I|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase II|Journal Article",2
"Clinical Trial, Phase II|Journal Article|Multicenter Study",2
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial",2
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",2
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Clinical Trial|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Comparative Study|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",2
"Comparative Study|Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",2
Congress,2
Editorial|Comment,2
English Abstract|Journal Article,2
Historical Article|Journal Article,2
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Review|Systematic Review",2
Journal Article|Meta-Analysis|Review,2
Journal Article|Meta-Analysis|Review|Systematic Review,2
"Journal Article|Multicenter Study|Observational Study|Research Support, Non-U.S. Gov't",2
"Journal Article|Observational Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, Non-P.H.S.|Research Support, U.S. Gov't, P.H.S.",2
"Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2
"Journal Article|Research Support, U.S. Gov't, P.H.S.",2
"Journal Article|Research Support, U.S. Gov't, P.H.S.|Review",2
"Journal Article|Review|Research Support, Non-U.S. Gov't",2
Journal Article|Validation Study,2
News,2
Preprint,2
"Adaptive Clinical Trial|Clinical Trial Protocol|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
Case Reports,1
"Case Reports|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Case Reports|Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",1
Clinical Study|Journal Article|Multicenter Study,1
"Clinical Trial Protocol|Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Clinical Trial, Phase III|Letter",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Letter",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Letter|Multicenter Study",1
"Clinical Trial Protocol|Clinical Trial, Phase IV|Letter",1
Clinical Trial Protocol|Comparative Study|Journal Article|Observational Study,1
Clinical Trial Protocol|Comparative Study|Letter,1
Clinical Trial Protocol|Equivalence Trial|Letter,1
Clinical Trial Protocol|Journal Article|Multicenter Study|Randomized Controlled Trial,1
"Clinical Trial Protocol|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial Protocol|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
Clinical Trial Protocol|Letter|Multicenter Study|Observational Study|Randomized Controlled Trial,1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Journal Article",1
"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Journal Article|Research Support, N.I.H., Extramural",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Letter|Randomized Controlled Trial",1
