ArticleType,Article_Count
Journal Article,462
"Journal Article|Research Support, Non-U.S. Gov't",122
Journal Article|Review,88
Clinical Trial Protocol|Letter,50
Journal Article|Observational Study,48
Journal Article|Randomized Controlled Trial,35
Clinical Trial Protocol|Journal Article,30
Journal Article|Multicenter Study,29
Journal Article|Multicenter Study|Observational Study,28
"Journal Article|Observational Study|Research Support, Non-U.S. Gov't",23
"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",23
"Journal Article|Research Support, Non-U.S. Gov't|Review",21
Preprint,18
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",15
Clinical Trial|Journal Article,13
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",13
Case Reports|Journal Article,12
"Clinical Trial Protocol|Journal Article|Research Support, Non-U.S. Gov't",12
"Journal Article|Multicenter Study|Observational Study|Research Support, Non-U.S. Gov't",12
Journal Article|Multicenter Study|Randomized Controlled Trial,11
"Journal Article|Research Support, N.I.H., Extramural",11
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",10
"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",10
Comparative Study|Journal Article,9
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review",9
"Journal Article|Research Support, N.I.H., Extramural|Review",7
"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",7
Letter|Randomized Controlled Trial,7
"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",6
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",6
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",6
"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",6
Journal Article|Systematic Review,6
"Case Reports|Journal Article|Research Support, Non-U.S. Gov't",5
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",5
"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't",5
Evaluation Study|Journal Article,5
Journal Article|Comment,5
Journal Article|Meta-Analysis|Systematic Review,5
Case Reports,4
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",4
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural",4
Journal Article|Practice Guideline,4
Letter,4
Clinical Trial Protocol|Journal Article|Multicenter Study,3
Clinical Trial Protocol|Letter|Multicenter Study,3
"Clinical Trial, Phase II|Letter|Multicenter Study|Randomized Controlled Trial",3
"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",3
Clinical Trial|Journal Article|Multicenter Study,3
"Clinical Trial|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",3
Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial,3
"Comparative Study|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",3
"Comparative Study|Journal Article|Research Support, Non-U.S. Gov't",3
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",3
"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",3
"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",3
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",3
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",3
"Journal Article|Review|Research Support, Non-U.S. Gov't",3
Case Reports|Clinical Trial,2
"Clinical Trial Protocol|Clinical Trial, Phase I|Clinical Trial, Phase II|Letter",2
Clinical Trial Protocol|Comparative Study|Journal Article,2
"Clinical Trial Protocol|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
Clinical Trial Protocol|Letter|Multicenter Study|Randomized Controlled Trial,2
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase I|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase II|Journal Article",2
"Clinical Trial, Phase II|Journal Article|Multicenter Study",2
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial",2
"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",2
"Clinical Trial|Journal Article|Multicenter Study|Observational Study|Research Support, Non-U.S. Gov't",2
Clinical Trial|Journal Article|Observational Study,2
Comparative Study|Journal Article|Multicenter Study|Observational Study,2
Comparative Study|Journal Article|Multicenter Study|Pragmatic Clinical Trial|Randomized Controlled Trial,2
Comparative Study|Journal Article|Randomized Controlled Trial,2
Editorial,2
English Abstract|Journal Article,2
Historical Article|Journal Article|Review,2
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't",2
Journal Article|Multicenter Study|Pragmatic Clinical Trial|Randomized Controlled Trial,2
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural",2
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Journal Article|Observational Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
Journal Article|Published Erratum,2
"Adaptive Clinical Trial|Clinical Trial Protocol|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
Case Reports|Clinical Trial|Journal Article,1
Clinical Study|Journal Article,1
Clinical Study|Journal Article|Multicenter Study,1
"Clinical Trial Protocol|Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Clinical Trial, Phase III|Letter",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Letter",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Letter|Multicenter Study",1
"Clinical Trial Protocol|Clinical Trial, Phase IV|Journal Article|Multicenter Study|Pragmatic Clinical Trial|Randomized Controlled Trial",1
"Clinical Trial Protocol|Clinical Trial, Phase IV|Letter",1
Clinical Trial Protocol|Comparative Study|Journal Article|Observational Study,1
Clinical Trial Protocol|Comparative Study|Letter,1
Clinical Trial Protocol|Equivalence Trial|Letter,1
"Clinical Trial Protocol|Journal Article|Multicenter Study|Observational Study|Research Support, Non-U.S. Gov't",1
Clinical Trial Protocol|Journal Article|Multicenter Study|Randomized Controlled Trial,1
"Clinical Trial Protocol|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial Protocol|Journal Article|Research Support, N.I.H., Extramural",1
Clinical Trial Protocol|Letter|Multicenter Study|Observational Study|Randomized Controlled Trial,1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",1
"Clinical Trial, Phase I|Journal Article",1
"Clinical Trial, Phase I|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Journal Article|Research Support, N.I.H., Extramural",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
