ArticleType,Article_Count
Journal Article,247
Journal Article|Review,59
"Journal Article|Research Support, Non-U.S. Gov't",58
Clinical Trial Protocol|Letter,50
Journal Article|Randomized Controlled Trial,42
Clinical Trial Protocol|Journal Article,30
"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",27
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",21
"Journal Article|Research Support, Non-U.S. Gov't|Review",19
Preprint,19
"Clinical Trial Protocol|Journal Article|Research Support, Non-U.S. Gov't",16
Journal Article|Multicenter Study|Randomized Controlled Trial,15
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",11
"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't",9
Case Reports|Journal Article,7
"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",7
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",7
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",7
Clinical Trial|Journal Article,7
"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",7
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review",7
Journal Article|Multicenter Study,7
Journal Article|Observational Study,7
"Journal Article|Research Support, N.I.H., Extramural",7
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",7
Letter|Randomized Controlled Trial,7
"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",6
"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",6
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",5
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",5
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",5
Journal Article|Systematic Review,5
"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",4
"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",4
Comparative Study|Journal Article,4
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural",4
"Journal Article|Observational Study|Research Support, Non-U.S. Gov't",4
"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",4
Case Reports,3
Clinical Trial Protocol|Journal Article|Multicenter Study,3
Clinical Trial Protocol|Letter|Multicenter Study,3
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",3
"Clinical Trial, Phase II|Letter|Multicenter Study|Randomized Controlled Trial",3
"Clinical Trial|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",3
Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial,3
Evaluation Study|Journal Article,3
Journal Article|Meta-Analysis|Systematic Review,3
"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",3
Case Reports|Clinical Trial,2
"Clinical Trial Protocol|Clinical Trial, Phase I|Clinical Trial, Phase II|Letter",2
Clinical Trial Protocol|Comparative Study|Journal Article,2
"Clinical Trial Protocol|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
Clinical Trial Protocol|Letter|Multicenter Study|Randomized Controlled Trial,2
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase I|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",2
"Clinical Trial, Phase II|Journal Article",2
"Clinical Trial, Phase II|Journal Article|Multicenter Study",2
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial",2
"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",2
Comparative Study|Journal Article|Multicenter Study|Pragmatic Clinical Trial|Randomized Controlled Trial,2
Comparative Study|Journal Article|Randomized Controlled Trial,2
"Comparative Study|Journal Article|Research Support, Non-U.S. Gov't",2
Editorial,2
Historical Article|Journal Article|Review,2
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't",2
Journal Article|Multicenter Study|Pragmatic Clinical Trial|Randomized Controlled Trial,2
"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",2
Journal Article|Published Erratum,2
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",2
