ArticleType,Article_Count
Journal Article,116
"Journal Article|Research Support, Non-U.S. Gov't",30
Journal Article|Multicenter Study|Observational Study,13
Journal Article|Review,13
Journal Article|Multicenter Study,12
Journal Article|Observational Study,11
Letter,10
Letter|Comment,6
"Journal Article|Multicenter Study|Observational Study|Research Support, Non-U.S. Gov't",4
"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",4
"Journal Article|Observational Study|Research Support, Non-U.S. Gov't",4
"Journal Article|Research Support, N.I.H., Extramural",4
Case Reports|Journal Article,3
Clinical Trial|Journal Article,3
Comparative Study|Journal Article,2
"Comparative Study|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",2
Editorial,2
Evaluation Study|Journal Article,2
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural",2
Journal Article|Practice Guideline,2
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2
"Journal Article|Research Support, Non-U.S. Gov't|Review",2
"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",2
Case Reports,1
"Case Reports|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Case Reports|Journal Article|Research Support, Non-U.S. Gov't",1
Case Reports|Letter,1
"Clinical Trial Protocol|Journal Article|Research Support, Non-U.S. Gov't",1
Clinical Trial|Journal Article|Multicenter Study,1
Clinical Trial|Journal Article|Multicenter Study|Observational Study,1
Clinical Trial|Journal Article|Observational Study,1
"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't",1
"Clinical Trial|Letter|Multicenter Study|Research Support, N.I.H., Extramural",1
"Comparative Study|Letter|Research Support, Non-U.S. Gov't",1
Controlled Clinical Trial|Journal Article,1
Journal Article|Comment,1
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Review",1
Journal Article|Meta-Analysis|Systematic Review,1
"Journal Article|Multicenter Study|Observational Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Journal Article|Observational Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
Journal Article|Published Erratum,1
Journal Article|Randomized Controlled Trial,1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",1
"Journal Article|Research Support, Non-U.S. Gov't|Validation Study",1
Journal Article|Systematic Review,1
Journal Article|Video-Audio Media,1
"Letter|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Letter|Research Support, Non-U.S. Gov't",1
Preprint,1
