pmid,nct_id,Title,ArticleType,Substance,MeSH,PubDate,Journal,pub_source,ctg_links,Abstract
32251729,NCT04326790,The Greek study in the effects of colchicine in COvid-19 complications prevention (GRECCO-19 study): Rationale and study design.,Clinical Trial Protocol|Journal Article,Antirheumatic Agents|Troponin|Colchicine|NA,"Antirheumatic Agents|Betacoronavirus|COVID-19|COVID-19 Testing|Clinical Laboratory Techniques|Colchicine|Coronavirus Infections|Heart Diseases|Humans|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|SARS-CoV-2|Symptom Assessment|Troponin|NA",2020-07-24,Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese,Abstract,https://clinicaltrials.gov/ct2/show/NCT04326790,2
32293449,NCT04292964,Prognostic value of NT-proBNP in patients with severe COVID-19.,Journal Article|Observational Study,"Peptide Fragments|pro-brain natriuretic peptide (1-76)|Natriuretic Peptide, Brain|NA","Adult|Aged|Betacoronavirus|COVID-19|COVID-19 Testing|Clinical Laboratory Techniques|Coronavirus Infections|Female|Hospital Mortality|Humans|Male|Middle Aged|Mortality|Natriuretic Peptide, Brain|Pandemics|Peptide Fragments|Pneumonia, Viral|Predictive Value of Tests|Prognosis|Reference Values|Retrospective Studies|Risk Factors|SARS-CoV-2|NA",2020-04-22,Respiratory research,Abstract,https://clinicaltrials.gov/ct2/show/NCT04292964,2
32304640,NCT04315948,Hydroxychloroquine in the management of critically ill patients with COVID-19: the need for an evidence base.,Journal Article,Hydroxychloroquine|NA,"Betacoronavirus|COVID-19|Coronavirus Infections|Drug Repositioning|Evidence-Based Medicine|Health Services Needs and Demand|Humans|Hydroxychloroquine|Pandemics|Pneumonia, Viral|SARS-CoV-2|NA",2020-06-29,The Lancet. Respiratory medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04315948,3
32330277,NCT04323527,Effect of High vs Low Doses of Chloroquine Diphosphate as Adjunctive Therapy for Patients Hospitalized With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection: A Randomized Clinical Trial.,"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Anti-Bacterial Agents|Antiviral Agents|Oseltamivir|chloroquine diphosphate|Azithromycin|Chloroquine|NA,"Adult|Aged|Anti-Bacterial Agents|Antiviral Agents|Azithromycin|Betacoronavirus|Brazil|COVID-19|Chloroquine|Coronavirus Infections|Disease Outbreaks|Dose-Response Relationship, Drug|Double-Blind Method|Female|Humans|Male|Middle Aged|Oseltamivir|Pandemics|Pneumonia, Viral|SARS-CoV-2|Tertiary Care Centers|NA",2020-04-29,JAMA network open,Abstract,https://clinicaltrials.gov/ct2/show/NCT04323527,1
32330305,NCT04279782,"SARS-CoV-2 can be detected in urine, blood, anal swabs, and oropharyngeal swabs specimens.","Journal Article|Research Support, Non-U.S. Gov't","RNA, Viral|NA","Adult|Anal Canal|Body Fluids|COVID-19|Female|Humans|Male|Middle Aged|Oropharynx|RNA, Viral|Real-Time Polymerase Chain Reaction|SARS-CoV-2|NA",2020-12-23,Journal of medical virology,Abstract,https://clinicaltrials.gov/ct2/show/NCT04279782,1
32353223,NCT04318366,"Characteristics, treatment, outcomes and cause of death of invasively ventilated patients with COVID-19 ARDS in Milan, Italy.",Journal Article, , ,2020-05-05,Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04318366,10
32356926,NCT04355936,Telmisartan as tentative angiotensin receptor blocker therapeutic for COVID-19.,Journal Article,"Angiotensin II Type 1 Receptor Blockers|Spike Glycoprotein, Coronavirus|spike protein, SARS-CoV-2|ACE2 protein, human|Angiotensin-Converting Enzyme 2|Telmisartan|NA","Angiotensin II Type 1 Receptor Blockers|Angiotensin-Converting Enzyme 2|COVID-19|Clinical Trials, Phase II as Topic|Humans|Lung|Pandemics|Protein Binding|SARS-CoV-2|Spike Glycoprotein, Coronavirus|Telmisartan|Virus Internalization|NA",2020-12-04,Drug development research,Abstract,https://clinicaltrials.gov/ct2/show/NCT04355936,1
32383125,NCT04308668,Post-exposure prophylaxis or pre-emptive therapy for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2): study protocol for a pragmatic randomized-controlled trial.,Clinical Trial Protocol|Journal Article|Multicenter Study|Randomized Controlled Trial,Hydroxychloroquine|NA,"Betacoronavirus|COVID-19|Coronavirus Infections|Double-Blind Method|Humans|Hydroxychloroquine|Pandemics|Pneumonia, Viral|Post-Exposure Prophylaxis|SARS-CoV-2|Severity of Illness Index|NA",2020-08-24,Canadian journal of anaesthesia = Journal canadien d'anesthesie,Abstract,https://clinicaltrials.gov/ct2/show/NCT04308668,4
32386744,NCT04321278,Use of antimalarial drugs in the treatment of COVID-19: A window of opportunity?,Editorial,Antimalarials|NA,"Antimalarials|Betacoronavirus|COVID-19|Coronavirus Infections|Global Health|Humans|Pandemics|Pneumonia, Viral|SARS-CoV-2|Treatment Outcome|NA",2020-07-24,Medicina clinica,Abstract,https://clinicaltrials.gov/ct2/show/NCT04321278,2
32391667,NCT04261517,[A pilot study of hydroxychloroquine in treatment of patients with moderate COVID-19].,Journal Article|Randomized Controlled Trial,"RNA, Viral|Hydroxychloroquine|NA","Betacoronavirus|COVID-19|China|Coronavirus Infections|Humans|Hydroxychloroquine|Pandemics|Pilot Projects|Pneumonia, Viral|RNA, Viral|SARS-CoV-2|Treatment Outcome|NA",2020-05-12,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,Abstract,https://clinicaltrials.gov/ct2/show/NCT04261517,1
