pmid,ArticleType,Substance,MeSH,Title,PubDate,Journal,Article_Abstract,nct_id,pub_source,start_date.x,primary_completion_date.x,study_type.x,brief_title.x,overall_status.x,phase.x,source.x,why_stopped.x,pubmed_links,ctg_links,Abstract,Registry,Total_pubs,US_site_flag,id.x,country,Has_Results,Number_of_updates,intervention,vaccine_trial_flag,score
33624010,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't", ,COVID-19|COVID-19 Testing|Humans|Pandemics|SARS-CoV-2|Surveys and Questionnaires|NA,Patients With Uncomplicated Coronavirus Disease 2019 (COVID-19) Have Long-Term Persistent Symptoms and Functional Impairment Similar to Patients with Severe COVID-19: A Cautionary Tale During a Global Pandemic.,8/9/2021,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"<AbstractText>To assess the prevalence of persistent functional impairment after coronavirus disease (COVID-19), we assessed 118 individuals 3-4 months after their initial COVID-19 diagnosis with a symptom survey, work productivity and activity index questionnaire, and 6-minute walk test. We found significant persistent symptoms and functional impairment, even in non-hospitalized patients with COVID-19.</AbstractText><CopyrightInformation>Â© The Author(s) 2021. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.</CopyrightInformation>",NCT04292899,Abstract,3/6/2020,4/9/2020,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Severe Coronavirus Disease (COVID-19),Completed,Phase 3,Gilead Sciences,NA,https://pubmed.ncbi.nlm.nih.gov/33624010,https://clinicaltrials.gov/ct2/show/NCT04292899,2,0,2,1,74868851,"United States|China|France|Germany|Hong Kong|Italy|Japan|Korea, Republic of|Netherlands|Singapore|Spain|Sweden|Switzerland|Taiwan|United Kingdom",1,20,Remdesivir|Standard of Care,0,4.1279
33972949,Preprint, , ,LENZILUMAB EFFICACY AND SAFETY IN NEWLY HOSPITALIZED COVID-19 SUBJECTS: RESULTS FROM THE LIVE-AIR PHASE 3 RANDOMIZED DOUBLE-BLIND PLACEBO-CONTROLLED TRIAL.,5/15/2021,medRxiv : the preprint server for health sciences,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Severe COVID-19 pneumonia results from a hyperinflammatory immune response (cytokine storm, CS), characterized by GM-CSF mediated activation and trafficking of myeloid cells, leading to elevation of downstream inflammatory chemokines (MCP-1, IL-8, IP-10), cytokines (IL-6, IL-1), and other markers of systemic inflammation (CRP, D-dimer, ferritin). CS leads to fever, hypotension, coagulopathy, respiratory failure, ARDS, and death. Lenzilumab is a novel Humaneered <sup>Â®</sup> anti-human GM-CSF monoclonal antibody that directly binds GM-CSF and prevents signaling through its receptor. The LIVE-AIR Phase 3 randomized, double-blind, placebo-controlled trial investigated the efficacy and safety of lenzilumab to assess the potential for lenzilumab to improve the likelihood of ventilator-free survival (referred to herein as survival without ventilation, SWOV), beyond standard supportive care, in hospitalized subjects with severe COVID-19.</AbstractText><AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Subjects with COVID-19 (n=520), â‰¥18 years, and â‰¤94% oxygen saturation on room air and/or requiring supplemental oxygen, but not invasive mechanical ventilation, were randomized to receive lenzilumab (600 mg, n=261) or placebo (n=259) via three intravenous infusions administered 8 hours apart. Subjects were followed through Day 28 following treatment.</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Baseline demographics were comparable between the two treatment groups: male, 64.7%; mean age, 60.5 years; mean BMI, 32.5 kg/m <sup>2</sup> ; mean CRP, 98.36 mg/L; CRP was &lt;150 mg/L in 77.9% of subjects. The most common comorbidities were obesity (55.1%), diabetes (53.4%), chronic kidney disease (14.0%), and coronary artery disease (13.6%). Subjects received steroids (93.7%), remdesivir (72.4%), or both (69.1%). Lenzilumab improved the likelihood of SWOV by 54% in the mITT population (HR: 1.54; 95%CI: 1.02-2.31, p=0.041) and by 90% in the ITT population (HR: 1.90; 1.02-3.52, nominal p=0.043) compared to placebo. SWOV also relatively improved by 92% in subjects who received both corticosteroids and remdesivir (1.92; 1.20-3.07, nominal p=0.0067); by 2.96-fold in subjects with CRP&lt;150 mg/L and age &lt;85 years (2.96; 1.63-5.37, nominal p=0.0003); and by 88% in subjects hospitalized â‰¤2 days prior to randomization (1.88; 1.13-3.12, nominal p=0.015). Survival was improved by 2.17-fold in subjects with CRP&lt;150 mg/L and age &lt;85 years (2.17; 1.04-4.54, nominal p=0.040).</AbstractText><AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Lenzilumab significantly improved SWOV in hospitalized, hypoxic subjects with COVID-19 pneumonia over and above treatment with remdesivir and/or corticosteroids. Subjects with CRP&lt;150 mg/L and age &lt;85 years demonstrated an improvement in survival and had the greatest benefit from lenzilumab. NCT04351152.</AbstractText>",NCT04351152,Abstract,5/5/2020,3/31/2021,Interventional,Phase 3 Study to Evaluate Efficacy and Safety of Lenzilumab in Patients With COVID-19,"Active, not recruiting",Phase 3,"Humanigen, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/33972949,https://clinicaltrials.gov/ct2/show/NCT04351152,2,0,2,1,79710749,United States|Brazil,0,11,Lenzilumab|Standard of Care,0,4.123
33204764,Journal Article, , ,Safety of Hydroxychloroquine Among Outpatient Clinical Trial Participants for COVID-19.,6/22/2021,Open forum infectious diseases,"<AbstractText Label=""Background"" NlmCategory=""UNASSIGNED"">Use of hydroxychloroquine in hospitalized patients with coronavirus disease 2019 (COVID-19), especially in combination with azithromycin, has raised safety concerns. Here, we report safety data from 3 outpatient randomized clinical trials.</AbstractText><AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">We conducted 3 randomized, double-blind, placebo-controlled trials investigating hydroxychloroquine as pre-exposure prophylaxis, postexposure prophylaxis, and early treatment for COVID-19 using an internet-based design. We excluded individuals with contraindications to hydroxychloroquine. We collected side effects and serious adverse events. We report descriptive analyses of our findings.</AbstractText><AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">We enrolled 2795 participants. The median age of research participants (interquartile range) was 40 (34-49) years, and 59% (1633/2767) reported no chronic medical conditions. Overall 2544 (91%) participants reported side effect data, and 748 (29%) reported at least 1 medication side effect. Side effects were reported in 40% with once-daily, 36% with twice-weekly, 31% with once-weekly hydroxychloroquine, compared with 19% with placebo. The most common side effects were upset stomach or nausea (25% with once-daily, 19% with twice-weekly, and 18% with once-weekly hydroxychloroquine, vs 11% for placebo), followed by diarrhea, vomiting, or abdominal pain (23% for once-daily, 17% twice-weekly, and 13% once-weekly hydroxychloroquine, vs 7% for placebo). Two individuals were hospitalized for atrial arrhythmias, 1 on placebo and 1 on twice-weekly hydroxychloroquine. No sudden deaths occurred.</AbstractText><AbstractText Label=""Conclusions"" NlmCategory=""UNASSIGNED"">Data from 3 outpatient COVID-19 trials demonstrated that gastrointestinal side effects were common but mild with the use of hydroxychloroquine, while serious side effects were rare. No deaths occurred related to hydroxychloroquine. Randomized clinical trials, in cohorts of healthy outpatients, can safely investigate whether hydroxychloroquine is efficacious for COVID-19.</AbstractText><AbstractText Label=""ClinicalTrialsgov Identifier"" NlmCategory=""UNASSIGNED"">NCT04308668 for postexposure prophylaxis and early treatment trials; NCT04328467 for pre-exposure prophylaxis trial.</AbstractText><CopyrightInformation>Â© The Author(s) 2020. Published by Oxford University Press on behalf of Infectious Diseases Society of America.</CopyrightInformation>",NCT04328467,Abstract,4/6/2020,7/13/2020,Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/33204764,https://clinicaltrials.gov/ct2/show/NCT04328467,2,1,3,1,82397719,United States,1,7,Hydroxychloroquine|Placebo,0,4.1189
33204764,Journal Article, , ,Safety of Hydroxychloroquine Among Outpatient Clinical Trial Participants for COVID-19.,6/22/2021,Open forum infectious diseases,"<AbstractText Label=""Background"" NlmCategory=""UNASSIGNED"">Use of hydroxychloroquine in hospitalized patients with coronavirus disease 2019 (COVID-19), especially in combination with azithromycin, has raised safety concerns. Here, we report safety data from 3 outpatient randomized clinical trials.</AbstractText><AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">We conducted 3 randomized, double-blind, placebo-controlled trials investigating hydroxychloroquine as pre-exposure prophylaxis, postexposure prophylaxis, and early treatment for COVID-19 using an internet-based design. We excluded individuals with contraindications to hydroxychloroquine. We collected side effects and serious adverse events. We report descriptive analyses of our findings.</AbstractText><AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">We enrolled 2795 participants. The median age of research participants (interquartile range) was 40 (34-49) years, and 59% (1633/2767) reported no chronic medical conditions. Overall 2544 (91%) participants reported side effect data, and 748 (29%) reported at least 1 medication side effect. Side effects were reported in 40% with once-daily, 36% with twice-weekly, 31% with once-weekly hydroxychloroquine, compared with 19% with placebo. The most common side effects were upset stomach or nausea (25% with once-daily, 19% with twice-weekly, and 18% with once-weekly hydroxychloroquine, vs 11% for placebo), followed by diarrhea, vomiting, or abdominal pain (23% for once-daily, 17% twice-weekly, and 13% once-weekly hydroxychloroquine, vs 7% for placebo). Two individuals were hospitalized for atrial arrhythmias, 1 on placebo and 1 on twice-weekly hydroxychloroquine. No sudden deaths occurred.</AbstractText><AbstractText Label=""Conclusions"" NlmCategory=""UNASSIGNED"">Data from 3 outpatient COVID-19 trials demonstrated that gastrointestinal side effects were common but mild with the use of hydroxychloroquine, while serious side effects were rare. No deaths occurred related to hydroxychloroquine. Randomized clinical trials, in cohorts of healthy outpatients, can safely investigate whether hydroxychloroquine is efficacious for COVID-19.</AbstractText><AbstractText Label=""ClinicalTrialsgov Identifier"" NlmCategory=""UNASSIGNED"">NCT04308668 for postexposure prophylaxis and early treatment trials; NCT04328467 for pre-exposure prophylaxis trial.</AbstractText><CopyrightInformation>Â© The Author(s) 2020. Published by Oxford University Press on behalf of Infectious Diseases Society of America.</CopyrightInformation>",NCT04308668,Registry,3/17/2020,5/20/2020,Interventional,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/33204764,https://clinicaltrials.gov/ct2/show/NCT04308668,3,3,6,1,81244523,United States|Canada,1,14,Hydroxychloroquine|Placebo,0,4.1189
33068425,"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",Hydroxychloroquine|NA,COVID-19|Canada|Health Personnel|Humans|Hydroxychloroquine|Pre-Exposure Prophylaxis|SARS-CoV-2|NA,Hydroxychloroquine as Pre-exposure Prophylaxis for Coronavirus Disease 2019 (COVID-19) in Healthcare Workers: A Randomized Trial.,6/4/2021,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"<AbstractText Label=""BACKGROUND"">Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a rapidly emerging virus causing the ongoing coronavirus disease 2019 (COVID-19) pandemic with no known effective prophylaxis. We investigated whether hydroxychloroquine could prevent SARS-CoV-2 in healthcare workers at high risk of exposure.</AbstractText><AbstractText Label=""METHODS"">We conducted a randomized, double-blind, placebo-controlled clinical trial of healthcare workers with ongoing exposure to persons with SARS-CoV-2, including those working in emergency departments, intensive care units, COVID-19 hospital wards, and first responders. Participants across the United States and in the Canadian province of Manitoba were randomized to hydroxychloroquine loading dose then 400 mg once or twice weekly for 12 weeks. The primary endpoint was confirmed or probable COVID-19-compatible illness. We measured hydroxychloroquine whole-blood concentrations.</AbstractText><AbstractText Label=""RESULTS"">We enrolled 1483 healthcare workers, of whom 79% reported performing aerosol-generating procedures. The incidence of COVID-19 (laboratory-confirmed or symptomatic compatible illness) was 0.27 events/person-year with once-weekly and 0.28 events/person-year with twice-weekly hydroxychloroquine compared with 0.38 events/person-year with placebo. For once-weekly hydroxychloroquine prophylaxis, the hazard ratio was .72 (95% CI, .44-1.16; P = .18) and for twice-weekly was .74 (95% CI, .46-1.19; P = .22) compared with placebo. Median hydroxychloroquine concentrations in whole blood were 98 ng/mL (IQR, 82-120) with once-weekly and 200 ng/mL (IQR, 159-258) with twice-weekly dosing. Hydroxychloroquine concentrations did not differ between participants who developed COVID-19-compatible illness (154 ng/mL) versus participants without COVID-19 (133 ng/mL; P = .08).</AbstractText><AbstractText Label=""CONCLUSIONS"">Pre-exposure prophylaxis with hydroxychloroquine once or twice weekly did not significantly reduce laboratory-confirmed COVID-19 or COVID-19-compatible illness among healthcare workers.</AbstractText><AbstractText Label=""CLINICAL TRIALS REGISTRATION"">Clinicaltrials.gov NCT04328467.</AbstractText><CopyrightInformation>Â© The Author(s) 2020. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.</CopyrightInformation>",NCT04328467,Abstract,4/6/2020,7/13/2020,Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/33068425,https://clinicaltrials.gov/ct2/show/NCT04328467,2,1,3,1,82397719,United States,1,7,Hydroxychloroquine|Placebo,0,4.1178
33068425,"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",Hydroxychloroquine|NA,COVID-19|Canada|Health Personnel|Humans|Hydroxychloroquine|Pre-Exposure Prophylaxis|SARS-CoV-2|NA,Hydroxychloroquine as Pre-exposure Prophylaxis for Coronavirus Disease 2019 (COVID-19) in Healthcare Workers: A Randomized Trial.,6/4/2021,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"<AbstractText Label=""BACKGROUND"">Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a rapidly emerging virus causing the ongoing coronavirus disease 2019 (COVID-19) pandemic with no known effective prophylaxis. We investigated whether hydroxychloroquine could prevent SARS-CoV-2 in healthcare workers at high risk of exposure.</AbstractText><AbstractText Label=""METHODS"">We conducted a randomized, double-blind, placebo-controlled clinical trial of healthcare workers with ongoing exposure to persons with SARS-CoV-2, including those working in emergency departments, intensive care units, COVID-19 hospital wards, and first responders. Participants across the United States and in the Canadian province of Manitoba were randomized to hydroxychloroquine loading dose then 400 mg once or twice weekly for 12 weeks. The primary endpoint was confirmed or probable COVID-19-compatible illness. We measured hydroxychloroquine whole-blood concentrations.</AbstractText><AbstractText Label=""RESULTS"">We enrolled 1483 healthcare workers, of whom 79% reported performing aerosol-generating procedures. The incidence of COVID-19 (laboratory-confirmed or symptomatic compatible illness) was 0.27 events/person-year with once-weekly and 0.28 events/person-year with twice-weekly hydroxychloroquine compared with 0.38 events/person-year with placebo. For once-weekly hydroxychloroquine prophylaxis, the hazard ratio was .72 (95% CI, .44-1.16; P = .18) and for twice-weekly was .74 (95% CI, .46-1.19; P = .22) compared with placebo. Median hydroxychloroquine concentrations in whole blood were 98 ng/mL (IQR, 82-120) with once-weekly and 200 ng/mL (IQR, 159-258) with twice-weekly dosing. Hydroxychloroquine concentrations did not differ between participants who developed COVID-19-compatible illness (154 ng/mL) versus participants without COVID-19 (133 ng/mL; P = .08).</AbstractText><AbstractText Label=""CONCLUSIONS"">Pre-exposure prophylaxis with hydroxychloroquine once or twice weekly did not significantly reduce laboratory-confirmed COVID-19 or COVID-19-compatible illness among healthcare workers.</AbstractText><AbstractText Label=""CLINICAL TRIALS REGISTRATION"">Clinicaltrials.gov NCT04328467.</AbstractText><CopyrightInformation>Â© The Author(s) 2020. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.</CopyrightInformation>",NCT04328467,Registry,4/6/2020,7/13/2020,Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/33068425,https://clinicaltrials.gov/ct2/show/NCT04328467,2,1,3,1,82397719,United States,1,7,Hydroxychloroquine|Placebo,0,4.1178
31282542,"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",Biomarkers|Phosphodiesterase Inhibitors|Dipyridamole|NA,Adolescent|Adult|Biomarkers|Chronic Disease|Dipyridamole|Double-Blind Method|HIV Infections|HIV-1|Humans|Inflammation|Middle Aged|Phosphodiesterase Inhibitors|Pilot Projects|Young Adult|NA,"A Randomized, Placebo-Controlled, Pilot Clinical Trial of Dipyridamole to Decrease Human Immunodeficiency Virus-Associated Chronic Inflammation.",2/5/2021,The Journal of infectious diseases,"<AbstractText Label=""BACKGROUND"">Adenosine is a potent immunoregulatory nucleoside produced during inflammatory states to limit tissue damage. We hypothesized that dipyridamole, which inhibits cellular adenosine uptake, could raise the extracellular adenosine concentration and dampen chronic inflammation associated with human immunodeficiency virus (HIV) type 1.</AbstractText><AbstractText Label=""METHODS"">Virally suppressed participants receiving antiretroviral therapy were randomized 1:1 for 12 weeks of dipyridamole (100 mg 4 times a day) versus placebo capsules. All participants took open-label dipyridamole during weeks 12-24. Study end points included changes in markers of systemic inflammation (soluble CD163 and CD14, and interleukin 6) and levels of T-cell immune activation (HLA-DR+CD38+).</AbstractText><AbstractText Label=""RESULTS"">Of 40 participants who were randomized, 17 dipyridamole and 18 placebo recipients had baseline and week 12 data available for analyses. There were no significant changes in soluble markers, apart from a trend toward decreased levels of soluble CD163 levels (P = .09). There was a modest decrease in CD8+ T-cell activation (-17.53% change for dipyridamole vs +13.31% for placebo; P = .03), but the significance was lost in the pooled analyses (P = .058). Dipyridamole also reduced CD4+ T-cell activation (-11.11% change; P = .006) in the pooled analyses. In post hoc analysis, detectable plasma dipyridamole levels were associated with higher levels of inosine, an adenosine surrogate, and of cyclic adenosine monophosphate.</AbstractText><AbstractText Label=""CONCLUSION"">Dipyridamole increased extracellular adenosine levels and decreased T-cell activation significantly among persons with HIV-1 infection receiving virally suppressive therapy.</AbstractText><CopyrightInformation>Â© The Author(s) 2019. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.</CopyrightInformation>",NCT04410328,Registry,10/21/2020,3/15/2021,Interventional,Aggrenox To Treat Acute Covid-19,Recruiting,Phase 3,"Rutgers, The State University of New Jersey",NA,https://pubmed.ncbi.nlm.nih.gov/31282542,https://clinicaltrials.gov/ct2/show/NCT04410328,0,5,5,1,74816930,United States,0,4,Dipyridamole ER 200mg/ Aspirin 25mg orally/enterally AND Standard of care|Standard of care,0,4.1173
33681731,Journal Article, , ,Hydroxychloroquine with or without azithromycin for treatment of early SARS-CoV-2 infection among high-risk outpatient adults: A randomized clinical trial.,4/2/2021,EClinicalMedicine,"<AbstractText Label=""Background"" NlmCategory=""UNASSIGNED"">Treatment options for outpatients with COVID-19 could reduce morbidity and prevent SARS-CoV-2 transmission.</AbstractText><AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">In this randomized, double-blind, three-arm (1:1:1) placebo-equivalent controlled trial conducted remotely throughout the United States, adult outpatients with laboratory-confirmed SARS-CoV-2 infection were recruited. Participants were randomly assigned to receive hydroxychloroquine (HCQ) (400Â mg BID x1day, followed by 200Â mg BID x9days) with or without azithromycin (AZ) (500Â mg, then 250Â mg daily x4days) or placebo-equivalent (ascorbic acid (HCQ) and folic acid (AZ)), stratified by risk for progression to severe COVID-19 (high-risk vs. low-risk). Self-collected nasal swabs for SARS-CoV-2 PCR, FLUPro symptom surveys, EKGs and vital signs were collected daily. Primary endpoints were: (a) 14-day progression to lower respiratory tract infection (LRTI), 28-day COVID-19 related hospitalization, or death; (b) 14-day time to viral clearance; secondary endpoints included time to symptom resolution (ClinicalTrials.gov: NCT04354428). Due to the low rate of clinical outcomes, the study was terminated for operational futility.</AbstractText><AbstractText Label=""Findings"" NlmCategory=""UNASSIGNED"">Between 15th April and 27th July 2020, 231 participants were enrolled and 219 initiated medication a median of 5.9 days after symptom onset. Among 129 high-risk participants, incident LRTI occurred in six (4.7%) participants (two control, four HCQ/AZ) and COVID-19 related hospitalization in seven (5.4%) (four control, one HCQ, two HCQ/AZ); no LRTI and two (2%) hospitalizations occurred in the 102 low-risk participants (one HCQ, one HCQ/AZ). There were no deaths. Among 152 participants with viral shedding at enrollment, median time to clearance was 5 days (95% CI=4-6) in HCQ, 6 days (95% CI=4-8) in HCQ/AZ, and 8 days (95% CI=6-10) in control. Viral clearance was faster in HCQ (HR=1.62, 95% CI=1.01-2.60, <i>p</i>Â =Â 0.047) but not HCQ/AZ (HR=1.25, <i>p</i>Â =Â 0.39) compared to control. Among 197 participants who met the COVID-19 definition at enrollment, time to symptom resolution did not differ by group (HCQ: HR=1.02, 95% CI-0.63-1.64, <i>p</i>Â =Â 0.95, HCQ/AZ: HR=0.91, 95% CI=0.57-1.45, <i>p</i>Â =Â 0.70).</AbstractText><AbstractText Label=""Interpretation"" NlmCategory=""UNASSIGNED"">Neither HCQ nor HCQ/AZ shortened the clinical course of outpatients with COVID-19, and HCQ, but not HCQ/AZ, had only a modest effect on SARS-CoV-2 viral shedding. HCQ and HCQ/AZ are not effective therapies for outpatient treatment of SARV-CoV-2 infection.</AbstractText><AbstractText Label=""Funding"" NlmCategory=""UNASSIGNED"">The COVID-19 Early Treatment Study was funded by the Bill &amp; Melinda Gates Foundation (INV-017062) through the COVID-19 Therapeutics Accelerator. University of Washington Institute of Translational Health Science (ITHS) grant support (UL1 TR002319), KL2 TR002317, and TL1 TR002318 from NCATS/NIH funded REDCap. The content is solely the responsibility of the authors and does not necessarily represent the views, decisions, or policies of the institutions with which they are affiliated. PAN and MJA were supported by the Mayo Clinic Windland Smith Rice Comprehensive Sudden Cardiac Death Program.<b>Trial registration</b> ClinicalTrials.gov number NCT04354428.</AbstractText><CopyrightInformation>Â© 2021 The Author(s).</CopyrightInformation>",NCT04354428,Abstract,4/16/2020,12/31/2020,Interventional,Treatment for COVID-19 in High-Risk Adult Outpatients,"Active, not recruiting",Phase 2/Phase 3,University of Washington,NA,https://pubmed.ncbi.nlm.nih.gov/33681731,https://clinicaltrials.gov/ct2/show/NCT04354428,1,0,1,1,74832187,United States,0,6,Ascorbic Acid|Hydroxychloroquine Sulfate|Azithromycin|Folic Acid|Lopinavir 200 MG / Ritonavir 50 MG [Kaletra],0,4.1142
33153629,"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't","Antibodies, Monoclonal, Humanized|Granulocyte-Macrophage Colony-Stimulating Factor|lenzilumab|NA","Aged|Antibodies, Monoclonal, Humanized|COVID-19|Dose-Response Relationship, Drug|Female|Granulocyte-Macrophage Colony-Stimulating Factor|Humans|Infusions, Intravenous|Male|Middle Aged|Pandemics|SARS-CoV-2|Treatment Outcome|NA",GM-CSF Neutralization With Lenzilumab in Severe COVID-19 Pneumonia: A Case-Cohort Study.,12/8/2020,Mayo Clinic proceedings,"<AbstractText Label=""OBJECTIVE"">To assess the efficacy and safety of lenzilumab in patients with severe coronavirus disease 2019 (COVID-19) pneumonia.</AbstractText><AbstractText Label=""METHODS"">Hospitalized patients with COVID-19 pneumonia and risk factors for poor outcomesÂ were treated with lenzilumab 600 mg intravenously for three doses through an emergency single-use investigational new drug application. Patient characteristics, clinical andÂ laboratory outcomes, and adverse events were recorded. We also identified a cohort of patients matched to the lenzilumab patients for age, sex, and disease severity. Study dates were March 13, 2020, to June 18, 2020. All patients were followed through hospital discharge or death.</AbstractText><AbstractText Label=""RESULTS"">Twelve patients were treated with lenzilumab; 27 patients comprised the matched control cohort (untreated). Clinical improvement, defined as improvement of at least 2 points on the 8-point ordinal clinical endpoints scale, was observed in 11 of 12 (91.7%) patients treated with lenzilumab and 22 of 27 (81.5%) untreated patients. The time to clinical improvement was significantly shorter for the lenzilumab-treated group compared with the untreated cohort with a median of 5 days versus 11 days (P=.006). Similarly, the proportion of patients with acute respiratory distress syndrome (oxygen saturation/fraction of inspired oxygen&lt;315 mm Hg) was significantly reduced over time when treated with lenzilumab compared with untreated (P&lt;.001). Significant improvement in inflammatory markers (C-reactive protein and interleukin 6) and markers of disease severity (absolute lymphocyte count) were observed in patients who received lenzilumab, but not in untreated patients. Cytokine analysis showed a reduction in inflammatory myeloid cells 2 days after lenzilumab treatment. There were no treatment-emergent adverse events attributable to lenzilumab.</AbstractText><AbstractText Label=""CONCLUSION"">In high-risk COVID-19 patients with severe pneumonia, granulocyte-macrophage colony-stimulating factor neutralization with lenzilumab was safe and associated with faster improvement in clinical outcomes, including oxygenation, and greater reductions in inflammatory markers compared with a matched control cohort of patients hospitalized with severe COVID-19 pneumonia. A randomized, placebo-controlled clinical trial to validate these findings is ongoing (NCT04351152).</AbstractText><CopyrightInformation>Copyright Â© 2020. Published by Elsevier Inc.</CopyrightInformation>",NCT04351152,Abstract,5/5/2020,3/31/2021,Interventional,Phase 3 Study to Evaluate Efficacy and Safety of Lenzilumab in Patients With COVID-19,"Active, not recruiting",Phase 3,"Humanigen, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/33153629,https://clinicaltrials.gov/ct2/show/NCT04351152,2,0,2,1,79710749,United States|Brazil,0,11,Lenzilumab|Standard of Care,0,4.114
34269813,"Journal Article|Research Support, Non-U.S. Gov't", , ,Effect of Oral Azithromycin vs Placebo on COVID-19 Symptoms in Outpatients With SARS-CoV-2 Infection: A Randomized Clinical Trial.,8/11/2021,JAMA,"<AbstractText Label=""Importance"">Azithromycin has been hypothesized to have activity against SARS-CoV-2.</AbstractText><AbstractText Label=""Objective"">To determine whether oral azithromycin in outpatients with SARS-CoV-2 infection leads to absence of self-reported COVID-19 symptoms at day 14.</AbstractText><AbstractText Label=""Design, Setting, and Participants"">Randomized clinical trial of azithromycin vs matching placebo conducted from May 2020 through March 2021. Outpatients from the US were enrolled remotely via internet-based surveys and followed up for 21 days. Eligible participants had a positive SARS-CoV-2 diagnostic test result (nucleic acid amplification or antigen) within 7 days prior to enrollment, were aged 18 years or older, and were not hospitalized at the time of enrollment. Among 604 individuals screened, 297 were ineligible, 44 refused participation, and 263 were enrolled. Participants, investigators, and study staff were masked to treatment randomization.</AbstractText><AbstractText Label=""Interventions"">Participants were randomized in a 2:1 fashion to a single oral 1.2-g dose of azithromycin (nâ€‰=â€‰171) or matching placebo (nâ€‰=â€‰92).</AbstractText><AbstractText Label=""Main Outcomes and Measures"">The primary outcome was absence of self-reported COVID-19 symptoms at day 14. There were 23 secondary clinical end points, including all-cause hospitalization at day 21.</AbstractText><AbstractText Label=""Results"">Among 263 participants who were randomized (median age, 43 years; 174 [66%] women; 57% non-Hispanic White and 29% Latinx/Hispanic), 76% completed the trial. The trial was terminated by the data and safety monitoring committee for futility after the interim analysis. At day 14, there was no significant difference in proportion of participants who were symptom free (azithromycin: 50%; placebo: 50%; prevalence difference, 0%; 95% CI, -14% to 15%; Pâ€‰&gt;â€‰.99). Of 23 prespecified secondary clinical end points, 18 showed no significant difference. By day 21, 5 participants in the azithromycin group had been hospitalized compared with 0 in the placebo group (prevalence difference, 4%; 95% CI, -1% to 9%; Pâ€‰=â€‰.16).</AbstractText><AbstractText Label=""Conclusions and Relevance"">Among outpatients with SARS-CoV-2 infection, treatment with a single dose of azithromycin compared with placebo did not result in greater likelihood of being symptom free at day 14. These findings do not support the routine use of azithromycin for outpatient SARS-CoV-2 infection.</AbstractText><AbstractText Label=""Trial Registration"">ClinicalTrials.gov Identifier: NCT04332107.</AbstractText>",NCT04332107,Abstract,5/22/2020,9/30/2021,Interventional,Azithromycin for COVID-19 Treatment in Outpatients Nationwide,"Active, not recruiting",Phase 3,"University of California, San Francisco",NA,https://pubmed.ncbi.nlm.nih.gov/34269813,https://clinicaltrials.gov/ct2/show/NCT04332107,1,0,1,1,80035514,United States,0,10,Azithromycin|Placebos,0,4.1138
