nct_id,start_date.x,primary_completion_date.x,study_type.x,brief_title.x,overall_status.x,phase.x,source.x,why_stopped.x,ctg_links,Abstract,Registry,Total_pubs,US_site_flag,country,Has_Results,Number_of_updates,intervention,vaccine_trial_flag
NCT04332107,5/22/2020,9/30/2021,Interventional,Azithromycin for COVID-19 Treatment in Outpatients Nationwide,"Active, not recruiting",Phase 3,"University of California, San Francisco",NA,https://clinicaltrials.gov/ct2/show/NCT04332107,1,0,1,1,United States,0,10,Azithromycin|Placebos,0
NCT04649151,12/9/2020,6/30/2022,Interventional,"A Study to Evaluate the Safety, Reactogenicity, and Effectiveness of mRNA-1273 Vaccine in Adolescents 12 to <18 Years Old to Prevent COVID-19","Active, not recruiting",Phase 2/Phase 3,"ModernaTX, Inc.",NA,https://clinicaltrials.gov/ct2/show/NCT04649151,1,0,1,1,United States,0,8,mRNA-1273|Placebo,1
NCT04322682,3/23/2020,1/21/2021,Interventional,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA),Completed,Phase 3,Montreal Heart Institute,NA,https://clinicaltrials.gov/ct2/show/NCT04322682,1,0,1,1,United States|Brazil|Canada|South Africa|Spain,0,13,Colchicine|Placebo oral tablet,0
NCT04362813,4/30/2020,9/16/2020,Interventional,Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia,Completed,Phase 3,Novartis,NA,https://clinicaltrials.gov/ct2/show/NCT04362813,2,0,2,1,United States|France|Italy|Russian Federation|Spain|United Kingdom,0,19,Canakinumab|Placebo,0
NCT04292899,3/6/2020,4/9/2020,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Severe Coronavirus Disease (COVID-19),Completed,Phase 3,Gilead Sciences,NA,https://clinicaltrials.gov/ct2/show/NCT04292899,2,0,2,1,"United States|China|France|Germany|Hong Kong|Italy|Japan|Korea, Republic of|Netherlands|Singapore|Spain|Sweden|Switzerland|Taiwan|United Kingdom",1,20,Remdesivir|Standard of Care,0
NCT04452318,7/13/2020,9/25/2021,Interventional,COVID-19 Study Assessing the Efficacy and Safety of Anti-Spike SARS CoV-2 Monoclonal Antibodies for Prevention of SARS CoV-2 Infection Asymptomatic in Healthy Adults and Adolescents Who Are Household Contacts to an Individual With a Positive SARS-CoV-2 RT-PCR Assay,"Active, not recruiting",Phase 3,Regeneron Pharmaceuticals,NA,https://clinicaltrials.gov/ct2/show/NCT04452318,3,0,3,1,"United States|Moldova, Republic of|Romania",0,16,REGN10933 + REGN10987|Placebo,0
NCT04372589,5/20/2020,5/17/2021,Interventional,Antithrombotic Therapy to Ameliorate Complications of COVID-19 (ATTACC),Completed,Phase 2/Phase 3,University of Manitoba,NA,https://clinicaltrials.gov/ct2/show/NCT04372589,3,0,3,1,United States|Brazil|Canada|Mexico,0,6,Heparin,1
NCT04427501,6/17/2020,9/20/2020,Interventional,A Study of LY3819253 (LY-CoV555) and LY3832479 (LY-CoV016) in Participants With Mild to Moderate COVID-19 Illness,Recruiting,Phase 2/Phase 3,Eli Lilly and Company,NA,https://clinicaltrials.gov/ct2/show/NCT04427501,4,0,4,1,United States|Puerto Rico,0,43,LY3819253|LY3832479|Placebo,0
NCT04340557,3/27/2020,6/13/2020,Interventional,Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection,Completed,Phase 4,Sharp HealthCare,NA,https://clinicaltrials.gov/ct2/show/NCT04340557,1,0,1,1,United States,1,4,Losartan,0
NCT04350593,4/22/2020,4/1/2021,Interventional,Dapagliflozin in Respiratory Failure in Patients With COVID-19,"Active, not recruiting",Phase 3,Saint Luke's Health System,NA,https://clinicaltrials.gov/ct2/show/NCT04350593,1,0,1,1,United States|Argentina|Brazil|Canada|India|Mexico|United Kingdom,0,5,Dapagliflozin 10 MG|Placebo,0
