nct_id,start_date.x,primary_completion_date.x,study_type.x,brief_title.x,overall_status.x,phase.x,source.x,why_stopped.x,pubmed_links,ctg_links,Abstract,Registry,Total_pubs,country,Has_Results,Number_of_updates,intervention,vaccine_trial_flag
NCT04292899,3/6/2020,4/9/2020,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Severe Coronavirus Disease (COVID-19),Completed,Phase 3,Gilead Sciences,NA,https://pubmed.ncbi.nlm.nih.gov/32706859,https://clinicaltrials.gov/ct2/show/NCT04292899,3,0,3,"United States|China|France|Germany|Hong Kong|Italy|Japan|Korea, Republic of|Netherlands|Singapore|Spain|Sweden|Switzerland|Taiwan|United Kingdom",1,20,Remdesivir|Standard of Care,0
NCT04351152,5/5/2020,3/31/2021,Interventional,Phase 3 Study to Evaluate Efficacy and Safety of Lenzilumab in Patients With COVID-19,"Active, not recruiting",Phase 3,"Humanigen, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/34863332,https://clinicaltrials.gov/ct2/show/NCT04351152,3,0,3,United States|Brazil,0,11,Lenzilumab|Standard of Care,0
NCT04355767,8/11/2020,3/29/2021,Interventional,Convalescent Plasma in Outpatients With COVID-19,Completed,Phase 3,Stanford University,NA,https://pubmed.ncbi.nlm.nih.gov/34407339,https://clinicaltrials.gov/ct2/show/NCT04355767,1,1,2,United States,1,14,Convalescent Plasma|Saline,0
NCT04492475,8/5/2020,12/21/2020,Interventional,Adaptive COVID-19 Treatment Trial 3 (ACTT-3),Completed,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://pubmed.ncbi.nlm.nih.gov/34672949,https://clinicaltrials.gov/ct2/show/NCT04492475,2,0,2,"United States|Japan|Korea, Republic of|Mexico|Singapore",1,31,Interferon beta-1a|Placebo|Remdesivir,0
NCT04328467,4/6/2020,7/13/2020,Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/33204764,https://clinicaltrials.gov/ct2/show/NCT04328467,2,1,3,United States,1,7,Hydroxychloroquine|Placebo,0
NCT04308668,3/17/2020,5/20/2020,Interventional,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/33204764,https://clinicaltrials.gov/ct2/show/NCT04308668,3,3,6,United States|Canada,1,14,Hydroxychloroquine|Placebo,0
NCT04410328,10/21/2020,3/15/2021,Interventional,Aggrenox To Treat Acute Covid-19,Recruiting,Phase 3,"Rutgers, The State University of New Jersey",NA,https://pubmed.ncbi.nlm.nih.gov/31282542,https://clinicaltrials.gov/ct2/show/NCT04410328,0,5,5,United States,0,4,Dipyridamole ER 200mg/ Aspirin 25mg orally/enterally AND Standard of care|Standard of care,0
NCT04354428,4/16/2020,12/31/2020,Interventional,Treatment for COVID-19 in High-Risk Adult Outpatients,"Active, not recruiting",Phase 2/Phase 3,University of Washington,NA,https://pubmed.ncbi.nlm.nih.gov/33681731,https://clinicaltrials.gov/ct2/show/NCT04354428,1,0,1,United States,0,7,Ascorbic Acid|Hydroxychloroquine Sulfate|Azithromycin|Folic Acid|Lopinavir 200 MG / Ritonavir 50 MG [Kaletra],0
NCT04332107,5/22/2020,3/16/2021,Interventional,Azithromycin for COVID-19 Treatment in Outpatients Nationwide,Terminated,Phase 3,"University of California, San Francisco",Futility,https://pubmed.ncbi.nlm.nih.gov/34269813,https://clinicaltrials.gov/ct2/show/NCT04332107,1,0,1,United States,1,13,Azithromycin|Placebos,0
NCT04328961,3/31/2020,9/24/2020,Interventional,Hydroxychloroquine for COVID-19 Post-exposure Prophylaxis (PEP),Completed,Phase 2/Phase 3,University of Washington,NA,https://pubmed.ncbi.nlm.nih.gov/33284679,https://clinicaltrials.gov/ct2/show/NCT04328961,2,0,2,United States,1,7,Hydroxychloroquine Sulfate|Ascorbic Acid,0
NCT04322682,3/23/2020,1/21/2021,Interventional,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA),Terminated,Phase 3,Montreal Heart Institute,"Due to several considerations (logistical, human and budgetary), the study was stopped early.",https://pubmed.ncbi.nlm.nih.gov/34051877,https://clinicaltrials.gov/ct2/show/NCT04322682,1,0,1,United States|Brazil|Canada|Greece|South Africa|Spain,1,14,Colchicine|Placebo oral tablet,0
NCT04546581,10/8/2020,5/21/2021,Interventional,Inpatient Treatment of COVID-19 With Anti-Coronavirus Immunoglobulin (ITAC),Completed,Phase 3,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/33715160,https://clinicaltrials.gov/ct2/show/NCT04546581,1,0,1,United States|Denmark|Greece|Japan|Nigeria|Spain|United Kingdom,0,9,Hyperimmune immunoglobulin to SARS-CoV-2 (hIVIG)|Placebo|Remdesivir,0
NCT04292730,3/15/2020,4/29/2020,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Completed,Phase 3,Gilead Sciences,NA,https://pubmed.ncbi.nlm.nih.gov/32821939,https://clinicaltrials.gov/ct2/show/NCT04292730,1,1,2,"United States|China|France|Germany|Hong Kong|Italy|Japan|Korea, Republic of|Netherlands|Singapore|Spain|Sweden|Switzerland|Taiwan|United Kingdom",1,20,Remdesivir|Standard of Care,0
