nct_id,start_date.x,primary_completion_date.x,study_type.x,brief_title.x,overall_status.x,phase.x,source.x,why_stopped.x,pubmed_links,ctg_links,Abstract,Registry,Total_pubs,country,Has_Results,Number_of_updates,intervention,vaccine_trial_flag
NCT04292964,3/1/2020,3/13/2020,Observational,Prognostic Factors of Patients With COVID-19,Completed,NA,Chongqing Medical University,NA,https://pubmed.ncbi.nlm.nih.gov/32293449,https://clinicaltrials.gov/ct2/show/NCT04292964,2,0,2,China,0,3,NA,0
NCT04279782,1/20/2020,1/31/2021,Observational,Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection,Recruiting,NA,"Third Affiliated Hospital, Sun Yat-Sen University",NA,https://pubmed.ncbi.nlm.nih.gov/32330305,https://clinicaltrials.gov/ct2/show/NCT04279782,1,0,1,China,0,1,Comprehensive treatment,0
NCT04318366,3/19/2020,3/19/2023,Observational,"COVID-19 Patients Characterization, Biobank, Treatment Response and Outcome Predictor",Recruiting,NA,UniversitÃ  Vita-Salute San Raffaele,NA,https://pubmed.ncbi.nlm.nih.gov/32353223,https://clinicaltrials.gov/ct2/show/NCT04318366,10,0,10,Italy,0,4,Observational Study,0
NCT04374071,3/12/2020,3/27/2020,Observational,Early Short Course Corticosteroids in COVID-19,Completed,NA,Henry Ford Health System,NA,https://pubmed.ncbi.nlm.nih.gov/32427279,https://clinicaltrials.gov/ct2/show/NCT04374071,1,0,1,United States,0,0,Methylprednisolone,0
NCT04324736,3/10/2020,4/10/2020,Observational,"""COVID-19 and Diabetes Outcomes""",Completed,NA,Nantes University Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/32472191,https://clinicaltrials.gov/ct2/show/NCT04324736,3,0,3,France,0,7,no interventional study,0
NCT04368338,4/28/2020,1/28/2021,Observational,Lung Ultrasound to Diagnose COVID-19,Completed,NA,"Centre Hospitalier Universitaire, Amiens",NA,https://pubmed.ncbi.nlm.nih.gov/32520406,https://clinicaltrials.gov/ct2/show/NCT04368338,1,0,1,France,0,2,COVID-19 RT-PCR|lung ultrasound,0
NCT04352517,3/16/2020,8/31/2020,Observational,Influence Physical Activity Psychological Responses COVID-19 Pandemic,Completed,NA,University of Extremadura,NA,https://pubmed.ncbi.nlm.nih.gov/32527993,https://clinicaltrials.gov/ct2/show/NCT04352517,1,0,1,Brazil|Chile|Uruguay,0,2,Online Survey,0
NCT04343781,3/22/2020,4/5/2020,Observational,National Survey of Symptoms of People Aged 70 and Overs Diagnosed With COVID-19,Completed,NA,"University Hospital, Angers",NA,https://pubmed.ncbi.nlm.nih.gov/32556328,https://clinicaltrials.gov/ct2/show/NCT04343781,1,0,1,France,0,2,observation,0
NCT04365959,3/20/2020,4/9/2020,Observational,The Prone Position in Covid-19 Affected Patients,"Active, not recruiting",NA,University of Milano Bicocca,NA,https://pubmed.ncbi.nlm.nih.gov/32569585,https://clinicaltrials.gov/ct2/show/NCT04365959,1,0,1,Italy,0,2,Prone position,0
NCT04338672,4/5/2020,4/1/2021,Observational,The Impact of the Covid-19 Outbreak on Emergency Room Attendances of Surgical Patients,Recruiting,NA,Sheba Medical Center,NA,https://pubmed.ncbi.nlm.nih.gov/32589496,https://clinicaltrials.gov/ct2/show/NCT04338672,1,0,1,Israel,0,1,COVID-19 Pandemic,0
