Intervention_type,intervention,Study_count,Date of First Study,N/A,Phase 1,Phase 2,Phase 3,Phase 4,sponsor_counts,Score,NUmber_of_sponsors,NUmber_of_Publications
Other,standard care,189,2020-05-07,33,5,74,64,13,"Grifols Therapeutics LLC ( 5 )|Assistance Publique - HÃ´pitaux de Paris ( 3 )|Gilead Sciences ( 3 )|Indonesia University ( 3 )|Ampio Pharmaceuticals. Inc. ( 2 )|Applied Biology, Inc. ( 2 )|Baqiyatallah Medical Sciences University ( 2 )|Cadila Healthcare Limited ( 2 )|Cambridge University Hospitals NHS Foundation Trust ( 2 )|Corvus Pharmaceuticals, Inc. ( 2 )|Edesa Biotech Inc. ( 2 )|Emory University ( 2 )|Fundacion Clinic per a la Recerca BiomÃ©dica ( 2 )|Hamad Medical Corporation ( 2 )|Laboratorio Elea Phoenix S.A. ( 2 )|Postgraduate Institute of Medical Education and Research ( 2 )|Royal College of Surgeons in Ireland - Medical University of Bahrain ( 2 )|Rutgers, The State University of New Jersey ( 2 )|Stanford University ( 2 )|University of Catanzaro ( 2 )|University of the Philippines ( 2 )|West Virginia University ( 2 )|Aarogyam UK ( 1 )|Abu Dhabi Stem Cells Center ( 1 )|Academic and Community Cancer Research United ( 1 )|Ain Shams University ( 1 )|Alkarkh Health Directorate-Baghdad ( 1 )|All Natural Medicine Clinic, LLC ( 1 )|Allegheny Singer Research Institute (also known as Allegheny Health Network Research Institute) ( 1 )|Amgen ( 1 )|Andalusian Network for Design and Translation of Advanced Therapies ( 1 )|Angion Biomedica Corp ( 1 )|Atrium Health ( 1 )|Ayub Teaching Hospital ( 1 )|Azienda Policlinico Umberto I ( 1 )|Bangladesh Medical Research Council (BMRC) ( 1 )|Baylor College of Medicine ( 1 )|BerGenBio ASA ( 1 )|Beximco Pharmaceuticals Ltd. ( 1 )|Bharat Serums and Vaccines Limited ( 1 )|Boehringer Ingelheim ( 1 )|Bosnalijek D.D ( 1 )|Boston University ( 1 )|Burnasyan Federal Medical Biophysical Center ( 1 )|Cairo University ( 1 )|Catalysis SL ( 1 )|Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer ( 1 )|Centre Leon Berard ( 1 )|Centro de Estudos e Pesquisa em Emergencias Medicas e Terapia Intensiva ( 1 )|Charite University, Berlin, Germany ( 1 )|Chelsea and Westminster NHS Foundation Trust ( 1 )|Chinese University of Hong Kong ( 1 )|Chong Kun Dang Pharmaceutical ( 1 )|Chromis LLC ( 1 )|Clear Creek Bio, Inc. ( 1 )|Composite Interceptive Med Science ( 1 )|D'Or Institute for Research and Education ( 1 )|Dhaka Medical College ( 1 )|DompÃ© Farmaceutici S.p.A ( 1 )|Duke University ( 1 )|Entera Health, Inc ( 1 )|Epitech Group SpA ( 1 )|Estudios ClÃ­nicos Latino AmÃ©rica ( 1 )|Federal State Budgetary Institution, Pulmonology Scientific Research Institute ( 1 )|Fondation Ophtalmologique Adolphe de Rothschild ( 1 )|Fraser Health ( 1 )|Frederiksberg University Hospital ( 1 )|Fujifilm Pharmaceuticals U.S.A., Inc. ( 1 )|FundaciÃ³n de InvestigaciÃ³n BiomÃ©dica - Hospital Universitario de La Princesa ( 1 )|FundaciÃ³n de investigaciÃ³n HM ( 1 )|FundaciÃ³n FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la PromociÃ³n de la Salud y la Ciencia ( 1 )|FundaciÃ³n PÃºblica Andaluza para la gestiÃ³n de la InvestigaciÃ³n en Sevilla ( 1 )|Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia ( 1 )|Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal ( 1 )|GlaxoSmithKline ( 1 )|Guangzhou Institute of Respiratory Disease ( 1 )|HÃ´pital de Verdun ( 1 )|HaEmek Medical Center, Israel ( 1 )|Hebrew University of Jerusalem ( 1 )|Heinrich-Heine University, Duesseldorf ( 1 )|Hofseth Biocare ASA ( 1 )|Hospital Son Llatzer ( 1 )|Hospital Universitari de Bellvitge ( 1 )|Hospital Universitario Infanta Leonor ( 1 )|Humanigen, Inc. ( 1 )|Icahn School of Medicine at Mount Sinai ( 1 )|Imperial College London ( 1 )|InflaRx GmbH ( 1 )|Innovation Pharmaceuticals, Inc. ( 1 )|Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France ( 1 )|Institut universitaire de cardiologie et de pneumologie de QuÃ©bec, University Laval ( 1 )|Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus ( 1 )|Institute of Liver and Biliary Sciences, India ( 1 )|Instituto de InvestigaciÃ³n Sanitaria de la FundaciÃ³n JimÃ©nez DÃ­az ( 1 )|IRCCS San Raffaele ( 1 )|Istanbul University ( 1 )|Ivano-Frankivsk National Medical University ( 1 )|Janssen Pharmaceutica N.V., Belgium ( 1 )|Janssen Research & Development, LLC ( 1 )|Jena University Hospital ( 1 )|Johns Hopkins University ( 1 )|Karolinska University Hospital ( 1 )|Kermanshah University of Medical Sciences ( 1 )|King Edward Medical University ( 1 )|KK Women's and Children's Hospital ( 1 )|Klinikum Bremen-Mitte, gGmbH ( 1 )|Korle-Bu Teaching Hospital, Accra, Ghana ( 1 )|Lazarski University ( 1 )|Lowell General Hospital ( 1 )|MaimÃ³nides Biomedical Research Institute of CÃ³rdoba ( 1 )|Maimonides Medical Center ( 1 )|Max Healthcare Insititute Limited ( 1 )|Medical University of Vienna ( 1 )|Misr University for Science and Technology ( 1 )|National and Kapodistrian University of Athens ( 1 )|Nektar Therapeutics ( 1 )|NeuroRx, Inc. ( 1 )|Northwell Health ( 1 )|Novartis ( 1 )|Obafemi Awolowo University ( 1 )|Oslo University Hospital ( 1 )|Partner Therapeutics, Inc. ( 1 )|Peking Union Medical College Hospital ( 1 )|Promomed, LLC ( 1 )|PTC Therapeutics ( 1 )|Puerta de Hierro University Hospital ( 1 )|R-Pharm ( 1 )|Rhizen Pharmaceuticals SA ( 1 )|Ruijin Hospital ( 1 )|Saisei Pharma ( 1 )|Science Valley Research Institute ( 1 )|Senhwa Biosciences, Inc. ( 1 )|Shahid Beheshti University of Medical Sciences ( 1 )|Sharp HealthCare ( 1 )|Shin Poong Pharmaceutical Co. Ltd. ( 1 )|Soroka University Medical Center ( 1 )|Sorrento Therapeutics, Inc. ( 1 )|South African National Blood Service ( 1 )|Tanta University ( 1 )|The Cleveland Clinic ( 1 )|Thirty Respiratory Limited ( 1 )|UKK Institute ( 1 )|UMC Utrecht ( 1 )|Universidad del Rosario ( 1 )|Universidad Nacional de Colombia ( 1 )|Universidad PÃºblica de Navarra ( 1 )|Universidade Federal de Sao Carlos ( 1 )|Universitaire Ziekenhuizen Leuven ( 1 )|University College Hospital Galway ( 1 )|University Hospital Southampton NHS Foundation Trust ( 1 )|University Hospital, Ghent ( 1 )|University of Alabama at Birmingham ( 1 )|University of Chicago ( 1 )|University of Edinburgh ( 1 )|University of Liege ( 1 )|University of Pennsylvania ( 1 )|University of Sao Paulo ( 1 )|Vanderbilt University Medical Center ( 1 )|Vascular Biogenics Ltd. operating as VBL Therapeutics ( 1 )|Xuzhou No.1 Peoples Hospital ( 1 )|Yale University ( 1 )",11.189,161,70
Drug,hydroxychloroquine,122,2020-05-04,12,3,35,56,16,"Rutgers, The State University of New Jersey ( 3 )|Shahid Beheshti University of Medical Sciences ( 3 )|Baqiyatallah Medical Sciences University ( 2 )|Barcelona Institute for Global Health ( 2 )|Burnasyan Federal Medical Biophysical Center ( 2 )|Centre Hospitalier Universitaire de Saint Etienne ( 2 )|Government of Punjab, Specialized Healthcare and Medical Education Department ( 2 )|Institute for Research and Development of Medicinal and Food Plants of Guinea ( 2 )|Intermountain Health Care, Inc. ( 2 )|National Institute of Respiratory Diseases, Mexico ( 2 )|NYU Langone Health ( 2 )|Postgraduate Institute of Medical Education and Research ( 2 )|ProgenaBiome ( 2 )|University Hospital Tuebingen ( 2 )|University of Minnesota ( 2 )|University of New Mexico ( 2 )|University of Oxford ( 2 )|University of Washington ( 2 )|Asan Medical Center ( 1 )|Assistance Publique - HÃ´pitaux de Paris ( 1 )|Azienda Policlinico Umberto I ( 1 )|Baylor Research Institute ( 1 )|Benha University ( 1 )|Bryn Mawr Hospital ( 1 )|Cambridge University Hospitals NHS Foundation Trust ( 1 )|Cardresearch ( 1 )|Centenario Hospital Miguel Hidalgo ( 1 )|Centre Chirurgical Marie Lannelongue ( 1 )|Centro de Estudos e Pesquisa em Emergencias Medicas e Terapia Intensiva ( 1 )|Charles University, Czech Republic ( 1 )|Chronic Obstructive Pulmonary Disease Trial Network, Denmark ( 1 )|Columbia University ( 1 )|Duke University ( 1 )|Elaraby Hospital ( 1 )|Fasa University of Medical Sciences ( 1 )|FundaciÃ³ Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau ( 1 )|Fundacion GenesisCare ( 1 )|General and Teaching Hospital Celje ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Gustave Roussy, Cancer Campus, Grand Paris ( 1 )|Hackensack Meridian Health ( 1 )|Hamad Medical Corporation ( 1 )|Health Institutes of Turkey ( 1 )|Henry Ford Health System ( 1 )|Hospital AlemÃ£o Oswaldo Cruz ( 1 )|Hospital do Coracao ( 1 )|Hospital Israelita Albert Einstein ( 1 )|Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France ( 1 )|Instituto Nacional de Rehabilitacion ( 1 )|Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori ( 1 )|King Abdullah International Medical Research Center ( 1 )|LCMC Health ( 1 )|Louisiana State University Health Sciences Center in New Orleans ( 1 )|Mahidol University ( 1 )|MaimÃ³nides Biomedical Research Institute of CÃ³rdoba ( 1 )|Mansoura University ( 1 )|Massachusetts General Hospital ( 1 )|Materno-Perinatal Hospital of the State of Mexico ( 1 )|McGill University Health Centre/Research Institute of the McGill University Health Centre ( 1 )|Medical University of Vienna ( 1 )|Memorial Sloan Kettering Cancer Center ( 1 )|Ministry of Health, Turkey ( 1 )|National Institute of Allergy and Infectious Diseases (NIAID) ( 1 )|National Institute of Integrative Medicine, Australia ( 1 )|National University Hospital, Singapore ( 1 )|Novartis ( 1 )|Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara ( 1 )|October 6 University ( 1 )|Oslo University Hospital ( 1 )|Perseverance Research Center, LLC ( 1 )|Plan Nacional sobre el Sida (PNS) ( 1 )|Queen's Medical Center ( 1 )|Royal College of Surgeons in Ireland - Medical University of Bahrain ( 1 )|Sanford Health ( 1 )|Sanofi ( 1 )|ScandiBio Therapeutics AB ( 1 )|Shaheed Zulfiqar Ali Bhutto Medical University ( 1 )|Shanghai Public Health Clinical Center ( 1 )|St. Francis Hospital, New York ( 1 )|Tanta University ( 1 )|Taoyuan General Hospital ( 1 )|The University of Hong Kong ( 1 )|UMC Utrecht ( 1 )|UNICEF ( 1 )|Universidad Peruana Cayetano Heredia ( 1 )|University Health Network, Toronto ( 1 )|University Hospital, Akershus ( 1 )|University Hospital, Angers ( 1 )|University Hospital, Montpellier ( 1 )|University Hospital, Strasbourg, France ( 1 )|University of Calgary ( 1 )|University of Chicago ( 1 )|University of Health Sciences Lahore ( 1 )|University of Pennsylvania ( 1 )|University of South Alabama ( 1 )|University of Southern California ( 1 )|University of the Philippines ( 1 )|University of Utah ( 1 )|Washington University School of Medicine ( 1 )|WellStar Health System ( 1 )|Yaounde Central Hospital ( 1 )|Zagazig University ( 1 )",11.122,102,83
Drug,saline,51,2020-05-01,3,9,22,13,4,"Bandim Health Project ( 2 )|Frederick Health ( 2 )|Johns Hopkins University ( 2 )|Stanford University ( 2 )|Tychan Pte Ltd. ( 2 )|Adagio Therapeutics, Inc. ( 1 )|Ampio Pharmaceuticals. Inc. ( 1 )|Apeiron Biologics ( 1 )|Assistance Publique - HÃ´pitaux de Paris ( 1 )|Assiut University ( 1 )|Black Tie Medical, Inc. ( 1 )|Cellular Sciences, inc. ( 1 )|Centre hospitalier de l'UniversitÃ© de MontrÃ©al (CHUM) ( 1 )|Collegium Medicum w Bydgoszczy ( 1 )|Diffusion Pharmaceuticals Inc ( 1 )|EuBiologics Co.,Ltd ( 1 )|ExeVir Bio BV ( 1 )|Genexine, Inc. ( 1 )|Hampshire Hospitals NHS Foundation Trust ( 1 )|Hospital do Coracao ( 1 )|ImmunityBio, Inc. ( 1 )|Imperial College London ( 1 )|Murdoch Childrens Research Institute ( 1 )|NeuroRx, Inc. ( 1 )|NYU Langone Health ( 1 )|Pomeranian Medical University Szczecin ( 1 )|Renibus Therapeutics, Inc. ( 1 )|Resolve Therapeutics ( 1 )|Rigshospitalet, Denmark ( 1 )|SAb Biotherapeutics, Inc. ( 1 )|SBÃœ Dr. Sadi Konuk EÄŸitim ve AraÅŸtÄ±rma Hastanesi ( 1 )|Scandinavian Critical Care Trials Group ( 1 )|Singapore General Hospital ( 1 )|SK Chemicals Co., Ltd. ( 1 )|United Medical Specialties ( 1 )|University of Alabama at Birmingham ( 1 )|University of Edinburgh ( 1 )|University of North Carolina, Chapel Hill ( 1 )|University of Oklahoma ( 1 )|University of Oxford ( 1 )|University of Rzeszow ( 1 )|University of South Alabama ( 1 )|University of Southern Denmark ( 1 )|VA Office of Research and Development ( 1 )|Vanderbilt University Medical Center ( 1 )|Vaxine Pty Ltd ( 1 )",11.051,46,10
Drug,ivermectin,46,2020-05-01,7,2,16,17,4,"Ministry of Public Health, Argentina ( 3 )|Tanta University ( 2 )|Zagazig University ( 2 )|Afyonkarahisar Health Sciences University ( 1 )|Alkarkh Health Directorate-Baghdad ( 1 )|Bangkok Metropolitan Administration Medical College and Vajira Hospital ( 1 )|Benha University ( 1 )|Centenario Hospital Miguel Hidalgo ( 1 )|Centro de Estudios en InfectogÃ­a Pediatrica ( 1 )|CES University ( 1 )|Clinica Universidad de Navarra, Universidad de Navarra ( 1 )|Combined Military Hospital, Pakistan ( 1 )|CoordinaciÃ³n de InvestigaciÃ³n en Salud, Mexico ( 1 )|Dhaka Medical College ( 1 )|Duke University ( 1 )|Elaraby Hospital ( 1 )|FMH College of Medicine and Dentistry ( 1 )|Instituto de CardiologÃ­a de Corrientes ( 1 )|Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado ( 1 )|Instituto do Cancer do Estado de SÃ£o Paulo ( 1 )|International Centre for Diarrhoeal Disease Research, Bangladesh ( 1 )|Investigacion Biomedica para el Desarrollo de Farmacos S.A. de C.V. ( 1 )|IRCCS Sacro Cuore Don Calabria di Negrar ( 1 )|London School of Hygiene and Tropical Medicine ( 1 )|Max Health, Subsero Health ( 1 )|Max Healthcare Insititute Limited ( 1 )|MedinCell S.A ( 1 )|Ministry of Health and Population, Egypt ( 1 )|National University Hospital, Singapore ( 1 )|Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara ( 1 )|October 6 University ( 1 )|ProgenaBiome ( 1 )|Raincy Montfermeil Hospital Group ( 1 )|Sheba Medical Center ( 1 )|Sheikh Zayed Federal Postgraduate Medical Institute ( 1 )|Universidad Nacional de AsunciÃ³n ( 1 )|Universidad Peruana Cayetano Heredia ( 1 )|Universidade Federal de Sao Carlos ( 1 )|University of Baghdad ( 1 )|University of Kentucky ( 1 )|University of Minnesota ( 1 )|University of Oxford ( 1 )",11.046,42,13
Drug,remdesivir,45,2020-04-10,4,1,11,26,3,"National Institute of Allergy and Infectious Diseases (NIAID) ( 10 )|Gilead Sciences ( 5 )|M Abdur Rahim Medical College and Hospital ( 2 )|October 6 University ( 2 )|Ain Shams University ( 1 )|Bangladesh Institute of Research and Rehabilitation in Diabetes, Endocrine and Metabolic Disorders ( 1 )|Beximco Pharmaceuticals Ltd. ( 1 )|Capital Medical University ( 1 )|Clinical Urology and Epidemiology Working Group ( 1 )|Duke University ( 1 )|Hoffmann-La Roche ( 1 )|Imperial College London ( 1 )|Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France ( 1 )|King Edward Medical University ( 1 )|Klinikum Bremen-Mitte, gGmbH ( 1 )|Lahore General Hospital ( 1 )|Medical University of Vienna ( 1 )|Nepal Health Research Council ( 1 )|Oslo University Hospital ( 1 )|PharmaMar ( 1 )|QuantumLeap Healthcare Collaborative ( 1 )|Sunnybrook Health Sciences Centre ( 1 )|Tanta University ( 1 )|The Camelot Foundation ( 1 )|The University of Hong Kong ( 1 )|UNICEF ( 1 )|University of Minnesota ( 1 )|University of Oxford ( 1 )|University of the Philippines ( 1 )|ViralClear Pharmaceuticals, Inc. ( 1 )",11.045,30,27
Drug,azithromycin,43,2020-05-04,5,1,16,19,2,"Institute for Research and Development of Medicinal and Food Plants of Guinea ( 2 )|Intermountain Health Care, Inc. ( 2 )|University of Oxford ( 2 )|Assistance Publique - HÃ´pitaux de Paris ( 1 )|Azienda Policlinico Umberto I ( 1 )|BioXcellerator ( 1 )|Burnasyan Federal Medical Biophysical Center ( 1 )|Charles University, Czech Republic ( 1 )|Chronic Obstructive Pulmonary Disease Trial Network, Denmark ( 1 )|CoordinaciÃ³n de InvestigaciÃ³n en Salud, Mexico ( 1 )|Corpometria Institute ( 1 )|Duke University ( 1 )|FundaciÃ³ Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau ( 1 )|Fundacion GenesisCare ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Gustave Roussy, Cancer Campus, Grand Paris ( 1 )|Hamad Medical Corporation ( 1 )|HonorHealth Research Institute ( 1 )|Hospital do Coracao ( 1 )|Hospital Israelita Albert Einstein ( 1 )|Ina-Respond ( 1 )|Indonesia University ( 1 )|Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado ( 1 )|LCMC Health ( 1 )|Medical University of Vienna ( 1 )|Ministry of Health, Turkey ( 1 )|National Institute of Allergy and Infectious Diseases (NIAID) ( 1 )|National Institute of Integrative Medicine, Australia ( 1 )|ProgenaBiome ( 1 )|Rutgers, The State University of New Jersey ( 1 )|South Valley University ( 1 )|St. Francis Hospital, New York ( 1 )|University Hospital, Montpellier ( 1 )|University Hospital, Strasbourg, France ( 1 )|University of California, San Francisco ( 1 )|University of Health Sciences Lahore ( 1 )|University of New Mexico ( 1 )|University of Washington ( 1 )|Washington University School of Medicine ( 1 )|Yaounde Central Hospital ( 1 )",11.043,40,35
Drug,tocilizumab,41,2020-05-04,7,1,18,12,3,"Assistance Publique - HÃ´pitaux de Paris ( 2 )|Hoffmann-La Roche ( 2 )|M Abdur Rahim Medical College and Hospital ( 2 )|University of Chicago ( 2 )|Azienda UnitÃ  Sanitaria Locale Reggio Emilia ( 1 )|BeneficÃªncia Portuguesa de SÃ£o Paulo ( 1 )|Beni-Suef University ( 1 )|FMH College of Medicine and Dentistry ( 1 )|FundaciÃ³ Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau ( 1 )|Fundacion GenesisCare ( 1 )|Fundacion SEIMC-GESIDA ( 1 )|Genentech, Inc. ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Hadassah Medical Organization ( 1 )|Hellenic Institute for the Study of Sepsis ( 1 )|Hospital Universitario Ramon y Cajal ( 1 )|Instituto Nacional de Cancerologia de Mexico ( 1 )|Karolinska University Hospital ( 1 )|Lahore General Hospital ( 1 )|Massachusetts General Hospital ( 1 )|MedSIR ( 1 )|Memorial Sloan Kettering Cancer Center ( 1 )|National Cancer Institute (NCI) ( 1 )|National Cancer Institute, Naples ( 1 )|October 6 University ( 1 )|Peking University First Hospital ( 1 )|Queen's Medical Center ( 1 )|South Valley University ( 1 )|The Camelot Foundation ( 1 )|UNICEF ( 1 )|UniversitÃ  Politecnica delle Marche ( 1 )|University Hospital Inselspital, Berne ( 1 )|University Hospital of Patras ( 1 )|University Hospital, Ghent ( 1 )|University of Lahore ( 1 )|University of Oxford ( 1 )|University of Sao Paulo ( 1 )",11.041,37,24
Drug,ritonavir,33,2021-09-01,5,2,7,11,8,"Pfizer ( 5 )|Shahid Beheshti University of Medical Sciences ( 3 )|October 6 University ( 2 )|Tongji Hospital ( 2 )|Asan Medical Center ( 1 )|Baqiyatallah Medical Sciences University ( 1 )|Beijing 302 Hospital ( 1 )|BioXcellerator ( 1 )|Cardresearch ( 1 )|Centre Hospitalier Universitaire de Saint Etienne ( 1 )|Fasa University of Medical Sciences ( 1 )|Fundacion GenesisCare ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Guangzhou 8th People's Hospital ( 1 )|Huoshenshan Hospital ( 1 )|Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France ( 1 )|Medical University of Vienna ( 1 )|Obafemi Awolowo University ( 1 )|The Ninth Hospital of Nanchang ( 1 )|The University of Hong Kong ( 1 )|Unity Health Toronto ( 1 )|University College, London ( 1 )|University Hospital, Geneva ( 1 )|University of the Philippines ( 1 )|Vanderbilt University Medical Center ( 1 )",11.033,25,23
Dietary Supplement,vitamin d,25,2020-04-25,9,1,6,6,3,"ProgenaBiome ( 3 )|Ã–rebro University, Sweden ( 1 )|Applied Science Private University ( 1 )|Arizona State University ( 1 )|Ayub Teaching Hospital ( 1 )|Bioaraba Health Research Institute ( 1 )|Brigham and Women's Hospital ( 1 )|Federal State Budgetary Institution, V. A. Almazov Federal North-West Medical Research Centre, of the Ministry of Health ( 1 )|Hospital de la Soledad ( 1 )|Medical University of South Carolina ( 1 )|Mount Carmel Health System ( 1 )|National Institute of Integrative Medicine, Australia ( 1 )|Postgraduate Institute of Medical Education and Research ( 1 )|Queen Mary University of London ( 1 )|Royal Centre for Defence Medicine ( 1 )|Sanford Health ( 1 )|St. Justine's Hospital ( 1 )|University Hospitals Cleveland Medical Center ( 1 )|University of Alberta ( 1 )|University of Chicago ( 1 )|University of Guadalajara ( 1 )|University of Sao Paulo ( 1 )|Vitamin D Study Group ( 1 )",11.025,23,6
Device,oxygen,22,2020-05-04,14,1,3,2,2,"Cairo University ( 3 )|Laval University ( 2 )|Aalborg University Hospital ( 1 )|AsociaciÃ³n Argentina de Medicina HiperbÃ¡rica e InvestigaciÃ³n ( 1 )|Assaf-Harofeh Medical Center ( 1 )|Assistance Publique - HÃ´pitaux de Paris ( 1 )|Fundacion GenesisCare ( 1 )|Fuzhou General Hospital ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Hospital Civil de Guadalajara ( 1 )|Karolinska Institutet ( 1 )|Karolinska University Hospital ( 1 )|Lund University ( 1 )|Maimonides Medical Center ( 1 )|Massachusetts General Hospital ( 1 )|Ottawa Hospital Research Institute ( 1 )|SchÃ¶n Klinik Berchtesgadener Land ( 1 )|Shanghai Asclepius Meditec Inc. ( 1 )|Steward St. Elizabeth's Medical Center of Boston, Inc. ( 1 )",11.022,19,10
