Days since Last update,COunt of Studies
4,31
5,39
6,25
7,32
8,6
9,2
10,18
11,33
12,28
13,35
14,24
15,2
16,1
17,9
18,27
19,25
20,28
21,28
22,1
23,8
24,13
25,26
26,14
27,29
28,23
29,4
30,7
31,21
32,18
33,18
34,22
35,26
36,8
37,6
38,15
39,17
40,35
41,22
42,35
43,4
45,25
46,28
47,18
48,21
49,22
50,5
51,5
52,27
53,32
54,24
55,23
56,7
57,3
58,3
59,20
60,12
61,17
62,27
63,22
64,4
65,9
66,18
67,21
68,25
69,28
70,20
71,7
72,3
73,20
74,21
75,21
76,23
77,20
78,6
79,4
80,9
81,22
82,21
83,29
84,20
85,8
86,5
87,9
88,15
89,16
90,17
91,13
92,3
93,5
94,10
95,12
96,13
97,13
98,6
99,2
100,4
101,11
102,17
103,6
104,6
105,4
106,5
107,1
108,7
109,2
110,3
111,2
112,9
113,1
115,1
116,2
117,3
118,2
120,1
123,1
124,2
125,1
126,2
127,2
128,6
129,3
134,1
135,1
136,2
142,1
143,1
149,1
150,1
151,2
152,3
154,1
155,1
166,1
168,1
