Days since Last update,COunt of Studies
4,12
5,18
6,24
7,15
8,1
10,7
11,21
12,11
13,20
14,15
16,5
17,10
18,12
19,11
20,13
21,16
23,4
24,12
25,11
26,9
27,15
28,18
29,3
30,3
31,3
32,12
33,15
34,14
35,19
36,1
38,14
39,17
40,12
41,12
42,12
43,2
44,4
45,19
46,12
47,12
48,11
49,3
50,2
51,1
52,9
53,7
54,6
55,10
56,11
57,3
58,4
59,7
60,17
61,14
62,11
63,11
64,2
65,1
66,8
67,8
68,15
69,7
70,8
71,3
72,2
73,5
74,9
75,8
76,14
77,11
78,3
79,1
80,3
81,7
82,9
83,9
84,6
86,2
87,4
88,10
89,9
90,5
91,6
93,2
94,7
95,9
96,4
97,2
98,1
99,4
101,4
103,1
104,1
105,5
108,1
110,2
111,2
113,1
118,1
120,1
121,5
122,1
129,2
143,1
144,1
145,1
148,1
