Days since Last update,COunt of Studies
4,14
5,11
6,14
7,11
8,1
9,2
10,2
11,7
12,13
13,9
14,14
16,3
17,6
18,18
19,6
20,13
21,8
22,2
23,3
24,9
25,8
26,9
27,7
28,9
29,3
30,3
31,10
32,4
33,19
34,8
35,15
36,3
38,9
39,9
40,5
41,9
42,10
43,2
45,8
46,21
47,12
48,12
49,4
50,1
51,2
52,10
53,6
54,12
55,16
56,8
57,1
58,4
59,10
60,3
61,10
62,17
63,9
64,5
65,2
66,10
67,11
68,6
69,12
70,10
71,3
72,2
73,4
74,11
75,11
76,14
77,6
78,4
79,1
80,5
81,7
82,4
83,6
84,7
85,3
86,2
87,5
88,1
89,4
90,7
91,1
92,2
93,2
94,3
95,9
96,2
97,4
98,3
99,1
101,5
102,2
103,1
104,1
105,2
109,2
117,2
119,1
120,1
121,1
122,2
127,1
128,1
135,1
136,1
142,1
144,1
145,2
147,1
159,1
161,1
