Days since Last update,COunt of Studies
5,1
6,1
7,4
10,2
11,1
12,2
13,1
14,1
17,1
19,1
20,2
21,6
22,2
26,3
27,2
28,2
31,2
32,2
35,5
39,1
41,1
45,2
46,1
47,2
48,1
49,2
54,2
55,2
56,2
57,2
59,1
62,2
63,2
64,2
66,2
67,1
68,3
69,1
70,2
73,2
74,2
75,1
76,1
77,1
78,1
79,1
80,2
81,1
82,2
83,1
88,1
89,1
90,1
91,3
93,1
94,1
95,2
96,2
97,1
101,2
103,1
104,4
105,1
108,1
109,1
110,2
111,4
112,2
113,1
114,3
115,1
116,1
117,3
118,2
121,1
122,1
123,3
125,1
127,1
129,1
135,1
138,1
140,2
141,1
145,1
151,1
154,1
