Days since Last update,COunt of Studies
10,45
11,35
12,38
13,29
14,44
15,3
16,2
17,39
18,30
19,21
20,21
21,19
22,10
23,1
24,2
25,8
26,19
27,23
28,25
29,4
30,2
31,4
32,15
33,16
34,21
35,14
36,4
37,6
38,20
39,22
40,15
41,21
42,16
43,5
44,5
45,37
46,17
47,21
48,25
49,21
50,4
51,6
52,21
53,18
54,23
55,27
56,19
57,1
58,3
59,10
60,12
61,21
62,11
63,17
64,6
65,3
66,15
67,16
68,26
69,14
70,25
72,1
73,19
74,20
75,10
76,22
77,24
78,3
79,7
80,32
81,13
82,18
83,22
84,36
85,4
86,3
87,7
88,18
89,14
90,16
91,11
92,1
93,3
94,14
95,11
96,15
97,15
98,16
99,3
101,10
102,16
103,14
104,16
105,9
106,5
107,5
108,10
109,14
110,8
111,17
112,21
113,2
114,2
115,8
116,9
117,21
118,11
119,19
120,4
121,2
122,13
123,15
124,17
125,22
126,18
127,2
128,4
129,10
130,9
131,13
132,7
133,11
134,2
135,5
136,14
137,17
138,11
139,14
140,10
141,5
142,1
143,10
144,9
145,15
146,11
147,21
148,6
149,1
150,5
151,12
152,10
153,10
154,7
155,1
156,5
157,8
158,18
159,11
160,19
161,14
162,6
163,2
164,11
165,7
166,12
167,11
168,8
169,1
170,3
171,10
172,6
173,18
174,11
175,15
176,5
177,4
178,10
179,10
180,17
181,16
182,21
183,5
184,4
185,12
186,19
187,15
188,13
189,11
190,5
191,2
192,13
193,20
194,17
195,9
196,16
197,5
199,10
200,11
201,13
202,18
203,11
204,2
205,2
206,3
207,13
208,12
209,17
210,13
212,4
213,8
214,8
215,9
216,18
217,10
218,2
219,4
220,14
221,10
222,9
223,9
224,14
225,8
226,4
227,12
228,7
229,19
230,13
231,23
234,17
235,15
236,11
237,16
238,11
239,2
240,4
241,18
242,19
243,12
244,12
245,5
246,3
247,1
248,13
249,5
250,10
251,13
252,12
253,4
254,8
255,10
256,15
257,17
258,17
259,11
260,5
261,3
262,12
263,11
264,15
265,12
266,10
267,3
268,2
269,8
270,18
271,13
272,15
273,9
274,5
275,4
276,4
277,8
278,12
279,12
280,5
281,3
282,5
283,7
284,9
285,7
286,9
287,6
288,2
289,4
290,6
291,13
292,5
293,5
294,1
295,3
296,1
297,7
298,2
299,1
300,2
301,7
302,1
304,1
305,2
307,2
309,1
312,1
313,2
314,1
315,2
316,2
317,6
318,3
323,1
324,1
325,1
331,1
332,1
338,1
339,1
340,1
341,2
343,1
344,1
355,1
357,1
