Days since Last update,COunt of Studies
4,12
5,27
6,26
7,15
8,3
9,6
10,21
11,17
12,23
13,22
14,14
15,1
16,2
17,12
18,8
19,18
20,16
21,11
22,7
23,2
24,11
25,16
26,18
27,10
28,19
29,2
30,1
31,22
32,13
33,8
34,14
35,22
36,2
37,4
38,20
39,10
40,15
41,15
42,24
43,4
44,2
45,3
46,13
47,10
48,15
49,6
50,1
51,3
52,14
53,6
54,11
55,12
56,9
57,2
58,1
59,10
60,9
61,12
62,10
63,8
64,6
65,2
66,5
67,10
68,9
69,11
70,11
71,1
72,1
73,4
74,8
75,17
76,11
77,16
78,2
79,1
80,6
81,11
82,11
83,9
84,11
85,1
87,7
88,5
89,8
90,3
91,7
92,1
93,3
94,8
95,9
96,6
97,9
98,5
99,3
100,1
101,6
102,6
103,10
104,7
105,10
106,5
108,4
109,7
110,3
111,5
112,3
113,2
114,2
115,3
116,10
117,9
118,14
119,9
120,5
121,1
122,7
123,5
124,8
125,8
126,1
127,2
128,1
129,2
130,1
131,10
132,4
133,6
134,2
135,3
136,5
137,5
138,13
139,7
140,5
141,1
142,1
143,9
144,9
145,6
146,2
147,3
148,3
149,1
150,6
151,11
152,8
153,6
154,5
155,1
157,8
158,6
159,6
160,9
161,4
162,1
164,1
165,10
166,4
167,9
168,7
170,2
171,3
173,3
174,8
175,7
177,3
178,6
179,5
180,5
181,2
182,8
183,3
184,2
185,2
186,5
187,8
188,7
189,12
192,10
193,8
194,6
195,7
196,5
197,1
198,3
199,9
200,6
201,5
202,5
203,3
204,2
206,6
207,3
208,3
209,5
210,6
211,3
212,4
213,2
214,12
215,8
216,2
217,8
218,1
219,1
220,4
221,6
222,8
223,2
224,5
226,2
227,3
228,8
229,5
230,7
231,5
232,2
233,1
235,3
236,7
237,7
238,1
240,2
241,3
242,7
243,6
244,3
245,6
247,2
248,4
249,8
250,3
251,2
253,2
255,2
258,1
259,3
262,1
265,2
267,1
272,1
274,1
275,5
276,1
283,1
297,1
302,1
