Days since Last update,COunt of Studies
4,16
5,6
6,10
7,13
8,2
9,1
10,3
11,7
12,6
13,4
14,6
16,1
17,3
18,3
19,8
20,6
21,8
22,1
24,9
25,10
26,2
27,8
28,1
30,2
31,4
32,4
33,6
34,7
35,11
36,1
37,1
38,3
39,2
40,4
41,5
42,5
43,2
44,2
45,9
46,5
47,5
48,14
49,8
50,1
51,3
52,5
53,7
54,6
55,5
56,6
57,3
58,2
59,8
60,8
61,4
62,3
63,7
64,4
66,3
67,4
68,5
69,6
70,13
71,1
72,1
73,3
74,5
75,11
76,5
77,6
79,3
80,6
81,8
82,4
83,7
84,7
85,1
87,5
88,1
89,5
90,3
91,6
93,2
94,7
95,4
96,7
97,8
98,8
99,4
100,3
101,5
102,6
103,5
104,11
105,14
106,2
107,3
108,3
109,11
110,6
111,9
112,7
113,3
114,1
115,5
116,8
117,12
118,4
119,8
120,3
122,5
123,5
124,7
125,10
126,7
127,1
128,1
129,1
130,5
131,8
132,7
133,5
135,3
136,4
137,10
138,4
139,10
140,6
141,1
142,1
143,8
144,7
145,5
146,7
147,5
148,3
149,2
150,8
151,2
152,12
153,5
154,12
157,7
158,8
159,5
160,8
161,6
162,2
164,8
165,13
166,7
167,7
168,3
169,1
170,2
171,9
172,3
173,9
174,9
175,6
176,1
177,4
178,9
179,2
180,7
181,16
182,5
183,4
184,2
185,9
186,8
187,6
188,11
189,7
190,3
191,1
192,4
193,10
194,9
195,11
196,4
197,3
198,1
199,3
200,4
201,4
202,6
203,4
204,3
205,2
206,4
208,4
209,6
211,1
212,2
213,2
214,5
215,2
216,3
217,2
218,1
220,5
221,2
223,1
224,2
228,2
236,2
238,1
239,1
240,1
241,2
246,1
247,1
254,1
255,1
261,1
263,1
264,2
266,1
278,1
280,1
