Days since Last update,COunt of Studies
10,1
11,2
12,5
17,3
18,1
20,1
22,1
25,2
27,3
35,1
39,1
40,1
41,2
42,2
43,2
45,2
48,2
49,1
51,1
53,2
54,1
55,1
56,2
58,1
60,1
65,1
66,1
67,1
68,1
69,2
70,3
74,2
76,4
77,1
79,1
80,3
81,1
82,1
83,2
84,2
87,1
88,1
89,1
90,1
91,1
95,3
96,1
97,2
98,1
103,2
104,1
107,2
108,1
109,2
111,2
112,2
115,2
117,1
119,1
122,1
124,1
125,2
128,1
129,1
136,1
138,1
139,2
143,1
147,1
149,1
151,1
158,2
160,1
165,1
166,1
167,1
168,2
171,1
172,1
173,2
174,1
175,1
178,1
180,1
181,1
182,4
183,2
187,3
188,2
189,2
192,2
193,2
196,3
200,1
202,1
206,1
207,1
208,2
209,1
210,1
215,2
216,2
217,1
218,1
220,1
223,1
224,2
225,2
227,2
228,1
229,2
230,1
231,1
234,2
235,1
236,1
237,1
238,1
240,1
241,2
242,1
243,2
244,1
250,1
251,1
252,2
254,1
255,1
256,2
257,2
264,2
265,2
269,1
270,1
271,2
272,3
273,1
274,1
275,2
276,1
277,1
278,2
279,1
282,1
284,2
288,1
296,1
299,1
301,2
302,1
312,1
315,1
