nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,name,downcase_name
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-20,NA,NA,2021-09-20,2021-09-20,2021-09-24,Estimate,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-24,Estimate,"September 14, 2021",Actual,2021-09-14,September 2021,2021-09-30,"June 30, 2022",Anticipated,2022-06-30,"September 14, 2021",Actual,2021-09-14,NA,Interventional,NA,,The School SPIT Study - Elementary Schools in Low SARS-CoV-2 Incidence Regions,The School SPIT Study (Saliva to Promote Improved Testing): A Prospective Evaluation of a Home Saliva Testing Program Implemented With a Stepped-wedge Cluster Randomized Design in Elementary Schools in Low SARS-CoV-2 Incidence Regions,"Active, not recruiting",NA,N/A,120,Anticipated,The Hospital for Sick Children,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-09-26T00:34:48Z,2021-09-26T00:34:48Z,15233214,NCT05055505,SARS-CoV2 Infection,sars-cov2 infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-20,NA,NA,2021-09-20,2021-09-20,2021-09-24,Estimate,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-24,Estimate,"September 14, 2021",Actual,2021-09-14,September 2021,2021-09-30,"June 30, 2022",Anticipated,2022-06-30,"September 14, 2021",Actual,2021-09-14,NA,Interventional,NA,,The School SPIT Study - Elementary Schools in High SARS-CoV-2 Incidence Regions,The School SPIT Study (Saliva to Promote Improved Testing): A Prospective Evaluation of a Home Saliva Testing Program Implemented With a Stepped-wedge Cluster Randomized Design in Elementary Schools in High SARS-CoV-2 Incidence Regions,"Active, not recruiting",NA,N/A,120,Anticipated,The Hospital for Sick Children,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-09-26T00:34:48Z,2021-09-26T00:34:48Z,15233215,NCT05055492,SARS-CoV2 Infection,sars-cov2 infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-21,NA,NA,2021-09-21,2021-09-21,2021-09-24,Estimate,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-24,Estimate,"January 6, 2021",Actual,2021-01-06,September 2021,2021-09-30,"January 6, 2022",Anticipated,2022-01-06,"January 6, 2022",Anticipated,2022-01-06,NA,Observational,INPOSIS,,Infectious Potential of SARS-CoV-2 Intestinal Shedding in Pediatric Patients,SARS-CoV-2 Infections in Children and Potential Fecal-oral Transmission,Recruiting,NA,NA,400,Anticipated,St. Anna Kinderkrebsforschung,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Stool samples, pharyngeal swabs and biomaterial stored in a biorepository, including stool
      specimens from pediatric patients who were hospitalized for a variety of indications.
    ",NA,NA,NA,NA,NA,2021-09-26T00:34:49Z,2021-09-26T00:34:49Z,15233219,NCT05055466,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-20,NA,NA,2021-09-22,2021-09-22,2021-09-24,Estimate,NA,NA,NA,NA,NA,NA,2021-09-22,2021-09-24,Estimate,"August 10, 2020",Actual,2020-08-10,September 2021,2021-09-30,December 2021,Anticipated,2021-12-31,"December 31, 2020",Actual,2020-12-31,NA,Observational,NA,,Evaluation of Peripheral Muscle With Ultrassonografic of Critical Patients With Covid-19,Evaluation of Peripheral Muscle With Ultrassonografic of Critical Patients With Covid-19,Recruiting,NA,NA,30,Anticipated,University of Pernambuco,,NA,1,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T00:34:49Z,2021-09-26T00:34:49Z,15233222,NCT05055440,COVID-19 Respiratory Infection,covid-19 respiratory infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-21,NA,NA,2021-09-23,2021-09-23,2021-09-24,Estimate,NA,NA,NA,NA,NA,NA,2021-09-23,2021-09-24,Estimate,"August 20, 2021",Actual,2021-08-20,September 2021,2021-09-30,"August 20, 2022",Anticipated,2022-08-20,"December 20, 2021",Anticipated,2021-12-20,NA,Interventional,NA,,Efficacy Evaluation of Shen Cao Gan Jiang Tang on Mild and Moderate COVID-19 Patients,"Efficacy of Shen Cao Gan Jiang Tang (Gan Cao Gan Jiang Tang With Ginseng) on Mild and Moderate COVID-19 Patients: A Multicenter, Prospective, Randomized Controlled Trial",Recruiting,NA,Phase 2/Phase 3,300,Anticipated,University of Medicine and Pharmacy at Ho Chi Minh City,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T00:34:49Z,2021-09-26T00:34:49Z,15233223,NCT05055427,COVID-19 Respiratory Infection,covid-19 respiratory infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-20,NA,NA,2021-09-22,2021-09-22,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-22,2021-09-23,Actual,"September 1, 2021",Actual,2021-09-01,September 2021,2021-09-30,September 2024,Anticipated,2024-09-30,September 2024,Anticipated,2024-09-30,NA,Observational,NA,,COVID-19 Antibody Responses In Cystic Fibrosis: CAR-CF,COVID-19 Antibody Responses In Cystic Fibrosis: CAR-CF,Enrolling by invitation,NA,NA,150,Anticipated,Medical University Innsbruck,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Samples With DNA Blood serum samples will be collected for analysis of COVID-19 antibody
      levels. For participants who consent to the optional study, a second blood sample will also
      be drawn into EDTA tubes (plasma)
    ",NA,NA,NA,NA,NA,2021-09-26T00:34:54Z,2021-09-26T00:34:54Z,15233345,NCT05054582,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-20,NA,NA,2021-09-21,2021-09-21,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-23,Actual,"September 22, 2021",Anticipated,2021-09-22,September 2021,2021-09-30,"August 30, 2022",Anticipated,2022-08-30,"January 31, 2022",Anticipated,2022-01-31,NA,Interventional,FLOT,,FLuticasone in cOvid Treatment (FLOT),"A Multicenter, Open-label, Randomized Controlled Trial to Evaluate the Efficacy of Fluticasone Propionate MDI Added to Standard Care at Early Stage of COVID-19 in Reducing the Incidence of Adverse Outcomes in Symptomatic Patients Either From 18 to 49 Year Old With Risk Factors or Older Than 50 Year Old",Recruiting,NA,Phase 2/Phase 3,500,Anticipated,University of Medicine and Pharmacy at Ho Chi Minh City,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,From Oct 2021 to September 2022.,Researchers who proposed use of data has been approved by a review committee.,NA,Yes,"Individual participant data collected during the trial, after deidentification.",2021-09-26T00:34:56Z,2021-09-26T00:34:56Z,15233379,NCT05054322,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-14,NA,NA,2021-09-14,2021-09-14,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-14,2021-09-23,Actual,"October 1, 2021",Anticipated,2021-10-01,September 2021,2021-09-30,"December 1, 2021",Anticipated,2021-12-01,"November 1, 2021",Anticipated,2021-11-01,NA,Observational,NA,,Baseline Blood Indices and Prolonged Length of Hospital Stay,Baseline Blood Indices as a Marker for Prolonged Length of Hospital Stay in Diabetic Older Patients With Mild or Moderate Covid-19 Infection,Recruiting,NA,NA,90,Anticipated,Gulhane Training and Research Hospital,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:34:56Z,2021-09-26T00:34:56Z,15233387,NCT05054283,COVID-19 Pneumonia,covid-19 pneumonia
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-21,NA,NA,2021-09-21,2021-09-21,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-23,Actual,"December 21, 2020",Actual,2020-12-21,September 2021,2021-09-30,"September 2, 2021",Actual,2021-09-02,"May 25, 2021",Actual,2021-05-25,NA,Interventional,NA,,"Prospective Randomized Open-label Comparative Study of the Use of Intranasal Form of Interferon Gamma Human Recombinant in Patients for the Prevention of Acute Respiratory Viral Infections, Icluding Coronavirus Infection Disease 2019 (COVID-19)","Prospective Randomized Open-label Comparative Study of the Use of Intranasal Form of Interferon Gamma Human Recombinant in Patients for the Prevention of Acute Respiratory Viral Infections, Including Coronavirus Infection Disease 2019 (COVID-19)",Completed,NA,N/A,630,Actual,SPP Pharmaclon Ltd.,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T00:34:58Z,2021-09-26T00:34:58Z,15233421,NCT05054114,COVID-19 Respiratory Infection,covid-19 respiratory infection
"ClinicalTrials.gov processed this data on September 24, 2021",2020-07-31,NA,NA,2021-09-20,2021-09-20,2021-09-22,Actual,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-22,Actual,"March 30, 2020",Actual,2020-03-30,September 2021,2021-09-30,"May 15, 2020",Actual,2020-05-15,"May 5, 2020",Actual,2020-05-05,1 Month,Observational [Patient Registry],NA,,Association of the Neutrophil/Lymphocyte Ratio With Pulmonary Complications and Mortality in COVID-19 Patients,Association of the Neutrophil/Lymphocyte Ratio and Lymphocyte/Platelet Ratio With Pulmonary Complications and Mortality in COVID-19 Patients,Completed,NA,NA,200,Actual,Hospital General de Mexico,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,All participants and their information will be managed by intern investigators and will be kept secure for personal data protection according to Mexican laws,2021-09-26T00:35:10Z,2021-09-26T00:35:10Z,15233679,NCT05052346,Covid19,covid19
