nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,mesh_type
NA,2021-09-12,NA,NA,2021-09-16,2021-09-16,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-16,2021-09-23,Actual,"September 16, 2021",Actual,2021-09-16,September 2021,2021-09-30,September 2022,Anticipated,2022-09-30,June 2022,Anticipated,2022-06-30,NA,Interventional,NA,NA,Vortioxetine for Post-Covid-19 Syndrome,"Randomized, Double-Blinded, Placebo-Controlled Study Evaluating Vortioxetine for Cognitive Deficits in Persons With Post-COVID-19 Syndrome",Recruiting,NA,Phase 2,200,Anticipated,Brain and Cognition Discovery Foundation,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,No,NA,2021-10-12T05:19:35Z,2021-10-12T05:19:35Z,849045,NCT05047952,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-21,NA,NA,2021-09-27,2021-09-21,2021-09-24,Actual,NA,NA,NA,NA,NA,NA,2021-09-27,2021-10-04,Actual,"January 6, 2021",Actual,2021-01-06,September 2021,2021-09-30,"January 6, 2022",Anticipated,2022-01-06,"January 6, 2022",Anticipated,2022-01-06,NA,Observational,INPOSIS,NA,COVID-19: Infectious Potential of SARS-CoV-2 Intestinal Shedding in Pediatric Patients (INPOSIS),SARS-CoV-2 Infections in Children and Potential Fecal-oral Transmission,Recruiting,NA,NA,400,Anticipated,St. Anna Kinderkrebsforschung,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"Stool samples, pharyngeal swabs and biomaterial stored in a biorepository, including stool specimens from pediatric patients who were hospitalized for a variety of indications.",NA,NA,NA,NA,NA,2021-10-12T05:18:45Z,2021-10-12T05:18:45Z,845520,NCT05055466,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-14,NA,NA,2021-09-21,2021-09-14,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-24,Actual,"September 14, 2021",Anticipated,2021-09-14,September 2021,2021-09-30,"December 31, 2021",Anticipated,2021-12-31,"December 31, 2021",Anticipated,2021-12-31,NA,Observational,RALE-CORADS,NA,RALE Versus CORADS/CT-Severity Score in COVID-19,The Prognostic Value of the Abnormalities on the Chest Radiography Versus the Chest Computed Tomography in Critically Ill COVID-19 Patients - Protocol for a National Study Comparing the RALE With the CORADS and CT-Severity Score,Recruiting,NA,NA,100,Anticipated,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T05:19:38Z,2021-10-12T05:19:38Z,849312,NCT05047653,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-16,NA,NA,2021-09-21,2021-09-16,2021-09-20,Actual,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-27,Actual,"September 20, 2021",Anticipated,2021-09-20,September 2021,2021-09-30,"September 30, 2023",Anticipated,2023-09-30,"September 30, 2023",Anticipated,2023-09-30,NA,Interventional,LT-COVID19,NA,Effect of Local Treatment(Carrageenan Nasal Spray and PVP-I Mouthwash) in Reducing Viral Load in Patients With COVID-19,Investigating the Therapeutic Role of Topical Medical Treatment in Oral and Nasal Cavities on the Patients With Positive Severe Cute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection,Recruiting,NA,Phase 4,40,Anticipated,National Taiwan University Hospital,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,no plan to share individual participant data (IPD),2021-10-12T05:19:28Z,2021-10-12T05:19:28Z,848559,NCT05049213,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-16,NA,NA,2021-09-16,2021-09-16,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-16,2021-09-23,Actual,"September 10, 2021",Actual,2021-09-10,September 2021,2021-09-30,"August 31, 2022",Anticipated,2022-08-31,"April 30, 2022",Anticipated,2022-04-30,NA,Observational,NA,NA,Comparison of Prone Position and Standard Electrocardiogram in COVID-19 Patients,Comparison of Prone Position and Standard Electrocardiogram in COVID-19 Patients: A Prospective Study in Specialized COVID-19,Recruiting,NA,NA,60,Anticipated,Khon Kaen University,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,After the study finished and for 5 years later.,For educational or research purposes.,NA,Yes,"For educational or research purposes, data can be provided by contacting PI or correspondent author.",2021-10-12T05:19:38Z,2021-10-12T05:19:38Z,849294,NCT05047835,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-21,NA,NA,2021-09-23,2021-09-21,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-23,2021-09-29,Actual,"December 21, 2020",Actual,2020-12-21,September 2021,2021-09-30,"September 2, 2021",Actual,2021-09-02,"May 25, 2021",Actual,2021-05-25,NA,Interventional,NA,NA,"Study of the Use of Nasal IFN-Î³ in Patients for the Prevention of Acute Respiratory Viral Infections, Icluding COVID-19","Prospective Randomized Open-label Comparative Study of the Use of Intranasal Form of Interferon Gamma Human Recombinant in Patients for the Prevention of Acute Respiratory Viral Infections, Including COVID-19",Completed,NA,Not Applicable,630,Actual,SPP Pharmaclon Ltd.,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T05:18:53Z,2021-10-12T05:18:53Z,846155,NCT05054114,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-07-31,NA,NA,2021-09-20,2021-09-20,2021-09-22,Actual,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-22,Actual,"March 30, 2020",Actual,2020-03-30,September 2021,2021-09-30,"May 15, 2020",Actual,2020-05-15,"May 5, 2020",Actual,2020-05-05,1 Month,Observational [Patient Registry],NA,NA,Association of the Neutrophil/Lymphocyte Ratio With Pulmonary Complications and Mortality in COVID-19 Patients,Association of the Neutrophil/Lymphocyte Ratio and Lymphocyte/Platelet Ratio With Pulmonary Complications and Mortality in COVID-19 Patients,Completed,NA,NA,200,Actual,Hospital General de Mexico,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,All participants and their information will be managed by intern investigators and will be kept secure for personal data protection according to Mexican laws,2021-10-12T05:19:08Z,2021-10-12T05:19:08Z,847143,NCT05052346,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-17,NA,NA,2021-09-17,2021-09-17,2021-09-21,Actual,NA,NA,NA,NA,NA,NA,2021-09-17,2021-09-21,Actual,"September 15, 2021",Actual,2021-09-15,September 2021,2021-09-30,"January 30, 2022",Anticipated,2022-01-30,"October 30, 2021",Anticipated,2021-10-30,NA,Observational,NA,NA,Immune Response to COVID-19 Vaccine in Recipients of Living Donor Liver Transplantation,Evaluation of the Immune Response to COVID-19 Vaccine in Recipients of Living Donor Liver Transplantation,Recruiting,NA,NA,50,Anticipated,Ain Shams University,NA,NA,1,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T05:19:11Z,2021-10-12T05:19:11Z,847376,NCT05051605,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-20,NA,NA,2021-09-27,2021-09-22,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-27,2021-09-28,Actual,"September 1, 2021",Actual,2021-09-01,September 2021,2021-09-30,"September 30, 2024",Anticipated,2024-09-30,"September 30, 2024",Anticipated,2024-09-30,NA,Observational,NA,NA,COVID-19 Antibody Responses In Cystic Fibrosis: CAR-CF,COVID-19 Antibody Responses In Cystic Fibrosis: CAR-CF,Recruiting,NA,NA,150,Anticipated,Medical University Innsbruck,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Samples With DNA,"Samples With DNA Blood serum samples will be collected for analysis of COVID-19 antibody levels. For participants who consent to the optional study, a second blood sample will also be drawn into EDTA tubes (plasma)",NA,NA,NA,NA,NA,2021-10-12T05:18:50Z,2021-10-12T05:18:50Z,845899,NCT05054582,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-10-05,NA,NA,2021-10-05,2021-10-05,2021-10-06,Actual,NA,NA,NA,NA,NA,NA,2021-10-05,2021-10-06,Actual,"July 5, 2021",Actual,2021-07-05,June 2021,2021-06-30,July 2022,Anticipated,2022-07-31,June 2022,Anticipated,2022-06-30,NA,Interventional,INROADE,NA,ImplementatioN of Remote Surgical wOund Assessment During the coviD-19 pandEmic,ImplementatioN of Remote Surgical wOund Assessment During the coviD-19 pandEmic,Recruiting,NA,Not Applicable,200,Anticipated,University of Edinburgh,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,One year following publication,Request from chief investigator (Professor Ewen Harrison),NA,Yes,Anonomysed IPD shared for research purposes,2021-10-12T05:17:13Z,2021-10-12T05:17:13Z,838531,NCT05069103,Coronavirus Infections,coronavirus infections,mesh-ancestor
