Change Type,Count_of_Changes,Count_of_Studies,ratio
Study Status,4958,1713,2.8943374197314653
None (earliest Version on record),2479,2479,1
Contacts/Locations,2423,1219,1.9876948318293683
Recruitment Status,1280,1095,1.1689497716894977
Outcome Measures,823,644,1.2779503105590062
Study Description,699,556,1.2571942446043165
Eligibility,661,475,1.391578947368421
Study Design,645,522,1.235632183908046
Study Identification,621,511,1.2152641878669277
Oversight,550,518,1.0617760617760619
Interventions,449,354,1.268361581920904
Arms,354,270,1.3111111111111111
Sponsor/Collaborators,252,221,1.1402714932126696
Conditions,192,175,1.0971428571428572
Groups,95,84,1.130952380952381
References,88,76,1.1578947368421053
IPDSharing,67,65,1.0307692307692307
Documents,42,32,1.3125
Results,7,7,1
Results Submission Events,6,6,1
2020Recruitment Status,2,2,1
Reported Adverse Events,2,1,2
2020 Outcome Measures,1,1,1
Quality Control Review has not concludedReturned: August 18,1,1,1
Quality Control Review has not concludedReturned: September 10,1,1,1
Quality Control Review has not concludedReturned: September 3,1,1,1
