Change Type,Count_of_Changes,Count_of_Studies,ratio
Study Status,5480,1540,3.5584415584415585
Contacts/Locations,3188,1278,2.4945226917057903
None (earliest Version on record),1941,1941,1
Recruitment Status,1552,1191,1.3031066330814443
Outcome Measures,958,685,1.3985401459854014
Study Design,903,662,1.36404833836858
Eligibility,832,542,1.5350553505535056
Study Description,737,534,1.3801498127340823
Study Identification,624,481,1.2972972972972974
Oversight,605,562,1.0765124555160142
Arms,594,420,1.4142857142857144
Interventions,594,420,1.4142857142857144
Sponsor/Collaborators,260,209,1.244019138755981
Conditions,195,164,1.1890243902439024
References,92,72,1.2777777777777777
IPDSharing,82,76,1.0789473684210527
Documents,53,42,1.2619047619047619
Results,14,14,1
Results Submission Events,11,11,1
Reported Adverse Events,8,6,1.3333333333333333
2020Recruitment Status,4,3,1.3333333333333333
2020 IPDSharing,1,1,1
2020 Outcome Measures,1,1,1
2020 Reported Adverse Events,1,1,1
Baseline Characteristics,1,1,1
More Information,1,1,1
Quality Control Review has not concludedReturned: August 18,1,1,1
Quality Control Review has not concludedReturned: December 30,1,1,1
Quality Control Review has not concludedReturned: December 8,1,1,1
Quality Control Review has not concludedReturned: November 17,1,1,1
Quality Control Review has not concludedReturned: November 24,1,1,1
Quality Control Review has not concludedReturned: September 10,1,1,1
Quality Control Review has not concludedReturned: September 3,1,1,1
