Change Type,Count_of_Changes,Count_of_Studies,ratio
Study Status,7204,1619,4.449660284126003
None (earliest Version on record),2350,2350,1
Contacts/Locations,1827,1060,1.7235849056603774
Recruitment Status,1284,1003,1.280159521435693
Study Design,805,700,1.15
Study Description,635,481,1.32016632016632
Outcome Measures,628,533,1.1782363977485928
Study Identification,527,464,1.1357758620689655
Eligibility,392,317,1.2365930599369086
Oversight,281,273,1.0293040293040292
Groups,244,205,1.1902439024390243
Interventions,244,205,1.1902439024390243
Sponsor/Collaborators,215,194,1.1082474226804124
Conditions,189,176,1.0738636363636365
References,97,88,1.1022727272727273
IPDSharing,29,28,1.0357142857142858
Document Section,24,20,1.2
Results Submission Events,16,16,1
Results,11,11,1
Baseline Characteristics,2,1,2
