nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,days_since_update
NCT04244591,"ClinicalTrials.gov processed this data on August 31, 2020",2020-01-23,NA,NA,2020-06-13,2020-01-25,2020-01-28,Actual,NA,NA,NA,NA,NA,NA,2020-06-13,2020-06-16,Actual,"January 26, 2020",Actual,2020-01-26,February 2020,2020-02-29,"April 13, 2020",Actual,2020-04-13,"April 13, 2020",Actual,2020-04-13,NA,Interventional,NA,,Glucocorticoid Therapy for COVID-19 Critically Ill Patients With Severe Acute Respiratory Failure,"Glucocorticoid Therapy for Critically Ill Patients With Severe Acute Respiratory Infections Caused by COVID-19: a Prospective, Randomized Controlled Trial",Completed,NA,Phase 2/Phase 3,80,Actual,Peking Union Medical College Hospital,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-09-01T10:03:29Z,2020-09-01T10:03:29Z,86
NCT04252885,"ClinicalTrials.gov processed this data on August 31, 2020",2020-01-30,NA,NA,2020-06-29,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-06-29,2020-07-01,Actual,"January 28, 2020",Actual,2020-01-28,June 2020,2020-06-30,"May 31, 2020",Actual,2020-05-31,"April 30, 2020",Actual,2020-04-30,NA,Interventional,ELACOI,,The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection,"A Randomized, Open-label, Controlled Study of the Efficacy of Lopinavir Plus Ritonavir and Arbidol for Treating With Patients With Novel Coronavirus Infection",Completed,NA,Phase 4,86,Actual,Guangzhou 8th People's Hospital,,3,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-09-01T10:02:19Z,2020-09-01T10:02:19Z,70
NCT04261517,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-06,NA,NA,2020-04-09,2020-02-06,2020-02-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-13,Actual,"February 6, 2020",Actual,2020-02-06,April 2020,2020-04-30,"February 25, 2020",Actual,2020-02-25,"February 25, 2020",Actual,2020-02-25,NA,Interventional,NA,,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,Completed,NA,Phase 3,30,Actual,Shanghai Public Health Clinical Center,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-09-01T10:01:01Z,2020-09-01T10:01:01Z,151
NCT04276688,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-11,NA,NA,2020-04-13,2020-02-17,2020-02-19,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"February 10, 2020",Actual,2020-02-10,April 2020,2020-04-30,"March 31, 2020",Actual,2020-03-31,"March 30, 2020",Actual,2020-03-30,NA,Interventional,NA,,"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination for nCoV Treatment","An Open-label Randomized Controlled Trial on Lopinavir/ Ritonavir, Ribavirin and Interferon Beta 1b Combination Versus Lopinavir/ Ritonavir Alone, as Treatment for 2019 Novel Coronavirus Infection",Completed,NA,Phase 2,127,Actual,The University of Hong Kong,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-09-01T09:58:59Z,2020-09-01T09:58:59Z,147
NCT04273321,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-15,NA,NA,2020-05-08,2020-02-17,2020-02-18,Actual,NA,NA,NA,NA,NA,NA,2020-05-08,2020-05-11,Actual,"February 14, 2020",Actual,2020-02-14,April 2020,2020-04-30,"April 15, 2020",Actual,2020-04-15,"April 15, 2020",Actual,2020-04-15,NA,Interventional,NA,,Efficacy and Safety of Corticosteroids in COVID-19,Efficacy and Safety of Corticosteroids in COVID-19: A Prospective Randomized Controlled Trails,Completed,NA,N/A,86,Actual,Beijing Chao Yang Hospital,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Yes,NA,2020-09-01T09:59:24Z,2020-09-01T09:59:24Z,122
NCT04280705,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-20,NA,NA,2020-07-20,2020-02-20,2020-02-21,Actual,NA,NA,NA,NA,NA,NA,2020-07-20,2020-07-22,Actual,"February 21, 2020",Actual,2020-02-21,April 2020,2020-04-30,"May 21, 2020",Actual,2020-05-21,"May 21, 2020",Actual,2020-05-21,NA,Interventional,NA,,Adaptive COVID-19 Treatment Trial (ACTT),"A Multicenter, Adaptive, Randomized Blinded Controlled Trial of the Safety and Efficacy of Investigational Therapeutics for the Treatment of COVID-19 in Hospitalized Adults",Completed,NA,Phase 3,1062,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,2,NA,NA,FALSE,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-09-01T09:58:24Z,2020-09-01T09:58:24Z,49
NCT04288102,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-24,NA,NA,2020-08-18,2020-02-25,2020-02-28,Actual,NA,NA,NA,NA,NA,NA,2020-08-18,2020-08-19,Actual,"March 5, 2020",Actual,2020-03-05,August 2020,2020-08-31,"July 9, 2020",Actual,2020-07-09,"May 12, 2020",Actual,2020-05-12,NA,Interventional,NA,,Treatment With Human Umbilical Cord-derived Mesenchymal Stem Cells for Severe Corona Virus Disease 2019 (COVID-19),"A Phase II, Multicenter, Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy and Safety of Human Umbilical Cord-derived Mesenchymal Stem Cells in the Treatment of Severe COVID-19 Patients",Completed,NA,Phase 2,100,Actual,Beijing 302 Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Yes,"After approval from the steering committee and the Human Genetic Resources Administration of China, this trial data can be shared with qualifying researchers who submit a proposal with a valuable research question. A contract should be signed.",2020-09-01T09:57:20Z,2020-09-01T09:57:20Z,20
NCT04291729,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-27,NA,NA,2020-04-09,2020-02-28,2020-03-02,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-13,Actual,"February 17, 2020",Actual,2020-02-17,March 2020,2020-03-31,"March 19, 2020",Actual,2020-03-19,"March 19, 2020",Actual,2020-03-19,NA,Interventional,NA,,Evaluation of Ganovo ï¼ˆDanoprevir ï¼‰ Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,An Open Clinical Trial to Evaluate Ganovoï¼ˆDanoprevir ï¼‰ Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,Completed,NA,Phase 4,11,Actual,The Ninth Hospital of Nanchang,,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-09-01T09:56:54Z,2020-09-01T09:56:54Z,151
NCT04292899,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-28,NA,NA,2020-07-23,2020-02-28,2020-03-03,Actual,NA,NA,NA,NA,NA,NA,2020-07-23,2020-07-27,Actual,"March 6, 2020",Actual,2020-03-06,July 2020,2020-07-31,"June 30, 2020",Actual,2020-06-30,"April 9, 2020",Actual,2020-04-09,NA,Interventional,NA,,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Severe Coronavirus Disease (COVID-19),A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Severe COVID-19,Completed,NA,Phase 3,4891,Actual,Gilead Sciences,,4,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-09-01T09:56:43Z,2020-09-01T09:56:43Z,46
NCT04292730,"ClinicalTrials.gov processed this data on August 31, 2020",2020-02-28,NA,NA,2020-07-23,2020-02-28,2020-03-03,Actual,NA,NA,NA,NA,NA,NA,2020-07-23,2020-07-27,Actual,"March 15, 2020",Actual,2020-03-15,July 2020,2020-07-31,"June 26, 2020",Actual,2020-06-26,"April 29, 2020",Actual,2020-04-29,NA,Interventional,NA,,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Moderate COVID-19 Compared to Standard of Care Treatment,Completed,NA,Phase 3,1113,Actual,Gilead Sciences,,4,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-09-01T09:56:45Z,2020-09-01T09:56:45Z,46
