Country,Study_Count
"NA",146
United States,134
France,60
China,57
Spain,27
Italy,25
Brazil,14
Canada,13
Egypt,13
"Iran, Islamic Republic of",11
Mexico,11
Germany,9
Denmark,8
Belgium,7
United Kingdom,7
Colombia,6
Netherlands,5
Greece,4
Hong Kong,4
Poland,4
Switzerland,4
Turkey,4
Norway,3
Pakistan,3
Tunisia,3
Austria,2
India,2
Ireland,2
Israel,2
Jordan,2
Russian Federation,2
Sweden,2
Argentina,1
Australia,1
Bahrain,1
French Guiana,1
Iraq,1
"Korea, Republic of",1
Malaysia,1
Puerto Rico,1
Romania,1
Saudi Arabia,1
Slovenia,1
South Africa,1
Thailand,1
Vietnam,1
