country,Total_changes,Study_Count,changes_per_study
Japan,122,2,61
Puerto Rico,57,1,57
South Africa,31,2,15.5
Taiwan,41,3,13.666666666666666
"Korea, Republic of",80,6,13.333333333333334
Kenya,12,1,12
Singapore,86,9,9.555555555555555
Netherlands,116,16,7.25
Chile,37,6,6.166666666666667
Thailand,12,2,6
Tunisia,12,2,6
Romania,11,2,5.5
Argentina,119,22,5.409090909090909
Germany,232,44,5.2727272727272725
Colombia,21,4,5.25
Bahrain,10,2,5
Czechia,14,3,4.666666666666667
Israel,50,12,4.166666666666667
United States,1948,468,4.162393162393163
Hong Kong,58,14,4.142857142857143
Denmark,106,26,4.076923076923077
Gibraltar,4,1,4
Brazil,187,48,3.8958333333333335
Hungary,26,7,3.7142857142857144
Canada,172,48,3.5833333333333335
Spain,354,102,3.4705882352941178
Australia,37,11,3.3636363636363638
French Guiana,10,3,3.3333333333333335
Mexico,136,41,3.317073170731707
Russian Federation,96,29,3.310344827586207
United Kingdom,261,85,3.070588235294118
Dominican Republic,3,1,3
Ecuador,6,2,3
Greece,39,13,3
Luxembourg,6,2,3
Sweden,69,23,3
Poland,28,10,2.8
Malaysia,10,4,2.5
Vietnam,5,2,2.5
Italy,239,99,2.414141414141414
Monaco,7,3,2.3333333333333335
Switzerland,74,33,2.242424242424242
Austria,31,14,2.2142857142857144
Bosnia and Herzegovina,2,1,2
Ethiopia,2,1,2
Honduras,2,1,2
Iraq,4,2,2
Portugal,6,3,2
Saudi Arabia,26,13,2
United Arab Emirates,4,2,2
Belgium,63,37,1.7027027027027026
China,175,103,1.6990291262135921
France,538,331,1.6253776435045317
Guinea-Bissau,3,2,1.5
Indonesia,6,4,1.5
"Iran, Islamic Republic of",28,19,1.4736842105263157
Norway,22,15,1.4666666666666666
India,35,24,1.4583333333333333
Egypt,111,86,1.2906976744186047
Bangladesh,9,8,1.125
Belarus,1,1,1
Burkina Faso,1,1,1
Guinea,2,2,1
Iceland,1,1,1
Ireland,1,1,1
Kuwait,1,1,1
Philippines,1,1,1
Turkey,67,68,0.9852941176470589
Pakistan,21,22,0.9545454545454546
Jordan,1,2,0.5
North Macedonia,1,2,0.5
Slovenia,1,2,0.5
Qatar,3,8,0.375
Algeria,0,1,0
Kazakhstan,0,1,0
Rwanda,0,1,0
Ukraine,0,3,0
Albania,NA,NA,NA
Armenia,NA,NA,NA
Bolivia,NA,NA,NA
Botswana,NA,NA,NA
Bulgaria,NA,NA,NA
Costa Rica,NA,NA,NA
Finland,NA,NA,NA
Gambia,NA,NA,NA
Ghana,NA,NA,NA
Guadeloupe,NA,NA,NA
Guatemala,NA,NA,NA
Lebanon,NA,NA,NA
Lithuania,NA,NA,NA
Malawi,NA,NA,NA
Martinique,NA,NA,NA
Mongolia,NA,NA,NA
Mozambique,NA,NA,NA
Nigeria,NA,NA,NA
Peru,NA,NA,NA
San Marino,NA,NA,NA
Serbia,NA,NA,NA
Sudan,NA,NA,NA
Tanzania,NA,NA,NA
Uruguay,NA,NA,NA
Venezuela,NA,NA,NA
Zambia,NA,NA,NA
Zimbabwe,NA,NA,NA
