country,Total_changes,Study_Count,changes_per_study
Puerto Rico,325,2,162.5
Portugal,111,1,111
"Moldova, Republic of",95,1,95
Bulgaria,91,1,91
Peru,366,5,73.2
Ukraine,270,5,54
Romania,197,4,49.25
South Africa,569,13,43.76923076923077
Philippines,254,6,42.333333333333336
Georgia,78,2,39
Ghana,37,1,37
Nigeria,68,2,34
Kenya,62,2,31
Poland,339,11,30.818181818181817
Nepal,29,1,29
Colombia,433,15,28.866666666666667
Chile,333,12,27.75
Argentina,762,31,24.580645161290324
Japan,401,17,23.58823529411765
Uganda,70,3,23.333333333333332
Singapore,216,11,19.636363636363637
Panama,18,1,18
Czechia,69,4,17.25
Honduras,33,2,16.5
Ecuador,16,1,16
Mexico,1025,69,14.855072463768115
Monaco,14,1,14
Hungary,111,8,13.875
Netherlands,291,24,12.125
Greece,200,17,11.764705882352942
Brazil,1349,115,11.730434782608695
Russian Federation,568,50,11.36
Germany,601,54,11.12962962962963
Dominican Republic,11,1,11
Denmark,290,27,10.74074074074074
"Korea, Republic of",322,30,10.733333333333333
Mali,10,1,10
United Kingdom,947,97,9.762886597938145
Spain,1073,112,9.580357142857142
India,357,38,9.394736842105264
Switzerland,193,21,9.19047619047619
Taiwan,147,16,9.1875
Austria,103,12,8.583333333333334
Lebanon,16,2,8
Israel,245,32,7.65625
United States,5710,761,7.503285151116952
Canada,815,116,7.025862068965517
Guinea-Bissau,14,2,7
Italy,558,80,6.975
Australia,136,20,6.8
Jordan,25,4,6.25
Sweden,171,28,6.107142857142857
Belgium,306,51,6
Finland,24,4,6
North Macedonia,12,2,6
United Arab Emirates,18,3,6
Bahrain,23,4,5.75
Belarus,11,2,5.5
Thailand,44,8,5.5
Malaysia,36,7,5.142857142857143
Kuwait,9,2,4.5
France,905,205,4.414634146341464
Ireland,13,3,4.333333333333333
Norway,39,9,4.333333333333333
Croatia,4,1,4
Gambia,4,1,4
Jamaica,4,1,4
New Zealand,16,4,4
Senegal,4,1,4
Slovakia,4,1,4
Costa Rica,7,2,3.5
Vietnam,35,10,3.5
Kazakhstan,16,5,3.2
Hong Kong,66,21,3.142857142857143
Bosnia and Herzegovina,3,1,3
C̫te D'Ivoire,3,1,3
French Guiana,9,3,3
Oman,3,1,3
Rwanda,6,2,3
Bangladesh,53,18,2.9444444444444446
Indonesia,73,25,2.92
Saudi Arabia,43,16,2.6875
Turkey,223,85,2.623529411764706
Egypt,203,82,2.475609756097561
Pakistan,107,44,2.4318181818181817
China,260,125,2.08
Iceland,2,1,2
"Iran, Islamic Republic of",39,21,1.8571428571428572
Tunisia,10,6,1.6666666666666667
Iraq,11,7,1.5714285714285714
Guinea,3,2,1.5
Paraguay,4,3,1.3333333333333333
Qatar,8,7,1.1428571428571428
Cyprus,1,1,1
Estonia,1,1,1
Azerbaijan,0,1,0
Cameroon,0,1,0
Kyrgyzstan,0,1,0
Slovenia,0,1,0
Benin,NA,NA,NA
Burkina Faso,NA,NA,NA
Cape Verde,NA,NA,NA
Ethiopia,NA,NA,NA
Guadeloupe,NA,NA,NA
Guatemala,NA,NA,NA
Lao People's Democratic Republic,NA,NA,NA
Latvia,NA,NA,NA
Lithuania,NA,NA,NA
Luxembourg,NA,NA,NA
Martinique,NA,NA,NA
Mongolia,NA,NA,NA
Morocco,NA,NA,NA
Mozambique,NA,NA,NA
New Caledonia,NA,NA,NA
Niger,NA,NA,NA
R̩union,NA,NA,NA
Serbia,NA,NA,NA
Sri Lanka,NA,NA,NA
Uzbekistan,NA,NA,NA
Zambia,NA,NA,NA
NA,NA,NA,NA
