country,Total_changes,Study_Count,changes_per_study
China,8,4,2
Singapore,2,1,2
India,5,3,1.6666666666666667
Colombia,3,2,1.5
Mexico,6,4,1.5
Australia,1,1,1
Brazil,6,6,1
Hungary,1,1,1
"Korea, Republic of",1,1,1
Pakistan,2,2,1
South Africa,1,1,1
Ukraine,1,1,1
United States,21,39,0.5384615384615384
Spain,13,25,0.52
France,17,33,0.5151515151515151
Russian Federation,2,4,0.5
Sweden,3,6,0.5
Chile,1,3,0.3333333333333333
Israel,1,3,0.3333333333333333
Turkey,6,18,0.3333333333333333
Canada,1,4,0.25
Denmark,1,4,0.25
Germany,3,12,0.25
Belgium,1,7,0.14285714285714285
Italy,1,20,0.05
Egypt,0,12,0
Iceland,0,1,0
Netherlands,0,5,0
Norway,0,3,0
Poland,0,4,0
United Kingdom,0,6,0
Argentina,-1,5,-0.2
Austria,-1,2,-0.5
Bangladesh,-1,2,-0.5
Greece,-1,2,-0.5
Switzerland,-2,4,-0.5
Hong Kong,NA,NA,NA
Indonesia,NA,NA,NA
Japan,NA,NA,NA
Malaysia,NA,NA,NA
Martinique,NA,NA,NA
NA,NA,NA,NA
