Country,Study_Count
United States,653
France,431
Italy,140
United Kingdom,131
Spain,126
China,124
Egypt,120
Turkey,109
Canada,81
Brazil,74
Germany,62
Mexico,58
Belgium,50
Switzerland,44
Russian Federation,43
Denmark,38
Pakistan,36
Sweden,34
Argentina,32
India,32
Israel,24
Netherlands,22
Australia,20
Norway,20
"Iran, Islamic Republic of",19
Hong Kong,17
Saudi Arabia,17
Austria,16
Greece,14
Singapore,14
Bangladesh,13
Poland,13
"Korea, Republic of",12
Chile,11
Colombia,10
Hungary,9
Qatar,9
Indonesia,8
South Africa,8
Japan,7
Malaysia,7
United States|Puerto Rico,7
Taiwan,6
United States|Brazil,6
United States|Canada,5
Czechia,4
Iraq,4
Peru,4
Romania,4
Kazakhstan,3
Kuwait,3
Monaco,3
Portugal,3
Ukraine,3
United Arab Emirates,3
Bahrain,2
Belarus,2
Belgium|France,2
Ecuador,2
Finland,2
France|French Guiana,2
France|Martinique,2
France|Monaco,2
French Guiana,2
Guinea,2
Guinea-Bissau,2
Iceland,2
Ireland,2
Jordan,2
Luxembourg,2
"NA",2
Nigeria,2
North Macedonia,2
Philippines,2
Slovenia,2
Thailand,2
Tunisia,2
United States|Chile|Colombia|Israel|Russian Federation|Spain|United Kingdom,2
United States|Spain,2
United States|United Kingdom,2
Vietnam,2
Albania|Brazil|Bulgaria|Chile|Cyprus|France|Greece|Israel|Malta|Portugal|Spain|Turkey|United Kingdom,1
Algeria,1
"Argentina|Bosnia and Herzegovina|Ghana|India|Iran, Islamic Republic of|Sudan",1
Argentina|Brazil|Canada|Chile|France|Germany|Israel|Italy|Japan|Russian Federation|Spain,1
Argentina|Brazil|Chile|Mexico|Russian Federation,1
Argentina|Brazil|Denmark|Germany|Hungary|India|Mexico|Netherlands|Peru|Russian Federation|South Africa|Spain,1
Argentina|Chile|Colombia|Ecuador|Spain,1
Argentina|Chile|Mexico|Pakistan|Russian Federation,1
Argentina|Egypt,1
Australia|Netherlands|Spain|United Kingdom,1
Australia|United States|Philippines|Romania,1
Austria|Belgium|Czechia|Denmark|France|Germany|Greece|Hungary|Israel|Italy|Lithuania|Netherlands|Poland|Portugal|Russian Federation|Spain|Sweden|Switzerland|United Kingdom,1
Austria|Belgium|Czechia|Germany|Greece|Italy|Netherlands|United Kingdom,1
Austria|Belgium|France|Luxembourg,1
Austria|Denmark|Germany|Russian Federation|United Kingdom,1
Austria|Germany,1
Bahrain|Egypt|Jordan|United Arab Emirates,1
Belgium|Brazil|France|Germany|Italy|Mexico|Spain|United Kingdom,1
Belgium|France|Monaco,1
Belgium|Germany,1
Belgium|Italy|United Kingdom,1
Bolivia,1
Bosnia and Herzegovina,1
