Country,Study_Count
United States,537
France,161
China,82
Spain,77
Brazil,74
Canada,67
United Kingdom,66
Italy,53
Egypt,48
Mexico,48
Germany,38
Turkey,37
Pakistan,33
Belgium,31
Russian Federation,31
Denmark,24
Israel,23
India,22
Argentina,21
"Korea, Republic of",19
"Iran, Islamic Republic of",18
Sweden,18
Australia,17
Netherlands,15
Bangladesh,14
Indonesia,14
Saudi Arabia,13
Switzerland,13
Colombia,11
Greece,10
Japan,10
Hong Kong,9
South Africa,9
United States|Canada,9
Singapore,8
Poland,7
United States|Puerto Rico,7
Austria,6
Chile,6
Hungary,6
United States|Brazil,6
Iraq,5
Norway,5
Qatar,5
Jordan,4
Kazakhstan,4
Taiwan,4
Thailand,4
Bahrain,3
Finland,3
Malaysia,3
Peru,3
Romania,3
Ukraine,3
Belarus,2
Czechia,2
France|Monaco,2
French Guiana,2
Guinea,2
Guinea-Bissau,2
Ireland,2
Kuwait,2
North Macedonia,2
Paraguay,2
"United States|Japan|Korea, Republic of|Mexico|Singapore",2
United States|Romania,2
United States|Spain,2
United States|United Kingdom,2
Vietnam,2
Argentina|Brazil|Canada|Chile|France|Germany|Israel|Italy|Japan|Russian Federation|Spain,1
Argentina|Brazil|Chile|France|Germany|India|Italy|Japan|Mexico|Peru|Russian Federation|South Africa|Turkey,1
Argentina|Brazil|Chile|Mexico|Russian Federation,1
Argentina|Brazil|Denmark|Germany|Hungary|India|Mexico|Netherlands|Peru|Russian Federation|South Africa|Spain,1
Argentina|Egypt,1
Argentina|Spain,1
Australia|Brazil|Netherlands|Spain|United Kingdom,1
Australia|India,1
Austria|Belgium|France|Germany|Portugal|Spain,1
Austria|Belgium|France|Luxembourg|Portugal,1
Austria|Denmark|Germany|Russian Federation|United Kingdom,1
Austria|Germany,1
Bahrain|Egypt|Jordan|United Arab Emirates,1
Bangladesh|China|India|Indonesia|Spain,1
Belgium|Brazil|France|Germany|Italy|Mexico|Spain|United Kingdom,1
Belgium|France,1
Belgium|France|Monaco,1
Belgium|Germany,1
Belgium|Germany|Netherlands,1
Bosnia and Herzegovina,1
Brazil|Canada|Chile|Colombia|Ecuador|Egypt|India|Pakistan|Philippines|Russian Federation|Saudi Arabia|United Arab Emirates,1
Brazil|Colombia|Israel|Italy|Mexico|Poland|Russian Federation,1
Brazil|France|Russian Federation|Spain,1
Brazil|Italy,1
Brazil|Malaysia,1
Brazil|Mexico|Switzerland,1
Brazil|United States,1
Bulgaria,1
Bulgaria|Germany,1
C̫te D'Ivoire,1
