Country,Study_Count
France,24
United States,20
Spain,18
Italy,11
Turkey,8
Germany,7
Sweden,6
Belgium,5
Mexico,4
United Kingdom,4
Brazil,3
China,3
Denmark,3
Egypt,3
Netherlands,3
Switzerland,3
Austria,2
Bangladesh,2
Canada,2
Norway,2
Poland,2
Russian Federation,2
Argentina,1
Australia,1
Belgium|France,1
China|Hong Kong|Spain,1
France|Martinique,1
Hungary,1
India,1
Qatar,1
Singapore,1
Tunisia,1
Ukraine,1
United States|Brazil|Colombia|France|Spain,1
United States|Canada|Israel|Japan|Serbia|Spain|United Kingdom,1
United States|Poland,1
