target_duration,Study_Count
1 Year,40
12 Months,34
1 Month,31
6 Months,31
1 Day,21
2 Years,16
3 Months,16
2 Months,15
30 Days,12
4 Weeks,11
18 Months,9
28 Days,7
14 Days,6
5 Years,6
9 Months,5
1 Week,4
2 Weeks,4
24 Months,4
10 Days,3
10 Months,3
3 Weeks,3
3 Years,3
36 Months,3
4 Years,3
5 Months,3
6 Weeks,3
60 Days,3
7 Days,3
90 Days,3
12 Weeks,2
2 Days,2
20 Years,2
21 Days,2
21 Months,2
4 Months,2
7 Months,2
10 Years,1
100 Years,1
12 Years,1
14 Weeks,1
16 Months,1
16 Weeks,1
20 Days,1
20 Months,1
3 Days,1
5 Days,1
8 Months,1
8 Weeks,1
9 Weeks,1
