nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT04320953,"ClinicalTrials.gov processed this data on January 29, 2021",3/21/2020,NA,NA,4/15/2020,3/23/2020,3/25/2020,Actual,NA,NA,NA,NA,NA,NA,4/15/2020,4/17/2020,Actual,16-Mar-20,Actual,3/16/2020,Apr-20,4/30/2020,9-Apr-20,Actual,4/9/2020,26-Mar-20,Actual,3/26/2020,NA,Interventional,NA,,Non-contact Endoscopy at Covid-19 Outbreak,Non-contact Endoscopy at Covid-19 Outbreak,Completed,NA,N/A,5,Actual,Changhai Hospital,,1,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T12:35:01Z,2021-02-01T12:35:01Z
NCT04726371,"ClinicalTrials.gov processed this data on January 29, 2021",1/15/2021,NA,NA,1/26/2021,1/26/2021,1/27/2021,Actual,NA,NA,NA,NA,NA,NA,1/26/2021,1/27/2021,Actual,8-Jan-21,Actual,1/8/2021,Jan-21,1/31/2021,Oct-22,Anticipated,10/31/2022,Oct-22,Anticipated,10/31/2022,NA,Interventional,NA,,Best Practices to Prevent COVID-19 Illness in Staff and People With Serious Mental Illness and Developmental Disabilities in Congregate Living Settings,Best Practices to Prevent COVID-19 Illness in Staff and People With Serious Mental Illness and Developmental Disabilities in Congregate Living Settings,Recruiting,NA,N/A,5350,Anticipated,Massachusetts General Hospital,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:38:22Z,2021-02-01T11:38:22Z
NCT04726111,"ClinicalTrials.gov processed this data on January 29, 2021",1/21/2021,NA,NA,1/26/2021,1/26/2021,1/27/2021,Actual,NA,NA,NA,NA,NA,NA,1/26/2021,1/27/2021,Actual,30-Dec-20,Actual,12/30/2020,Jan-21,1/31/2021,30-Aug-21,Anticipated,8/30/2021,30-Jul-21,Anticipated,7/30/2021,NA,Interventional,MaterCov,,COVID-19 and Pregnancy: Placental and Immunological Impacts,COVID-19 and Pregnancy: Placental and Immunological Impacts,Recruiting,NA,N/A,200,Anticipated,Hopital Foch,,4,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:38:23Z,2021-02-01T11:38:23Z
NCT04726098,"ClinicalTrials.gov processed this data on January 29, 2021",1/23/2021,NA,NA,1/26/2021,1/26/2021,1/27/2021,Actual,NA,NA,NA,NA,NA,NA,1/26/2021,1/27/2021,Actual,15-Jan-21,Actual,1/15/2021,Jan-21,1/31/2021,31-Dec-22,Anticipated,12/31/2022,30-Jun-21,Anticipated,6/30/2021,NA,Interventional,HIGHLOWDEXA,,Low or High Dose of Dexamethasone in Patients With Respiratory Failure by COVID-19,Efficacy of Low or High Dose of Dexamethasone in Patients With Respiratory Failure by COVID-19,Recruiting,NA,Phase 4,198,Anticipated,Hospital Clinico Universitario de Santiago,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2021-02-01T11:38:23Z,2021-02-01T11:38:23Z
NCT04724681,"ClinicalTrials.gov processed this data on January 29, 2021",10/21/2020,NA,NA,1/24/2021,1/24/2021,1/26/2021,Actual,NA,NA,NA,NA,NA,NA,1/24/2021,1/26/2021,Actual,1-Feb-21,Anticipated,2/1/2021,Jan-21,1/31/2021,31-Dec-21,Anticipated,12/31/2021,31-Dec-21,Anticipated,12/31/2021,NA,Interventional,WARD COVID-19,,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,Recruiting,NA,N/A,800,Anticipated,University Hospital Bispebjerg and Frederiksberg,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:38:33Z,2021-02-01T11:38:33Z
NCT04724629,"ClinicalTrials.gov processed this data on January 29, 2021",10/5/2020,NA,NA,1/23/2021,1/23/2021,1/26/2021,Actual,NA,NA,NA,NA,NA,NA,1/23/2021,1/26/2021,Actual,5-Jan-21,Actual,1/5/2021,Jan-21,1/31/2021,30-Jul-21,Anticipated,7/30/2021,31-Mar-21,Anticipated,3/31/2021,NA,Interventional,STRUCK,,Survival TRial Using CytoKines in COVID-19 (STRUCK Trial),"Prospective-randomized Adaptive Study, With Active Control to Evaluate the Efficacy and Safety of Interleukin (IL)-17 Inhibitor Treatment Versus Low Doses of IL-2 Versus Indirect IL-6 Inhibitor in Hospitalized Patients With Severe Forms of COVID-19",Recruiting,NA,Phase 3,60,Anticipated,University of Sao Paulo,,4,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,TRUE,NA,,NA,NA,NA,NA,NA,2021-02-01T11:38:33Z,2021-02-01T11:38:33Z
NCT04724616,"ClinicalTrials.gov processed this data on January 29, 2021",1/10/2021,NA,NA,1/24/2021,1/24/2021,1/26/2021,Actual,NA,NA,NA,NA,NA,NA,1/24/2021,1/26/2021,Actual,6-Jan-21,Actual,1/6/2021,Jan-21,1/31/2021,Jun-21,Anticipated,6/30/2021,Jun-21,Anticipated,6/30/2021,NA,Interventional,CARTOON,,CARTOON: CoronAviRus (COVID-19) educaTional prOgram fOr childreN,CARTOON: CoronAviRus educaTional prOgram fOr childreN to Promote Knowledge and Hygiene Measures and Dispel Fear During the COVID- 19 Pandemic,Recruiting,NA,N/A,60,Anticipated,Medical University of Vienna,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Yes,NA,2021-02-01T11:38:34Z,2021-02-01T11:38:34Z
NCT04721236,"ClinicalTrials.gov processed this data on January 29, 2021",1/20/2021,NA,NA,1/21/2021,1/21/2021,1/22/2021,Actual,NA,NA,NA,NA,NA,NA,1/21/2021,1/22/2021,Actual,19-Nov-20,Actual,11/19/2020,Jan-21,1/31/2021,19-May-22,Anticipated,5/19/2022,19-Nov-21,Anticipated,11/19/2021,NA,Interventional,COV-II-PLA,,Early Use of Hyperimmune Plasma in COVID-19,COVID-19 Wave II Study for Assessing the Early Use of Hyperimmune Plasma for the Treatment of COVID-19 Patients Needing Non-invasive or Invasive Mechanical Ventilation,Recruiting,NA,N/A,300,Anticipated,IRCCS Policlinico S. Matteo,,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,may be available upon motivated requesto to PI,2021-02-01T11:38:57Z,2021-02-01T11:38:57Z
NCT04723576,"ClinicalTrials.gov processed this data on January 29, 2021",1/14/2021,NA,NA,1/22/2021,1/22/2021,1/25/2021,Actual,NA,NA,NA,NA,NA,NA,1/22/2021,1/25/2021,Actual,3-Dec-20,Actual,12/3/2020,Jan-21,1/31/2021,30-Nov-23,Anticipated,11/30/2023,Feb-22,Anticipated,2/28/2022,NA,Interventional,COVER-HCW,,Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19),Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19),Recruiting,NA,N/A,2132,Anticipated,RAND,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-02-01T11:38:41Z,2021-02-01T11:38:41Z
NCT04723550,"ClinicalTrials.gov processed this data on January 29, 2021",1/21/2021,NA,NA,1/23/2021,1/21/2021,1/25/2021,Actual,NA,NA,NA,NA,NA,NA,1/23/2021,1/26/2021,Actual,5-Jan-21,Actual,1/5/2021,Jan-21,1/31/2021,5-Jan-22,Anticipated,1/5/2022,5-Nov-21,Anticipated,11/5/2021,NA,Interventional,NA,,COVID-19 Lockdown Related Telemedicine for Type 2 Diabetes,Impact of Telemedicine on Young and Middle-aged Obese Patients With Type 2 Diabetes Mellitus During COVID-19 Pandemic,Recruiting,NA,N/A,120,Anticipated,Xuzhou No.1 Peoples Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:38:41Z,2021-02-01T11:38:41Z
