nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,intervention_type,intervention_name,description,status,facility_name,city,state,zip,country,site_count
NCT04244591,"ClinicalTrials.gov processed this data on April 24, 2020",2020-01-23,NA,NA,2020-04-14,2020-01-25,2020-01-28,Actual,NA,NA,NA,NA,NA,NA,2020-04-14,2020-04-15,Actual,"January 26, 2020",Actual,2020-01-26,February 2020,2020-02-29,"April 13, 2020",Actual,2020-04-13,"April 13, 2020",Actual,2020-04-13,NA,Interventional,NA,,Glucocorticoid Therapy for COVID-19 Critically Ill Patients With Severe Acute Respiratory Failure,"Glucocorticoid Therapy for Critically Ill Patients With Severe Acute Respiratory Infections Caused by COVID-19: a Prospective, Randomized Controlled Trial",Completed,NA,Phase 2/Phase 3,80,Actual,Peking Union Medical College Hospital,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-25T09:21:40Z,2020-04-25T09:21:40Z,5176927,Drug,methylprednisolone therapy,Methylprednisolone 40 mg q12h for 5 days,,"Medical ICU,Peking Union Medical College Hospital",Beijing,Beijing,010,China,1
NCT04244591,"ClinicalTrials.gov processed this data on April 24, 2020",2020-01-23,NA,NA,2020-04-14,2020-01-25,2020-01-28,Actual,NA,NA,NA,NA,NA,NA,2020-04-14,2020-04-15,Actual,"January 26, 2020",Actual,2020-01-26,February 2020,2020-02-29,"April 13, 2020",Actual,2020-04-13,"April 13, 2020",Actual,2020-04-13,NA,Interventional,NA,,Glucocorticoid Therapy for COVID-19 Critically Ill Patients With Severe Acute Respiratory Failure,"Glucocorticoid Therapy for Critically Ill Patients With Severe Acute Respiratory Infections Caused by COVID-19: a Prospective, Randomized Controlled Trial",Completed,NA,Phase 2/Phase 3,80,Actual,Peking Union Medical College Hospital,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-25T09:21:40Z,2020-04-25T09:21:40Z,5176928,Other,Standard care,Standard care,,"Medical ICU,Peking Union Medical College Hospital",Beijing,Beijing,010,China,1
NCT04252118,"ClinicalTrials.gov processed this data on April 24, 2020",2020-01-27,NA,NA,2020-04-13,2020-01-30,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"January 27, 2020",Actual,2020-01-27,April 2020,2020-04-30,December 2021,Anticipated,2021-12-31,December 2020,Anticipated,2020-12-31,NA,Interventional,NA,,Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With COVID-19,Safety and Efficiency of Mesenchymal Stem Cell in Treating Pneumonia Patients Infected With COVID-19,Recruiting,NA,Phase 1,20,Anticipated,Beijing 302 Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-25T09:21:25Z,2020-04-25T09:21:25Z,5176869,Biological,MSCs,"3 times of MSCs(3.0*10E7 MSCs intravenously at Day 0, Day 3, Day 6).",Recruiting,Beijing 302 Military Hospital of China,Beijing,,100039,China,1
NCT04251871,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-28,NA,NA,2020-01-30,2020-01-30,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-01-30,2020-02-05,Actual,"January 22, 2020",Actual,2020-01-22,January 2020,2020-01-31,"January 22, 2021",Anticipated,2021-01-22,"January 22, 2021",Anticipated,2021-01-22,NA,Interventional,NA,,Treatment and Prevention of Traditional Chinese Medicines (TCMs) on 2019-nCoV Infection,"Effects of Traditional Chinese Medicines (TCMs) on Patients With 2019-nCoV Infection: A Perspective, Open-labeled, Randomized, Controlled Trial",Recruiting,NA,N/A,150,Anticipated,Beijing 302 Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:27:26Z,2020-04-01T09:27:26Z,4327458,Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules","Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days.
Traditional Chinese Medicines (TCMs) granules: 20g, p.o, bid, for 14 days.",Recruiting,"The Fifth Medical Center, General Hospital of PLA",Beijing,Beijing,100039,China,1
NCT04251871,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-28,NA,NA,2020-01-30,2020-01-30,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-01-30,2020-02-05,Actual,"January 22, 2020",Actual,2020-01-22,January 2020,2020-01-31,"January 22, 2021",Anticipated,2021-01-22,"January 22, 2021",Anticipated,2021-01-22,NA,Interventional,NA,,Treatment and Prevention of Traditional Chinese Medicines (TCMs) on 2019-nCoV Infection,"Effects of Traditional Chinese Medicines (TCMs) on Patients With 2019-nCoV Infection: A Perspective, Open-labeled, Randomized, Controlled Trial",Recruiting,NA,N/A,150,Anticipated,Beijing 302 Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:27:26Z,2020-04-01T09:27:26Z,4327459,Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir)","Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days.",Recruiting,"The Fifth Medical Center, General Hospital of PLA",Beijing,Beijing,100039,China,1
NCT04252274,"ClinicalTrials.gov processed this data on April 22, 2020",2020-01-29,NA,NA,2020-04-09,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-13,Actual,"January 30, 2020",Actual,2020-01-30,April 2020,2020-04-30,"December 31, 2020",Anticipated,2020-12-31,"August 31, 2020",Anticipated,2020-08-31,NA,Interventional,DC-COVID-19,,Efficacy and Safety of Darunavir and Cobicistat for Treatment of COVID-19,Efficacy and Safety of Darunavir and Cobicistat for Treatment of COVID-19,Recruiting,NA,Phase 3,30,Anticipated,Shanghai Public Health Clinical Center,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-04-23T09:17:50Z,2020-04-23T09:17:50Z,5151579,Drug,Darunavir and Cobicistat,"Subjects take darunavir and cobicistat one tablet per day for 5 days, also take conventional treatments",Recruiting|Recruiting,Shanghai Public Health Clinical Center|Shanghai Public Health Clinical Center,Shanghai|Shanghai,Shanghai|Shanghai,201508|,China|China,2
NCT04252885,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-30,NA,NA,2020-01-31,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-01-31,2020-02-05,Actual,"January 28, 2020",Anticipated,2020-01-28,January 2020,2020-01-31,"July 31, 2020",Anticipated,2020-07-31,"May 30, 2020",Anticipated,2020-05-30,NA,Interventional,ELACOI,,The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection,"A Randomized, Open-label, Controlled Study of the Efficacy of Lopinavir Plus Ritonavir and Arbidol for Treating With Patients With Novel Coronavirus Infection",Recruiting,NA,Phase 4,125,Anticipated,Guangzhou 8th People's Hospital,,3,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-04-01T09:27:18Z,2020-04-01T09:27:18Z,4327352,Drug,Lopinavir and Ritonavir Tablets,As indicated in arm/group descriptions,Recruiting,Guangzhou Eighth People's Hospital,Guangzhou,Guangdong,510060,China,1
NCT04252885,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-30,NA,NA,2020-01-31,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-01-31,2020-02-05,Actual,"January 28, 2020",Anticipated,2020-01-28,January 2020,2020-01-31,"July 31, 2020",Anticipated,2020-07-31,"May 30, 2020",Anticipated,2020-05-30,NA,Interventional,ELACOI,,The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection,"A Randomized, Open-label, Controlled Study of the Efficacy of Lopinavir Plus Ritonavir and Arbidol for Treating With Patients With Novel Coronavirus Infection",Recruiting,NA,Phase 4,125,Anticipated,Guangzhou 8th People's Hospital,,3,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-04-01T09:27:18Z,2020-04-01T09:27:18Z,4327353,Drug,Arbidol,As indicated in arm/group descriptions,Recruiting,Guangzhou Eighth People's Hospital,Guangzhou,Guangdong,510060,China,1
NCT04251767,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-30,NA,NA,2020-03-13,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-13,2020-03-17,Actual,"February 5, 2020",Anticipated,2020-02-05,March 2020,2020-03-31,"April 30, 2020",Anticipated,2020-04-30,"April 30, 2020",Anticipated,2020-04-30,NA,Interventional,NA,,Washed Microbiota Transplantation for Patients With 2019-nCoV Infection,"Washed Microbiota Transplantation for Patients With 2019-nCoV Infection: a Randomized, Double-blind, Placebo-controlled Study",Withdrawn,NA,N/A,0,Actual,The Second Hospital of Nanjing Medical University,,2,NA,Follow new disciplines on disease control from government,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2020-04-01T09:27:26Z,2020-04-01T09:27:26Z,4327474,Other,washed microbiota transplantation,"Washed microbiota suspension (5u) delivered through nasogastric tube, nasojejunal tube or oral.
Dose and frequency: 5u, once.",,"Medical Center for Digestive Diseases, The Second Affiliated Hospital of Nanjing Medical University",Nanjing,Jiangsu,210011,China,1
NCT04251767,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-30,NA,NA,2020-03-13,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-13,2020-03-17,Actual,"February 5, 2020",Anticipated,2020-02-05,March 2020,2020-03-31,"April 30, 2020",Anticipated,2020-04-30,"April 30, 2020",Anticipated,2020-04-30,NA,Interventional,NA,,Washed Microbiota Transplantation for Patients With 2019-nCoV Infection,"Washed Microbiota Transplantation for Patients With 2019-nCoV Infection: a Randomized, Double-blind, Placebo-controlled Study",Withdrawn,NA,N/A,0,Actual,The Second Hospital of Nanjing Medical University,,2,NA,Follow new disciplines on disease control from government,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2020-04-01T09:27:26Z,2020-04-01T09:27:26Z,4327475,Other,placebo,"Placebo (edible suspension of the same color as the washed microbiota suspensionï¼Œ5u) administered via nasogastric tube, nasojejunal tube or oral, combining with standard therapy.
Dose and frequency: 5u, once.",,"Medical Center for Digestive Diseases, The Second Affiliated Hospital of Nanjing Medical University",Nanjing,Jiangsu,210011,China,1
