nct_id,intervention_score
NCT05043376,11.188
NCT05014373,11.188
NCT05008003,11.188
NCT04990830,11.188
NCT04978051,11.188
NCT04954040,11.188
NCT04922827,11.188
NCT04890509,11.188
NCT04858633,11.188
NCT04853134,11.188
NCT04844710,11.188
NCT04834908,11.188
NCT04803370,11.188
NCT04797871,11.188
NCT04797936,11.188
NCT04796402,11.188
NCT04794803,11.188
NCT04790240,11.188
NCT04784897,11.188
NCT04780425,11.188
NCT04762628,11.188
NCT04745351,11.188
NCT04733833,11.188
NCT04724629,11.188
NCT04723550,11.188
NCT04710199,11.188
NCT04701502,11.188
NCT04682041,11.188
NCT04681430,11.188
NCT04663737,11.188
NCT04661930,11.188
NCT04653831,11.188
NCT04646044,11.188
NCT04644172,11.188
NCT04643678,11.188
NCT04640194,11.188
NCT04606784,11.188
NCT04596839,11.188
NCT04591600,11.188
NCT04590586,11.188
NCT04587414,11.188
NCT04581954,11.188
NCT04575064,11.188
NCT04568876,11.188
NCT04558476,11.188
NCT04547140,11.188
NCT04547283,11.188
NCT04547127,11.188
NCT04542694,11.188
NCT04535700,11.188
NCT04532931,11.188
NCT04530448,11.188
NCT04524663,11.188
NCT04523831,11.188
NCT04517396,11.188
NCT04512027,11.188
NCT04508023,11.188
NCT04501783,11.188
NCT04495101,11.188
NCT04494867,11.188
NCT04492891,11.188
NCT04492358,11.188
NCT04480138,11.188
NCT04480593,11.188
NCT04480424,11.188
NCT04479358,11.188
NCT04473170,11.188
NCT04473053,11.188
NCT04470544,11.188
NCT04465513,11.188
NCT04464395,11.188
NCT04463602,11.188
NCT04463420,11.188
NCT04460183,11.188
NCT04459676,11.188
NCT04459286,11.188
NCT04458363,11.188
NCT04456452,11.188
NCT04449380,11.188
NCT04446429,11.188
NCT04445935,11.188
NCT04441996,11.188
NCT04441385,11.188
NCT04440007,11.188
NCT04439071,11.188
NCT04438694,11.188
NCT04434248,11.188
NCT04431466,11.188
NCT04432324,11.188
NCT04429854,11.188
NCT04425915,11.188
NCT04425252,11.188
NCT04420247,11.188
NCT04416048,11.188
NCT04412291,11.188
NCT04411680,11.188
NCT04410328,11.188
NCT04409522,11.188
NCT04408456,11.188
NCT04405102,11.188
NCT04402203,11.188
NCT04395430,11.188
NCT04395144,11.188
NCT04393246,11.188
NCT04392531,11.188
NCT04392141,11.188
NCT04391712,11.188
NCT04390464,11.188
NCT04387760,11.188
NCT04385043,11.188
NCT04382547,11.188
NCT04382391,11.188
NCT04382053,11.188
NCT04380961,11.188
NCT04380935,11.188
NCT04380376,11.188
NCT04378712,11.188
NCT04376684,11.188
NCT04376034,11.188
NCT04374539,11.188
NCT04374487,11.188
NCT04374032,11.188
NCT04373733,11.188
NCT04368299,11.188
NCT04366947,11.188
NCT04366245,11.188
NCT04366232,11.188
NCT04365257,11.188
NCT04363437,11.188
NCT04362332,11.188
NCT04362059,11.188
NCT04359797,11.188
NCT04359095,11.188
NCT04358549,11.188
NCT04357808,11.188
NCT04356534,11.188
NCT04355364,11.188
NCT04351724,11.188
NCT04351542,11.188
NCT04351152,11.188
NCT04350684,11.188
NCT04350320,11.188
NCT04349241,11.188
NCT04348695,11.188
NCT04347941,11.188
NCT04346693,11.188
NCT04346628,11.188
NCT04345523,11.188
NCT04345419,11.188
NCT04344587,11.188
NCT04342728,11.188
NCT04335552,11.188
NCT04333914,11.188
NCT04333628,11.188
NCT04332835,11.188
NCT04331054,11.188
NCT04330638,11.188
NCT04328480,11.188
NCT04326790,11.188
NCT04325633,11.188
NCT04323345,11.188
NCT04322773,11.188
NCT04322344,11.188
NCT04321616,11.188
NCT04315948,11.188
NCT04304053,11.188
NCT04292899,11.188
NCT04292730,11.188
NCT04260594,11.188
NCT04244591,11.188
NCT05007236,11.188
NCT04871646,11.188
NCT04734873,11.188
NCT04654481,11.188
NCT04516811,11.188
NCT04472611,11.188
NCT04401475,11.188
NCT04381884,11.188
NCT04370262,11.188
NCT04366089,11.188
NCT04355936,11.188
NCT04333420,11.188
NCT04311697,11.188
NCT05024006,11.121
NCT04981379,11.121
NCT04779047,11.121
NCT04746365,11.121
NCT04668469,11.121
NCT04652648,11.121
NCT04605588,11.121
NCT04522466,11.121
NCT04491994,11.121
NCT04477083,11.121
NCT04466540,11.121
NCT04466280,11.121
NCT04458948,11.121
NCT04446104,11.121
NCT04435808,11.121
NCT04429867,11.121
NCT04421664,11.121
NCT04411433,11.121
NCT04410562,11.121
NCT04403100,11.121
NCT04395768,11.121
NCT04394442,11.121
NCT04394182,11.121
NCT04391127,11.121
NCT04384458,11.121
NCT04384380,11.121
NCT04381988,11.121
NCT04381936,11.121
NCT04380818,11.121
NCT04376814,11.121
NCT04374942,11.121
NCT04373044,11.121
NCT04372017,11.121
NCT04370782,11.121
