intervention_type,Study_Count
Other,577
"NA",509
Drug,417
Drug|placebo,294
Diagnostic Test,260
Biological,158
Behavioral,136
Device,129
Biological|placebo,92
Drug|Other,71
Procedure,64
Biological|Other,29
Biological|Drug,23
Dietary Supplement,19
Diagnostic Test|Other,13
Combination Product,12
Device|Other,12
Dietary Supplement|placebo,12
Radiation,12
Behavioral|Other,11
Dietary Supplement|Drug,10
Drug|Other|placebo,8
Genetic,6
Other|Procedure,6
Biological|Drug|placebo,5
Other|placebo,5
Combination Product|Drug,4
Behavioral|Diagnostic Test,3
Behavioral|placebo,3
Biological|Diagnostic Test,3
Device|Drug|Procedure,3
Device|placebo,3
Dietary Supplement|Drug|placebo,3
Dietary Supplement|Other,3
Behavioral|Biological,2
Biological|Device|Other,2
Biological|Other|placebo,2
Combination Product|placebo,2
Device|Drug,2
Device|Drug|Radiation,2
Device|Procedure,2
Drug|placebo|Procedure,2
Drug|Procedure,2
Behavioral|Biological|Device,1
Behavioral|Biological|Other,1
Behavioral|Combination Product,1
Behavioral|Device,1
Behavioral|Drug,1
Behavioral|Procedure,1
Biological|Combination Product|Drug|placebo,1
Biological|Device|Diagnostic Test,1
Biological|Drug|Procedure,1
Biological|Genetic|Other,1
Combination Product|Dietary Supplement,1
Device|Diagnostic Test,1
Diagnostic Test|Dietary Supplement,1
Diagnostic Test|Drug|Other|placebo,1
Diagnostic Test|Genetic,1
Diagnostic Test|Procedure,1
Dietary Supplement|Drug|Other,1
Drug|Other|Procedure,1
Drug|placebo|Radiation,1
Genetic|Other,1
Other|Radiation,1
placebo|Radiation,1
