intervention_type,Study_Count
"NA",117
Other,62
Diagnostic Test,32
Device,12
Other|Other,8
Behavioral,6
Drug,6
Procedure,5
Biological,3
Diagnostic Test|Diagnostic Test,2
Behavioral|Other,1
Behavioral|Procedure|Procedure,1
Biological|Biological,1
Biological|Biological|Drug,1
Combination Product,1
Diagnostic Test|Diagnostic Test|Diagnostic Test|Diagnostic Test,1
Diagnostic Test|Other,1
Dietary Supplement,1
Drug|Drug,1
Drug|Drug|Other|Other|Other,1
Drug|Other,1
Genetic,1
Other|Other|Other,1
Other|Other|Other|Other,1
