intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
NA,45,102,22,339,1,509
placebo,49,32,13,318,10,422
standard care,11,23,8,101,5,148
hydroxychloroquine,19,20,7,57,14,117
convalescent plasma,10,16,4,73,1,104
questionnaire,6,27,4,62,0,99
blood sample,1,3,0,44,0,48
no intervention,6,5,1,34,0,46
azithromycin,7,4,2,24,3,40
saline,4,0,2,29,0,35
tocilizumab,6,5,0,19,3,33
ivermectin,1,11,1,19,0,32
mesenchymal stem cells,4,4,2,21,0,31
serology test,3,1,3,23,0,30
pcr,4,6,2,17,0,29
remdesivir,5,5,0,16,1,27
ritonavir,1,6,2,17,1,27
favipiravir,4,3,1,18,0,26
prone positioning,2,3,2,18,0,25
lopinavir,1,4,2,16,1,24
chloroquine,1,3,1,14,2,21
lopinavir/ritonavir,1,4,2,13,1,21
control,2,2,0,12,1,17
enoxaparin,0,0,0,16,1,17
heparin,0,2,1,14,0,17
methylprednisolone,2,6,0,9,0,17
oxygen,2,1,0,14,0,17
biological samples,1,1,1,13,0,16
colchicine,0,0,0,15,0,15
exercise,0,5,1,9,0,15
plasma,0,4,1,10,0,15
saliva,1,2,1,11,0,15
interferon,1,4,1,8,0,14
nitazoxanide,0,3,0,11,0,14
survey,2,5,0,7,0,14
vitamin d,2,1,1,10,0,14
dexamethasone,0,2,0,10,1,13
online survey,1,2,2,8,0,13
vitamin c,3,2,1,6,1,13
observational,2,1,0,9,0,12
telehealth,1,3,1,7,0,12
hydroxychloroquine / azithromycin,1,5,2,2,1,11
anakinra,0,0,0,9,1,10
igm/igg rapid test,0,2,2,6,0,10
radiotherapy,1,1,0,8,0,10
ruxolitinib,2,1,0,6,1,10
baricitinib,1,1,0,7,0,9
bcg,3,0,0,6,0,9
ace inhibitor,1,2,1,4,0,8
covid-19,1,1,0,6,0,8
ct-scan,1,2,0,5,0,8
losartan,1,2,0,5,0,8
nitric oxide,1,0,0,7,0,8
zinc,0,1,1,6,0,8
blood test,1,1,0,5,0,7
data collection,0,1,0,6,0,7
lung ultrasound,1,0,1,5,0,7
nasopharyngeal swab,0,1,0,6,0,7
observation,0,2,0,5,0,7
povidone/iodine,0,3,0,4,0,7
rapid test,2,3,1,1,0,7
serum test,0,1,0,6,0,7
best available therapy,0,2,0,4,0,6
camostat mesilate,0,0,0,6,0,6
cholecalciferol,0,0,0,6,0,6
doxycycline,0,2,1,3,0,6
exposure,1,2,0,3,0,6
igg,1,1,1,3,0,6
igg antibody test,0,2,2,2,0,6
interview,1,1,0,4,0,6
ly3819253,1,1,0,4,0,6
mindfulness,0,1,0,5,0,6
oseltamivir,1,0,0,5,0,6
rivaroxaban,0,0,0,6,0,6
sarilumab,2,2,0,1,1,6
ad26.cov2.s,0,0,0,5,0,5
adenovirus type 5 vector,3,0,0,2,0,5
arb,1,0,0,4,0,5
aspirin,0,0,1,4,0,5
best supportive care,0,1,0,4,0,5
chloroquine/hydroxychloroquine,0,0,1,4,0,5
clazakizumab,1,0,0,4,0,5
igm,0,0,1,4,0,5
inactivated sars-cov-2 vaccine,2,0,1,2,0,5
interleukin,1,0,0,4,0,5
nk cells,0,0,0,5,0,5
pulmozyme,0,0,0,5,0,5
quality-of-life assessment,0,0,0,5,0,5
sofosbuvir,0,2,0,3,0,5
telmisartan,0,0,0,5,0,5
therapeutic plasma exchange (tpe),1,2,1,1,0,5
ultrasound,0,1,0,4,0,5
anticoagulation,0,0,0,3,1,4
arbidol,1,1,0,2,0,4
biospeciman collection,0,0,0,4,0,4
biospecimen collection,0,0,0,4,0,4
bnt162b2,2,0,0,2,0,4
bromhexine hydrochloride,1,1,1,1,0,4
budesonide,1,0,0,3,0,4
gam-covid-vac,1,1,0,2,0,4
igm antibodytest,0,2,0,2,0,4
immunoglobulin,0,1,0,3,0,4
lenzilumab,1,0,0,3,0,4
