intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
placebo,128,164,13,326,54,685
standard care,26,70,3,77,12,188
hydroxychloroquine,16,33,5,37,30,121
convalescent plasma,13,42,2,46,6,109
saline,12,14,1,24,0,51
ivermectin,1,20,0,22,1,44
remdesivir,5,15,0,22,2,44
azithromycin,7,9,2,17,6,41
tocilizumab,7,12,0,16,5,40
mesenchymal stem cells,8,10,0,15,0,33
ritonavir,2,7,2,20,1,32
favipiravir,7,10,0,14,0,31
blood sample,4,3,0,21,1,29
dexamethasone,3,3,0,17,4,27
lopinavir,2,5,2,15,1,25
vitamin d,4,5,1,12,3,25
exercise,1,9,1,13,0,24
colchicine,1,6,0,13,2,22
oxygen,6,2,0,11,3,22
control,2,5,0,10,4,21
enoxaparin,0,6,0,13,2,21
lopinavir/ritonavir,2,5,2,11,1,21
prone positioning,2,7,0,12,0,21
methylprednisolone,0,9,0,11,0,20
nitazoxanide,2,7,0,9,2,20
heparin,1,6,1,11,0,19
chloroquine,1,7,0,4,6,18
interferon,1,5,1,11,0,18
vitamin c,1,5,0,11,1,18
questionnaire,1,2,1,13,0,17
plasma,3,7,0,4,2,16
camostat mesilate,1,2,0,10,2,15
serology test,2,2,1,10,0,15
anakinra,3,3,0,4,4,14
bcg,6,1,0,6,0,13
bnt162b2,3,1,0,9,0,13
telehealth,2,4,0,7,0,13
baricitinib,2,3,0,6,1,12
zinc,0,3,1,8,0,12
ad26.cov2.s,6,0,0,5,0,11
hydroxychloroquine / azithromycin,3,4,2,1,1,11
radiotherapy,1,2,0,7,1,11
ruxolitinib,0,5,0,2,4,11
best available therapy,0,5,0,5,0,10
mrna-1273,6,0,0,4,0,10
rivaroxaban,1,2,0,6,1,10
saliva,3,3,0,3,0,9
biological samples,1,3,0,4,0,8
inactivated sars-cov-2 vaccine,4,0,2,2,0,8
losartan,0,5,0,3,0,8
nitric oxide,7,1,0,0,0,8
sarilumab,2,4,0,1,1,8
vaccine,0,0,0,8,0,8
cholecalciferol,0,2,0,5,0,7
gam-covid-vac,4,2,0,1,0,7
mindfulness,0,2,1,4,0,7
rapid test,1,2,1,3,0,7
therapeutic plasma exchange (tpe),0,5,0,2,0,7
adenovirus type 5 vector,2,1,0,3,0,6
apixaban,1,1,0,4,0,6
