intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
NA,43,109,29,299,1,481
questionnaire,6,29,3,53,1,92
no intervention,6,6,2,27,0,41
blood sample,1,2,0,23,0,26
pcr,4,7,2,11,0,24
online survey,1,3,2,10,0,16
serology test,1,2,2,10,0,15
observational,2,1,0,8,0,11
saliva,0,1,1,8,0,10
survey,2,6,0,2,0,10
biological samples,1,0,1,6,0,8
covid-19,1,1,0,6,0,8
lung ultrasound,1,0,1,6,0,8
exposure,1,2,0,4,0,7
standard care,0,2,0,5,0,7
ct-scan,1,1,0,4,0,6
igm/igg rapid test,0,2,2,2,0,6
observation,0,2,0,4,0,6
prone positioning,2,3,0,1,0,6
ace inhibitor,1,2,0,2,0,5
data collection,0,0,0,5,0,5
hydroxychloroquine,2,3,0,0,0,5
igg antibody test,0,2,2,1,0,5
interview,1,1,0,3,0,5
quality-of-life assessment,0,0,0,5,0,5
serum test,0,1,0,4,0,5
biospeciman collection,0,0,0,4,0,4
biospecimen collection,0,0,0,4,0,4
convalescent plasma,1,1,0,2,0,4
covid-19 pandemic,1,1,0,2,0,4
exercise,0,0,1,3,0,4
ivermectin,0,4,0,0,0,4
ultrasound,0,1,0,3,0,4
arb,1,0,0,2,0,3
clinical assessment,0,2,0,1,0,3
data record,0,0,0,3,0,3
ecg,0,0,0,3,0,3
echocardiography,0,2,0,1,0,3
flow cytometry,0,2,0,1,0,3
igg,0,1,1,1,0,3
igm,0,0,1,2,0,3
interleukin,1,0,0,2,0,3
nasopharyngeal swab,0,0,0,3,0,3
non-interventional,0,1,0,2,0,3
other,0,1,0,2,0,3
rapid test,1,2,0,0,0,3
taste,0,0,0,3,0,3
acute kidney injury,0,1,0,1,0,2
appendectomy,0,2,0,0,0,2
assessment of work-related stress,0,1,0,1,0,2
azithromycin,1,1,0,0,0,2
biological data,2,0,0,0,0,2
blood test,1,0,0,1,0,2
cardiac,0,1,0,1,0,2
cardiac/electrodermal recordings,0,1,0,1,0,2
chest ct,0,2,0,0,0,2
clinical data,2,0,0,0,0,2
clinical features,0,1,0,1,0,2
corticosteroids,1,0,0,1,0,2
dalteparin,0,2,0,0,0,2
diagnostic laboratory biomarker analysis,0,0,0,2,0,2
diagnostic test,0,1,0,1,0,2
dialysis,1,0,0,1,0,2
electrodermal recordings,0,1,0,1,0,2
electronic health record review,0,0,0,2,0,2
elisa,0,2,0,0,0,2
emotional stimulation,0,1,0,1,0,2
file scanning,0,1,0,1,0,2
igm antibodytest,0,2,0,0,0,2
ion mobility spectrometry (ims),0,0,0,2,0,2
mask,0,1,0,1,0,2
methylprednisolone,0,1,0,1,0,2
mri,0,0,0,2,0,2
nasal,0,0,0,2,0,2
oxygen,0,0,0,2,0,2
practice details,0,2,0,0,0,2
pulmonary rehabilitation,0,1,0,1,0,2
quality of life,0,0,1,1,0,2
remdesivir,0,0,0,2,0,2
sample collection,0,0,0,2,0,2
sampling,0,0,0,2,0,2
sars-cov-2,0,1,0,1,0,2
semi-directive interview,0,0,0,2,0,2
spirometry,0,0,0,2,0,2
telehealth,0,1,1,0,0,2
throat swab,0,1,0,1,0,2
tinzaparin,0,2,0,0,0,2
tinzaparin/dalteparin,0,2,0,0,0,2
tocilizumab,0,0,0,2,0,2
ultrasonography,0,1,0,1,0,2
vitamin d,0,1,0,1,0,2
whole exome sequencing,0,0,0,2,0,2
": igg, ig m serologies in the amniotoc fluid, the blood cord",0,0,0,1,0,1
[68ga]ga-dota-(rgd)2 pet,0,0,0,1,0,1
[68ga]ga-dota-(rgd)2 pet/ct,0,0,0,1,0,1
[timp-2]*[igfbp-7],0,1,0,0,0,1
10 to 14 days later,0,0,0,1,0,1
2 post-mortem transcutaneous lung biopsies (1 anterior ; 1 posterior) using anatomical landmarks,0,0,0,1,0,1
25 post icu-patients,0,0,0,1,0,1
25 post non-icu patients,0,0,0,1,0,1
40-steps-test,0,0,0,1,0,1
40ml blood sample,0,0,1,0,0,1
6 weeks after delivery,0,0,0,1,0,1
"ä±t will be compared pain, sleep, fatigue, physical activity level",0,0,1,0,0,1
"ä±t will be compared pain, sleep, fatigue, physical activity level/quality of life/questioning exercise habits before/after the covid-19 outbreak in patients with behã§et/fmf.",0,0,1,0,0,1
abpm,0,0,0,1,0,1
ace inhibitor/arb,1,0,0,0,0,1
ace inhibitors/calcium channel blockers,0,1,0,0,0,1
ace/arb,0,0,0,1,0,1
active covid-19 disease,0,0,0,1,0,1
activity,0,1,0,0,0,1
adam sensor,0,0,0,1,0,1
adaptation at work score (psas),0,1,0,0,0,1
"adaptive immune response, complement activation,",0,0,0,1,0,1
admission to icu for covid-19,0,1,0,0,0,1
aerosol box,0,1,0,0,0,1
after covid-19 pandemic,0,0,0,1,0,1
after the covid-19 outbreak in patients with behã§et,0,0,1,0,0,1
ai model,1,0,0,0,0,1
airwave oscillometry,0,0,0,1,0,1
airway pressure release ventilation,0,1,0,0,0,1
alexa amazon,0,0,0,1,0,1
all treatment about covid-2019,0,0,0,1,0,1
alternate nostril breathing,0,0,0,1,0,1
anakinra,0,0,0,1,0,1
"analysis of cytokine response, innate",0,0,0,1,0,1
"analysis of cytokine response, innate/adaptive immune response, complement activation,/serum neurofilaments as a marker of neurological damage.",0,0,0,1,0,1
anesthesia management,0,1,0,0,0,1
angiotensin-converting enzyme inhibitors (ace-i)/angiotensin ii receptor blockers (arb),0,1,0,0,0,1
angiotensin ii,0,0,0,1,0,1
anne one,0,0,1,0,0,1
anti-covid test,1,0,0,0,0,1
anti-sars-cov2 serological controls,0,0,0,1,0,1
anti-sars-cov2 serological controls/serum neutralization,0,0,0,1,0,1
antibiotic,1,0,0,0,0,1
antibody test,0,0,0,1,0,1
"antibody tests,",1,0,0,0,0,1
antidiabetic treatment,0,1,0,0,0,1
antirheumatic drugs,0,0,1,0,0,1
antithrombin iii,0,0,0,1,0,1
antithrombotic therapy (anticoagulant and,0,1,0,0,0,1
antithrombotic therapy (anticoagulant and/or antiplatelet) before admission for covid19,0,1,0,0,0,1
anxiety questionnaire,0,0,0,1,0,1
anxiety),0,0,0,1,0,1
any drug used to treat covid-19,0,0,0,1,0,1
apple watch,0,0,0,1,0,1
arb blocker,0,1,0,0,0,1
arterial blood gas,0,0,0,1,0,1
assessing impact of covid19,0,0,1,0,0,1
assessment of postnatal depression using the the edinburgh questionnaire between 4,0,0,0,1,0,1
assessment of postnatal depression using the the edinburgh questionnaire between 4/6 weeks after delivery,0,0,0,1,0,1
assessment of the sequelae after hospitalization for sars-cov-2,0,0,1,0,0,1
assessment of ventilator-associated pneumonia criteria,0,0,0,1,0,1
asynchronies detection,0,1,0,0,0,1
attendance by ambulance crew,0,0,0,1,0,1
audio-visual triage system (avt),0,1,0,0,0,1
auscul-x,0,0,0,1,0,1
autopsy,0,1,0,0,0,1
axillary sweat sample,0,0,0,1,0,1
ayurvedic kadha,0,1,0,0,0,1
bariatric procedures,0,0,0,1,0,1
baricitinib,0,0,0,1,0,1
baricitinib/anakinra,0,0,0,1,0,1
beck depression inventory (bdi),0,1,0,0,0,1
behavior,1,0,0,0,0,1
behavioral,0,0,1,0,0,1
behavioral/cognitive assessment,0,0,1,0,0,1
beta interferon,0,0,0,1,0,1
biochemical analysis,0,1,0,0,0,1
biological assays in particular on the lipid metabolism,0,1,0,0,0,1
biological sample/clinical data collection,0,0,0,1,0,1
biomarkers expression,0,0,0,1,0,1
biomarkers of inflammation,0,0,0,1,0,1
