intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
NA,15,34,3,94,0,146
no intervention,1,6,0,6,0,13
questionnaire,1,2,0,4,0,7
serology test,0,2,0,4,0,6
pcr,0,2,0,2,0,4
blood sample,0,1,0,2,0,3
data collection,0,0,1,2,0,3
4c mortality score,0,0,0,2,0,2
chest ct,1,0,0,1,0,2
covid-19,0,0,0,2,0,2
evaluation,0,2,0,0,0,2
hydroxychloroquine,0,1,1,0,0,2
icu treatment,0,0,0,2,0,2
igm,0,0,0,2,0,2
igm/igg rapid test,0,0,0,2,0,2
ivermectin,0,1,1,0,0,2
laboratory test,0,0,0,2,0,2
mri,0,0,0,2,0,2
nä°cas,0,0,0,2,0,2
not applicable (observational study),0,1,0,1,0,2
observational,0,1,0,1,0,2
pregnant women with laboratory-confirmed 2019-n-cov,0,0,0,2,0,2
recop unit patient,0,2,0,0,0,2
seraphâ®-100 microbindâ® affinity blood filter,0,0,2,0,0,2
spirometry,0,1,0,1,0,2
standard care,0,2,0,0,0,2
survey,0,1,0,1,0,2
telehealth,0,2,0,0,0,2
vã§ac,0,2,0,0,0,2
vaccine,0,0,0,2,0,2
vitamin d,0,1,1,0,0,2
01,0,0,0,1,0,1
1-mna,0,1,0,0,0,1
10 ml (20 mg,0,1,0,0,0,1
2010,0,0,0,1,0,1
abdominal ultrasound,0,1,0,0,0,1
ace inhibitor,0,1,0,0,0,1
airway management during sedation,0,1,0,0,0,1
airway management during sedation/general anesthesia,0,1,0,0,0,1
amended lls covid-19 registry,0,0,0,1,0,1
angiogenic biomarkers,1,0,0,0,0,1
antibody test,0,0,0,1,0,1
antihypertensives,1,0,0,0,0,1
ards,0,1,0,0,0,1
ards/covid19 treatments,0,1,0,0,0,1
art,0,0,0,1,0,1
assessment of cardiovascular diseases,1,0,0,0,0,1
assessment of cardiovascular diseases/cardiovascular risk factors,1,0,0,0,0,1
assessment tests,0,0,0,1,0,1
assessment),0,1,0,0,0,1
asthma control test,0,0,0,1,0,1
at risk for covid-19 infection,1,0,0,0,0,1
azithromycin,0,1,0,0,0,1
baseline spirometry,0,0,0,1,0,1
biological samples,0,0,0,1,0,1
"biomarker (tropt, myoglobin, ck, ck-mb, ldh, d-dimer, crp, pct)",0,0,0,1,0,1
blood d-dimer assay,0,1,0,0,0,1
blood sampling (4 per year),0,0,0,1,0,1
bnt162b2,0,0,0,1,0,1
brief psychiatric rating scale,0,0,0,0,1,1
building of the classification model,0,0,0,1,0,1
by computer consultation. quantitative,0,0,0,1,0,1
cam-icu 7 score,0,0,0,1,0,1
capillary blood sampling,0,1,0,0,0,1
cardiopulmonary resuscitation,0,1,0,0,0,1
cardiovascular magnetic resonance (cmr) imaging,0,0,0,1,0,1
cardiovascular magnetic resonance imaging,1,0,0,0,0,1
cardiovascular risk factors,1,0,0,0,0,1
care modalities. quantitative,0,0,0,1,0,1
care modalities. quantitative/qualitative approaches to analysis,0,0,0,1,0,1
cerebral compliance,0,1,0,0,0,1
cerebral compliance/hemodynamics monitoring,0,1,0,0,0,1
chest ct scan / baseline spirometry,0,0,0,1,0,1
chest cta,1,0,0,0,0,1
chiropractic care,0,1,0,0,0,1
chloroquine,0,0,1,0,0,1
chloroquine/hydroxychloroquine,0,0,1,0,0,1
clinical data,0,0,0,1,0,1
clinical diagnosis of covid-19 by a health care professional,0,1,0,0,0,1
cohort study,0,0,0,1,0,1
comorbidities,0,0,0,1,0,1
comparative observational cohort study,0,0,0,1,0,1
completion of covid19 vaccine at least 4 weeks ago,0,0,0,1,0,1
complex diagnostic panel,0,0,1,0,0,1
computed tomography,0,1,0,0,0,1
connor-davidson resilience scale 10 items (cd-risc 10),0,0,0,0,1,1
copan swabbing,0,0,0,1,0,1
copan swabbing/blood sample collection,0,0,0,1,0,1
cordio app,0,0,0,1,0,1
coromec registry with ecl-19,0,0,0,1,0,1
"coronavirus anxiety scale , covid-19 phobia scale",0,1,0,0,0,1
coronavirus disease 2019,0,0,0,1,0,1
covid-19 diagnostic,0,0,0,1,0,1
covid-19 diagnostic/assessment tests,0,0,0,1,0,1
"covid-19 pcr , igm",1,0,0,0,0,1
covid-19 positive via testing,0,0,0,1,0,1
covid-19 testing,0,0,0,1,0,1
covid19 treatments,0,1,0,0,0,1
ct-scan,0,0,0,1,0,1
cytosorb,0,0,0,1,0,1
data registry,0,0,0,1,0,1
"depression, anxiety",0,0,0,0,1,1
"depression, anxiety/stress scale",0,0,0,0,1,1
detection of oral lesions,0,0,1,0,0,1
diabetes type 2,1,0,0,0,0,1
diagnosed with covid-19,1,0,0,0,0,1
diagnostic criteria for temporomandibular disorders (dc,0,1,0,0,0,1
diagnostic criteria for temporomandibular disorders (dc/tmd) scale,0,1,0,0,0,1
doxycycline,0,1,0,0,0,1
duplex sonography,0,0,0,1,0,1
"during the pandemic, the patient's job status, physical activity conditions, pain status",0,1,0,0,0,1
ecg,0,0,0,1,0,1
ecg-holter,0,1,0,0,0,1
echocardiography,0,0,0,1,0,1
