Intervention_type,intervention,Study_count
placebo,placebo,331
Drug,hydroxychloroquine,113
Other,questionnaire,80
Biological,convalescent plasma,77
Other,standard care,66
Drug,standard care,47
Drug,azithromycin,35
Other,no intervention,34
Drug,tocilizumab,33
Drug,ritonavir,28
Drug,ivermectin,27
Drug,lopinavir,25
Biological,mesenchymal stem cells,23
Diagnostic Test,pcr,23
Drug,favipiravir,23
Drug,lopinavir/ritonavir,23
Drug,remdesivir,21
Diagnostic Test,serology test,18
Drug,chloroquine,18
Drug,methylprednisolone,17
Drug,enoxaparin,16
Drug,saline,15
Biological,blood sample,14
Drug,colchicine,14
Drug,heparin,14
Drug,interferon,12
Drug,nitazoxanide,12
Other,blood sample,12
Other,exercise,12
Drug,convalescent plasma,11
Drug,dexamethasone,11
Other,survey,11
Behavioral,questionnaire,10
Other,online survey,10
Other,prone positioning,10
Biological,plasma,9
Device,oxygen,9
Drug,anakinra,9
Drug,hydroxychloroquine / azithromycin,9
Drug,ruxolitinib,9
Other,convalescent plasma,9
Other,observational,9
Other,saline,9
Procedure,prone positioning,9
Diagnostic Test,blood sample,8
Diagnostic Test,igm/igg rapid test,8
Dietary Supplement,vitamin d,8
Drug,baricitinib,8
Drug,nitric oxide,8
Biological,bcg,7
Drug,losartan,7
Drug,povidone/iodine,7
Drug,vitamin c,7
Other,covid-19,7
Radiation,radiotherapy,7
Diagnostic Test,igg antibody test,6
Diagnostic Test,rapid test,6
Diagnostic Test,saliva,6
Dietary Supplement,vitamin c,6
Drug,oseltamivir,6
Drug,rivaroxaban,6
Biological,inactivated sars-cov-2 vaccine,5
Biological,saliva,5
Biological,serology test,5
Combination Product,hydroxychloroquine,5
Diagnostic Test,igg,5
Diagnostic Test,lung ultrasound,5
Drug,ace inhibitor,5
Drug,cholecalciferol,5
Drug,clazakizumab,5
Drug,control,5
Drug,doxycycline,5
Drug,ly3819253,5
Drug,mesenchymal stem cells,5
Drug,sarilumab,5
Drug,sofosbuvir,5
Drug,telmisartan,5
Drug,zinc,5
Other,best available therapy,5
Other,biological samples,5
Other,exposure,5
Other,observation,5
Other,quality-of-life assessment,5
Other,telehealth,5
Procedure,blood sample,5
Biological,nk cells,4
Biological,saline,4
Combination Product,azithromycin,4
Diagnostic Test,igm,4
Diagnostic Test,nasopharyngeal swab,4
Diagnostic Test,questionnaire,4
Drug,anticoagulation,4
Drug,arbidol,4
Drug,bromhexine hydrochloride,4
Drug,budesonide,4
Drug,camostat mesilate,4
Drug,chloroquine/hydroxychloroquine,4
Drug,interleukin,4
Drug,mavrilimumab,4
Drug,peginterferon,4
Drug,plasma,4
Drug,regn10933,4
Drug,regn10987,4
Other,data collection,4
Other,interview,4
Other,serology test,4
