Intervention_type,intervention,Study_count
Drug,hydroxychloroquine,120
Drug,placebo,105
Other,standard care,39
Drug,azithromycin,38
Other,placebo,32
Drug,ritonavir,27
Drug,lopinavir,24
Biological,convalescent plasma,23
Drug,chloroquine,22
Drug,lopinavir/ritonavir,19
Drug,tocilizumab,18
Biological,mesenchymal stem cells,16
Drug,standard care,16
Drug,favipiravir,11
Drug,hydroxychloroquine / azithromycin,11
Drug,methylprednisolone,11
Drug,colchicine,9
Drug,interferon,9
Drug,remdesivir,9
Drug,ruxolitinib,9
Drug,saline,8
Drug,sarilumab,8
Other,telehealth,8
Biological,plasma,7
Drug,anakinra,7
Drug,losartan,7
Drug,nitric oxide,7
Drug,arbidol,6
Drug,baricitinib,6
Drug,nitazoxanide,6
Drug,vitamin c,6
Other,convalescent plasma,6
Biological,placebo,5
Dietary Supplement,vitamin c,5
Drug,dexamethasone,5
Drug,enoxaparin,5
Drug,mesenchymal stem cells,5
Dietary Supplement,vitamin d,4
Dietary Supplement,zinc,4
Drug,aspirin,4
Drug,chloroquine/hydroxychloroquine,4
Drug,clazakizumab,4
Drug,peginterferon,4
Drug,telmisartan,4
Other,prone positioning,4
Other,questionnaire,4
Procedure,prone positioning,4
Biological,bcg,3
Biological,nk cells,3
Device,oxygen,3
Drug,bevacizumab,3
Drug,bromhexine hydrochloride,3
Drug,budesonide,3
Drug,camostat mesilate,3
Drug,control,3
Drug,convalescent plasma,3
Drug,ivermectin,3
Drug,nivolumab,3
Drug,oseltamivir,3
Drug,plasma,3
Drug,povidone/iodine,3
Drug,suspension of heat killed (autoclaved) mycobacterium w,3
Other,blood sample,3
Other,control,3
Other,oxygen,3
Other,saline,3
Behavioral,humanistic care,2
Behavioral,psychological,2
Biological,adenovirus type 5 vector,2
Biological,serology,2
Combination Product,azithromycin,2
Combination Product,nitazoxanide,2
Device,cytokine adsorption,2
Diagnostic Test,serology,2
Dietary Supplement,placebo,2
Drug,ace inhibitor,2
Drug,allogeneic,2
Drug,anticoagulation,2
Drug,asc09,2
Drug,aviptadil,2
Drug,bcg,2
Drug,canakinumab,2
Drug,chlorpromazine,2
Drug,clopidogrel,2
Drug,"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)/traditional chinese medicines (tcms) granules",2
Drug,das181,2
Drug,deferoxamine,2
Drug,defibrotide,2
Drug,emtricitabine,2
Drug,emtricitabine/tenofovir disoproxil,2
Drug,gargle,2
Drug,heparin,2
Drug,hydrocortisone,2
Drug,hydroxychloroquine/placebo,2
Drug,imatinib,2
Drug,immunoglobulin,2
Drug,isotretinoin,2
Drug,leflunomide,2
Drug,lenzilumab,2
Drug,levamisole,2
Drug,prednisone,2
Drug,pul-042,2
Drug,pulmozyme,2
Drug,rhace2,2
Drug,rivaroxaban,2
Drug,selinexor,2
Drug,sevoflurane,2
Drug,siltuximab,2
Drug,simvastatin,2
Drug,tenofovir disoproxil,2
Drug,thalidomide,2
Drug,thromboprophylaxis,2
Drug,thymosin,2
Drug,traditional chinese medicine,2
Drug,tranexamic acid,2
Drug,xiyanping,2
Drug,yinhu qingwen,2
Other,ace inhibitor,2
Other,best available therapy,2
Other,blood,2
Other,exercise brochure,2
Other,igm/igg rapid test,2
Procedure,biological samples,2
Procedure,standard care,2
Behavioral,attention bias modification (abm),1
Behavioral,crisis management coaching,1
Behavioral,general health education,1
Behavioral,general practitioner tandem,1
Behavioral,guided online support program,1
Behavioral,health care worker survey,1
Behavioral,intermittent,1
Behavioral,internet-delivered cognitive behavior therapy (icbt) for dysfunctional worry related to the covid-19 pandemic,1
Behavioral,management by a medical student,1
Behavioral,mental well-being,1
Behavioral,mindfulness session(s),1
Behavioral,no instruction regarding positioning,1
Behavioral,ocat,1
Behavioral,online bibliotherapy programme,1
Behavioral,online cognitive behavioral therapy (cbt),1
Behavioral,online mindfulness group,1
Behavioral,personalized health education,1
Behavioral,phone-call screening,1
Behavioral,phone-call screening/management by a medical student/general practitioner tandem,1
Behavioral,prayer,1
Behavioral,prone positioning,1
Behavioral,psychological/physical rehabilitation based humanistic care,1
Behavioral,tele-interventions related to diabetes management,1
Behavioral,tele-interventions related to diabetes management/mental well-being,1
Behavioral,usual care positioning with no instructions,1
Behavioral,video based exercise,1
Behavioral,who recommendations (waiting condition),1
Biological,aapc,1
Biological,allogeneic nk transfer,1
Biological,anakinra,1
Biological,anti-coronavirus antibodies (immunoglobulins)obtained with dfpp from convalescent patients,1
Biological,bactek-r,1
Biological,bactrl-spike,1
Biological,biological samples,1
Biological,biological test,1
Biological,blood sample,1
Biological,blood test,1
Biological,castem,1
Biological,cell therapy protocol 1,1
Biological,cell therapy protocol 2,1
Biological,chadox1,1
Biological,control,1
Biological,emapalumab,1
Biological,human amniotic fluid,1
Biological,inactivated sars-cov-2 vaccine,1
Biological,injection,1
Biological,lactated,1
Biological,lenzilumab,1
Biological,lv-smenp-dc vaccine,1
Biological,lv-smenp-dc vaccine/antigen-specific ctls,1
Biological,menacwy,1
Biological,mrna-1273,1
Biological,multistem,1
Biological,nasopharyngeal swab,1
Biological,nestcellâ®,1
Biological,pembrolizumab,1
Biological,rectal swab,1
Biological,saline,1
Biological,saline containing 1% human serum albuminï¼ˆsolution of mscï¼‰,1
Biological,saliva,1
Biological,sarilumab,1
Biological,serum test,1
Biological,tocilizumab,1
Biological,utooth btc),1
Combination Product,,1
Combination Product,- tocilizumab,1
Combination Product,azithromycin/amoxicillin,1
