Intervention_type,intervention,Study_count
Other,questionnaire,21
Other,no intervention,9
Diagnostic Test,pcr,7
Other,blood sample,5
Diagnostic Test,igg antibody test,4
Other,exposure,4
Diagnostic Test,igm/igg rapid test,3
Other,observational,3
Device,ct,2
Diagnostic Test,igg,2
Diagnostic Test,igm,2
Diagnostic Test,lung ultrasound,2
Diagnostic Test,nasopharyngeal swab,2
Diagnostic Test,online survey,2
Diagnostic Test,serology,2
Drug,ace inhibitor,2
Drug,hydroxychloroquine,2
Drug,methylprednisolone,2
Drug,tocilizumab,2
Other,biological samples,2
Other,online survey,2
Other,other,2
Other,retrospective,2
Other,ultrasound,2
Behavioral,assessment of work-related stress,1
Behavioral,burnout,1
Behavioral,covid-19 infection will be conducted.,1
Behavioral,covid-surgres questionaire,1
Behavioral,emotional stimulation,1
Behavioral,news,1
Behavioral,observation,1
Behavioral,online survey,1
Behavioral,ptsd,1
Behavioral,social media,1
Behavioral,social media/news consumption,1
Behavioral,turkish physicians,1
Biological,biological samples,1
Biological,blood sample,1
Biological,exposure,1
Biological,pcr,1
Biological,saliva,1
Combination Product,systemic,1
Device,coviage,1
Device,covx,1
Device,ecg,1
Device,echocardiography,1
Device,magec spine rod,1
Device,mask,1
Device,respiratory monitor,1
Device,sensiumvitals wearable sensor,1
Device,transpulmonary thermodilution,1
Device,wearable medical device (empatica e4),1
Diagnostic Test,a specifically designed self-administered questionnaire,1
Diagnostic Test,biomarkers expression,1
Diagnostic Test,biosensor,1
Diagnostic Test,breath test,1
Diagnostic Test,cambridge validated viral detection,1
Diagnostic Test,chest computed tomography (ct),1
Diagnostic Test,clinico-biological parameters in routine care,1
Diagnostic Test,ct scan,1
Diagnostic Test,cube rapid test,1
Diagnostic Test,cytokine adsorption,1
Diagnostic Test,diagnostic test,1
Diagnostic Test,ecg,1
Diagnostic Test,"electrocardiogram, telemetry, echocardiogram, laboratory values",1
Diagnostic Test,"electrocardiogram, transthoracic echocardiography",1
Diagnostic Test,"electrocardiogram, transthoracic echocardiography/clinico-biological parameters in routine care",1
Diagnostic Test,euroimmun assay,1
Diagnostic Test,even birth year intervention groups,1
Diagnostic Test,global longitudinal strain,1
Diagnostic Test,igm test,1
Diagnostic Test,machine learning model,1
Diagnostic Test,no intervention planned due to the observational study design only a diagnostic testing,1
Diagnostic Test,odd,1
Diagnostic Test,odd/even birth year intervention groups,1
Diagnostic Test,performing ai algorithms on images,1
Diagnostic Test,polysomnography,1
