Intervention_type,intervention,Study_count
Other,no intervention,4
Other,pregnant women with laboratory-confirmed 2019-n-cov,2
Behavioral,enhanced hygiene measures,1
Biological,evaluation of blood results of covid 19 positive pregnant patients,1
Combination Product,observational,1
Device,cordio app,1
Device,savr,1
Device,seraph,1
Device,tavr,1
Device,tavr/savr,1
Device,web application users,1
Diagnostic Test,assessment of cardiovascular diseases,1
Diagnostic Test,assessment of cardiovascular diseases/cardiovascular risk factors,1
Diagnostic Test,"biomarker (tropt, myoglobin, ck, ck-mb, ldh, d-dimer, crp, pct)",1
Diagnostic Test,blood sample,1
Diagnostic Test,cardiovascular risk factors,1
Diagnostic Test,copan swabbing,1
Diagnostic Test,copan swabbing/blood sample collection,1
Diagnostic Test,evaluation,1
Diagnostic Test,igg antibody test,1
Diagnostic Test,igm,1
Diagnostic Test,igm/igg rapid test,1
Diagnostic Test,laboratory,1
Diagnostic Test,muscle,1
Diagnostic Test,ultrasound,1
Drug,ace inhibitor,1
Drug,patients with the treatment agains covid19,1
Drug,vitamin c,1
Other,at risk for covid-19 infection,1
Other,biological samples,1
Other,biomarkers in the long term impact of coronavirus infection in the cardiorrespiratory system,1
Other,brief psychiatric rating scale,1
Other,chloroquine,1
Other,chloroquine/hydroxychloroquine,1
Other,clinical diagnosis of covid-19 by a health care professional,1
Other,connor-davidson resilience scale 10 items (cd-risc 10),1
Other,data collection,1
Other,deep venous disease diagnostic,1
Other,"depression, anxiety",1
Other,"depression, anxiety/stress scale",1
Other,diagnosed with covid-19,1
Other,follow up,1
Other,hospitalized children with covid19,1
Other,hydroxychloroquine,1
Other,icu treatment,1
Other,impact of event scale-revised,1
Other,newborns,1
Other,no special intervention,1
Other,observation,1
Other,observational,1
Other,ozone,1
Other,patient sampling,1
Other,postpartum,1
Other,postpartum women under investigation for coronavirus/diagnosed with covid-19,1
Other,pregnant women under investigation for coronavirus,1
Other,pregnant women under investigation for coronavirus/diagnosed with covid-19,1
Other,stress scale,1
Other,tested for sars-cov-2 (regardless of the result),1
Other,web-based redcap survey,1
Other,zinc,1
Procedure,vascular,1
