Intervention_type,intervention,Study_count
Other,questionnaire,79
Other,no intervention,38
Diagnostic Test,pcr,21
Other,online survey,13
Diagnostic Test,serology test,11
Other,observational,10
Behavioral,questionnaire,9
Biological,blood sample,9
Other,survey,9
Other,blood sample,7
Other,covid-19,7
Diagnostic Test,lung ultrasound,6
Other,exposure,6
Diagnostic Test,blood sample,5
Diagnostic Test,igg antibody test,5
Diagnostic Test,igm/igg rapid test,5
Diagnostic Test,saliva,5
Other,biological samples,5
Other,data collection,5
Other,quality-of-life assessment,5
Procedure,blood sample,5
Biological,saliva,4
Drug,ace inhibitor,4
Drug,hydroxychloroquine,4
Other,covid-19 pandemic,4
Other,interview,4
Other,observation,4
Other,standard care,4
Biological,convalescent plasma,3
Diagnostic Test,flow cytometry,3
Diagnostic Test,igg,3
Diagnostic Test,igm,3
Diagnostic Test,nasopharyngeal swab,3
Diagnostic Test,questionnaire,3
Diagnostic Test,rapid test,3
Diagnostic Test,serum test,3
Other,clinical assessment,3
Other,data record,3
Other,exercise,3
Other,non-interventional,3
Other,other,3
Other,serology test,3
Other,taste,3
Other,ultrasound,3
Procedure,biospeciman collection,3
Procedure,biospecimen collection,3
Behavioral,assessment of work-related stress,2
Behavioral,emotional stimulation,2
Behavioral,observation,2
Behavioral,prone positioning,2
Biological,biological data,2
Biological,pcr,2
Device,ct-scan,2
Device,ion mobility spectrometry (ims),2
Device,mask,2
Diagnostic Test,ct-scan,2
Diagnostic Test,ecg,2
Diagnostic Test,elisa,2
Diagnostic Test,igm antibodytest,2
Diagnostic Test,online survey,2
Diagnostic Test,sampling,2
Diagnostic Test,sars-cov-2,2
Diagnostic Test,standard care,2
Drug,arb,2
Drug,azithromycin,2
Drug,corticosteroids,2
Drug,dalteparin,2
Drug,interleukin,2
Drug,methylprednisolone,2
Drug,remdesivir,2
Drug,tinzaparin,2
Drug,tinzaparin/dalteparin,2
Drug,tocilizumab,2
Other,acute kidney injury,2
Other,clinical data,2
Other,ct-scan,2
Other,diagnostic laboratory biomarker analysis,2
Other,dialysis,2
Other,electronic health record review,2
Other,file scanning,2
Other,practice details,2
Other,prone positioning,2
Other,pulmonary rehabilitation,2
Other,quality of life,2
Other,sample collection,2
Other,serum test,2
Other,telehealth,2
Procedure,biological samples,2
Procedure,prone positioning,2
Procedure,throat swab,2
Behavioral,behavior,1
Behavioral,behavioral,1
Behavioral,behavioral/cognitive assessment,1
Behavioral,burnout,1
Behavioral,change in preference to surgery under covid-19 pandemic.,1
Behavioral,clinical features,1
Behavioral,cognitive assessment,1
Behavioral,collection of odour samples,1
Behavioral,covid-19,1
Behavioral,covid-19 infection will be conducted.,1
Behavioral,covid-19 positive pregnant women,1
Behavioral,covid-surgres questionaire,1
Behavioral,current clinical practices of participating physicians,1
Behavioral,decisions of limitations,1
Behavioral,decisions of limitations/stop processing,1
Behavioral,early rehabilitation,1
Behavioral,eating habits,1
Behavioral,education,1
Behavioral,education sessions,1
Behavioral,educational meetings/visual prompts,1
Behavioral,ei open ended pre-survey,1
Behavioral,ei open ended pre-survey/semi structured interview,1
Behavioral,environmental exposure,1
Behavioral,environmental exposure/clinical features,1
Behavioral,examine the impact of covid-19 during pregnancy,1
Behavioral,experiences of health care professionals working in intensive care units during the covid-19 pandemic,1
Behavioral,fsfi survey,1
Behavioral,generalized anxiety disorder-7 (gad-7),1
Behavioral,geneva emotional competence test (geco),1
Behavioral,informational videos,1
Behavioral,informational videos/social media campaigns encouraging cancer screening.,1
Behavioral,interview,1
Behavioral,"knowledge, attitude, practice, awareness, preference",1
Behavioral,lock-down,1
Behavioral,lock-down/social distancing,1
Behavioral,maslach burnout inventory (mbi),1
Behavioral,mindfulness training,1
Behavioral,news,1
Behavioral,occupational health workers,1
Behavioral,online survey,1
Behavioral,peer support,1
Behavioral,personalized ambulatory training,1
Behavioral,post-intensive care unit syndrome,1
Behavioral,ptsd,1
Behavioral,questionnaire : preparedness for caregiving scale,1
Behavioral,rehabilitation,1
Behavioral,remote pulmonary rehabilitation,1
Behavioral,saliva,1
Behavioral,semi-directive interview,1
Behavioral,semi structured interview,1
Behavioral,social distancing,1
Behavioral,social media,1
Behavioral,social media campaigns encouraging cancer screening.,1
Behavioral,social media/news consumption,1
Behavioral,stop processing,1
Behavioral,subacute rehabilitation,1
Behavioral,trier social stress test,1
Behavioral,turkish physicians,1
Behavioral,use of social media during covid-19,1
Behavioral,views,1
Behavioral,visual prompts,1
Behavioral,web based questionnaire,1
Biological,10 to 14 days later,1
Biological,biological assays in particular on the lipid metabolism,1
Biological,biological samples,1
Biological,blood collection on their first consultation/10 to 14 days later,1
Biological,chest ct,1
Biological,covid-19 vaccine,1
Biological,exposure,1
Biological,flu shot,1
Biological,longitudinally,1
Biological,no intervention,1
Biological,other clinical symptoms,1
Biological,pcr/chest ct,1
Biological,"reporting of anosmia, ageusia",1
Biological,"reporting of anosmia, ageusia/other clinical symptoms",1
