Intervention_type,intervention,Study_count
Drug,hydroxychloroquine,70
Drug,placebo,54
Other,placebo,28
Drug,azithromycin,23
Drug,placebo oral tablet,22
Drug,tocilizumab,16
Drug,placebos,14
Drug,hydroxychloroquine sulfate,13
Other,no intervention,13
Biological,convalescent plasma,12
Drug,remdesivir,12
Drug,lopinavir/ritonavir,11
Other,standard of care,11
Drug,favipiravir,9
Drug,methylprednisolone,8
Drug,chloroquine,7
Drug,losartan,7
Drug,ruxolitinib,7
Other,standard care,7
Drug,colchicine,6
Drug,standard of care,6
Drug,anakinra,5
Drug,sarilumab,5
Other,questionnaire,5
Biological,uc-mscs,4
Dietary Supplement,vitamin c,4
Dietary Supplement,vitamin d,4
Drug,hydroxychloroquine + azithromycin,4
Drug,nitazoxanide,4
Other,blood sample,4
Other,questionnaire assesment,4
Other,usual care,4
Biological,anti-sars-cov-2 convalescent plasma,3
Biological,placebo,3
Diagnostic Test,covid-19 rt-pcr,3
Diagnostic Test,lung ultrasound,3
Drug,baricitinib,3
Drug,camostat mesilate,3
Drug,chloroquine or hydroxychloroquine,3
Drug,clazakizumab,3
Drug,colchicine tablets,3
Drug,hydroxychloroquine (hcq),3
Drug,interferon beta-1a,3
Drug,interferon beta-1b,3
Drug,lopinavir / ritonavir,3
Drug,methotrexate,3
Drug,nitric oxide gas,3
Drug,oseltamivir,3
Drug,suspension of heat killed (autoclaved) mycobacterium w,3
Other,telemedicine,3
Other,telerehabilitation,3
Biological,mscs,2
Biological,recombinant novel coronavirus vaccine (adenovirus type 5 vector),2
Device,hyperbaric oxygen therapy,2
Diagnostic Test,nasopharyngeal swab,2
Diagnostic Test,online questionnaire,2
Dietary Supplement,sivomixx (200 billion),2
Dietary Supplement,zinc,2
Dietary Supplement,zinc gluconate,2
Drug,abidol hydrochloride,2
Drug,ace inhibitor,2
Drug,arbidol,2
Drug,ascorbic acid,2
Drug,azithromycin tablets,2
Drug,bcg vaccine,2
Drug,bevacizumab injection,2
Drug,chloroquine diphosphate,2
Drug,chloroquine phosphate,2
Drug,chloroquine sulfate,2
Drug,das181,2
Drug,deferoxamine,2
Drug,dexamethasone,2
Drug,dexamethasone injection,2
Drug,dornase alfa inhalation solution [pulmozyme],2
Drug,eculizumab,2
Drug,emtricitabine/tenofovir disoproxil,2
Drug,enoxaparin,2
Drug,hb-admscs,2
Drug,hydrocortisone,2
Drug,hydroxychloroquine - daily dosing,2
Drug,hydroxychloroquine - weekly dosing,2
Drug,hydroxychloroquine + placebo,2
Drug,hydroxychloroquine sulfate 200 mg,2
Drug,hydroxychloroquine sulfate loading dose,2
Drug,hydroxychloroquine sulfate regular dose,2
Drug,ivermectin,2
Drug,l-ascorbic acid,2
Drug,leronlimab (700mg),2
Drug,nitric oxide,2
Drug,nivolumab,2
Drug,nors (nitric oxide releasing solution),2
Drug,peginterferon lambda-1a,2
Drug,placebo: hydroxychloroquine,2
Drug,plasma,2
Drug,povidone-iodine nasal spray and gargle,2
Drug,prednisone,2
Drug,pul-042 inhalation solution,2
Drug,remdesivir placebo,2
Drug,ruxolitinib oral tablet,2
Drug,selinexor,2
Drug,sevoflurane,2
Drug,siltuximab,2
Drug,single dose of hydroxychloroquine,2
Drug,standard treatment,2
Drug,telmisartan,2
Drug,thalidomide,2
Drug,tocilizumab (tcz),2
Drug,tocilizumab injection,2
Other,blood draw,2
Other,blood sampling,2
Other,convalescent plasma,2
Other,exercise brochure,2
Other,follow up,2
Other,observational,2
Other,other,2
Other,pregnant women with laboratory-confirmed 2019-n-cov,2
Other,questionnaires,2
Other,retrospective analysis,2
Other,self-administered questionnaire,2
Other,standard treatment,2
Other,survey,2
Procedure,prone positioning,2
Behavioral,1: prone positioning,1
Behavioral,2: no instruction regarding positioning,1
Behavioral,assessment of behavioral response to emotional stimulation,1
Behavioral,assessment of work-related stress,1
Behavioral,attention bias modification (abm),1
Behavioral,behavioral: ocat,1
Behavioral,behavioral: ocat-sham,1
Behavioral,burnout,1
Behavioral,covid-surgres questionaire,1
Behavioral,crisis management coaching,1
Behavioral,enhanced hygiene measures,1
Behavioral,general health education,1
Behavioral,guided online support program,1
Behavioral,health care worker survey,1
Behavioral,humanistic care,1
Behavioral,intermittent prone positioning instructions,1
Behavioral,internet-delivered cognitive behavior therapy (icbt) for dysfunctional worry related to the covid-19 pandemic,1
Behavioral,mindfulness session(s),1
Behavioral,observation of behavior and covid-19 infection will be conducted.,1
Behavioral,online bibliotherapy programme,1
Behavioral,online cognitive behavioral therapy (cbt),1
Behavioral,online mindfulness group,1
Behavioral,online survey,1
Behavioral,personalized health education,1
Behavioral,phone-call screening and management by a medical student/general practitioner tandem,1
Behavioral,prayer,1
Behavioral,psychological and physical rehabilitation based humanistic care,1
Behavioral,psychological assessment,1
Behavioral,ptsd,1
Behavioral,social media & news consumption,1
Behavioral,tele-interventions related to diabetes management and mental well-being,1
Behavioral,turkish physicians,1
Behavioral,usual care positioning with no instructions,1
Behavioral,video based exercise,1
Behavioral,who recommendations (waiting condition),1
Biological,2019-ncov pcr,1
Biological,allogeneic human dental pulp stem cells (bsh btc & utooth btc),1
Biological,allogeneic nk transfer,1
Biological,anakinra,1
Biological,anti- sars-cov-2 plasma,1
Biological,anti-coronavirus antibodies (immunoglobulins)obtained with dfpp from convalescent patients,1
Biological,autologous adipose msc's,1
Biological,bactek-r,1
Biological,bactrl-spike,1
Biological,bcg vaccine,1
Biological,biological collection (patients co infected hiv sras-cov-2),1
Biological,biological test,1
Biological,biological: covid-19 convalescent plasma,1
Biological,blood plasma,1
Biological,blood samples,1
Biological,blood sampling,1
Biological,blood test,1
Biological,bm-mscs,1
Biological,cap-1002 allogeneic cardiosphere-derived cells,1
Biological,castem,1
Biological,cell therapy protocol 1,1
Biological,cell therapy protocol 2,1
Biological,chadox1 ncov-19,1
Biological,chadox1 ncov-19 boost,1
Biological,collection of biological samples,1
Biological,convalescent anti-sars-cov-2 plasma,1
Biological,convalescent covid 19 plasma,1
Biological,convalescent plasma (anti-sars-cov-2 plasma),1
Biological,covid-19 convalescent plasma,1
Biological,covid-19 exposure,1
Biological,cynk-001,1
Biological,dental pulp mesenchymal stem cells,1
Biological,eculizumab,1
Biological,emapalumab,1
Biological,evaluation of blood results of covid 19 positive pregnant patients,1
Biological,high-titer anti-sars-cov-2 plasma,1
Biological,high-titer covid-19 convalescent plasma (ht-ccp),1
Biological,human amniotic fluid,1
Biological,hyperimmune plasma,1
Biological,"ic14, a monoclonal antibody against cd14",1
Biological,injection and infusion of lv-smenp-dc vaccine and antigen-specific ctls,1
Biological,intradermal injection of bcg vaccine,1
Biological,lactated ringer's solution or sterile saline,1
Biological,lenzilumab,1
Biological,menacwy,1
Biological,mesenchymal cells,1
Biological,mesenchymal stromal cells,1
Biological,mrna-1273,1
Biological,mscs-derived exosomes,1
Biological,multiple doses of anti-sars-cov-2 convalescent plasma,1
Biological,multistem,1
Biological,nasopharyngeal swab,1
Biological,nestcellâ®,1
Biological,nk cells,1
Biological,"nk cells,il15-nk cells,nkg2d car-nk cells,ace2 car-nk cells,nkg2d-ace2 car-nk cells",1
Biological,non-convalescent plasma (control plasma),1
Biological,pathogen-specific aapc,1
Biological,pathogen reduced sars-cov-2 convalescent plasma,1
Biological,pembrolizumab (mk-3475),1
Biological,placebo vaccine,1
Biological,plasma,1
Biological,rectal swab,1
Biological,saline containing 1% human serum albuminï¼ˆsolution of mscï¼‰,1
Biological,saliva sample,1
Biological,saliva sample collection,1
Biological,sarilumab,1
Biological,sars-cov-2 non-immune plasma,1
Biological,serological test,1
Biological,serology test,1
Biological,serum test,1
Biological,standard donor plasma,1
Biological,standard plasma,1
Biological,standard plasma (ffp),1
Biological,tocilizumab,1
Biological,two doses of high dosage inactivated sars-cov-2 vaccine at the emergency vaccination schedule,1
Biological,two doses of high dosage inactivated sars-cov-2 vaccine at the routine vaccination schedule,1
Biological,two doses of medium dosage inactivated sars-cov-2 vaccine at the emergency vaccination schedule,1
Biological,two doses of medium dosage inactivated sars-cov-2 vaccine at the routine vaccination schedule,1
Biological,two doses of placebo at the emergency vaccination schedule,1
Biological,two doses of placebo at the routine vaccination schedule,1
Biological,umbilical cord mesenchymal stem cells,1
Biological,umbilical cord wharton's jelly-derived human,1
Biological,vaccine bcg,1
Biological,wj-mscs,1
Combination Product,azithromycin with amoxicillin/clavulanate,1
Combination Product,hydroxychloroquine + azithromycin + / - tocilizumab,1
Combination Product,hydroxychloroquine plus nitazoxanide,1
Combination Product,hydroxychloroquine sulfate + azithromycin,1
Combination Product,hyperbaric oxygen treatment (hbot) i.e. inhalation of pressurized oxygen delivered by a hyperbaric chamber (drug/device),1
Combination Product,ivermectin plus nitazoxanide,1
Combination Product,mefloquine + azithromycin + / - tocilizumab,1
Combination Product,observational (registry),1
Combination Product,standard of care (soc),1
Combination Product,stem cell educator-treated mononuclear cells apheresis,1
Combination Product,systemic treatment,1
Device,actigraphy,1
Device,aerosol-reducing mask,1
Device,airgo respiratory monitor,1
Device,automated oxygen administration - freeo2,1
Device,bidirectional oxygenation mouthpiece,1
Device,biosensors,1
Device,biovitals,1
Device,caption ai,1
Device,cellectraâ® 2000,1
Device,centricyte 1000,1
Device,control group,1
Device,control swab,1
Device,cordio app,1
Device,coviage,1
Device,covsurf drug delivery system,1
Device,covx,1
Device,cpap treatment,1
Device,ct-imaging,1
Device,ct-v,1
Device,cytokine adsorption,1
Device,cytosorb-therapy,1
Device,double-trunk mask,1
Device,ecco2r,1
Device,echocardiography,1
Device,electric pad for human external pain therapy,1
Device,expiratory training device,1
Device,gammacoreâ® (vagus nerve stimulation),1
Device,go2 peep mouthpiece,1
Device,high flow nasal cannula (hfnc),1
Device,hyperbaric oxygen therapy (hbot),1
Device,inspiratory training device,1
Device,intraosseous access,1
Device,intravenous access,1
Device,kerecis oral and nasal spray,1
Device,magec spine rod,1
Device,medical mask,1
Device,mouthrinse with bãªta-cyclodextrin and citrox,1
