Intervention_type,intervention,Study_count
Drug,hydroxychloroquine,69
Drug,placebo,54
Other,placebo,28
Drug,azithromycin,22
Drug,placebo oral tablet,22
Drug,tocilizumab,15
Drug,placebos,14
Drug,hydroxychloroquine sulfate,13
Biological,convalescent plasma,11
Drug,lopinavir/ritonavir,11
Other,standard of care,10
Drug,favipiravir,9
Drug,remdesivir,9
Drug,methylprednisolone,8
Drug,chloroquine,7
Drug,losartan,7
Other,standard care,7
Drug,colchicine,6
Drug,standard of care,6
Drug,anakinra,5
Drug,ruxolitinib,5
Drug,sarilumab,5
Biological,uc-mscs,4
Dietary Supplement,vitamin c,4
Dietary Supplement,vitamin d,4
Drug,hydroxychloroquine + azithromycin,4
Drug,nitazoxanide,4
Other,usual care,4
Biological,anti-sars-cov-2 convalescent plasma,3
Biological,placebo,3
Drug,baricitinib,3
Drug,camostat mesilate,3
Drug,chloroquine or hydroxychloroquine,3
Drug,clazakizumab,3
Drug,colchicine tablets,3
Drug,hydroxychloroquine (hcq),3
Drug,interferon beta-1a,3
Drug,interferon beta-1b,3
Drug,lopinavir / ritonavir,3
Drug,methotrexate,3
Drug,nitric oxide gas,3
Drug,oseltamivir,3
Drug,suspension of heat killed (autoclaved) mycobacterium w,3
Other,telemedicine,3
Other,telerehabilitation,3
Biological,mscs,2
Biological,recombinant novel coronavirus vaccine (adenovirus type 5 vector),2
Device,hyperbaric oxygen therapy,2
Dietary Supplement,zinc,2
Dietary Supplement,zinc gluconate,2
Drug,abidol hydrochloride,2
Drug,arbidol,2
Drug,ascorbic acid,2
Drug,azithromycin tablets,2
Drug,bcg vaccine,2
Drug,bevacizumab injection,2
Drug,chloroquine diphosphate,2
Drug,chloroquine phosphate,2
Drug,chloroquine sulfate,2
Drug,das181,2
Drug,deferoxamine,2
Drug,dexamethasone,2
Drug,dexamethasone injection,2
Drug,dornase alfa inhalation solution [pulmozyme],2
Drug,emtricitabine/tenofovir disoproxil,2
Drug,enoxaparin,2
Drug,hb-admscs,2
Drug,hydrocortisone,2
Drug,hydroxychloroquine - daily dosing,2
Drug,hydroxychloroquine - weekly dosing,2
Drug,hydroxychloroquine + placebo,2
Drug,hydroxychloroquine sulfate 200 mg,2
Drug,hydroxychloroquine sulfate loading dose,2
Drug,hydroxychloroquine sulfate regular dose,2
Drug,ivermectin,2
Drug,l-ascorbic acid,2
