Intervention_type,intervention,Study_count
Other,no intervention,9
Other,questionnaire,5
Other,questionnaire assesment,4
Diagnostic Test,covid-19 rt-pcr,3
Other,blood sample,3
Diagnostic Test,lung ultrasound,2
Diagnostic Test,nasopharyngeal swab,2
Diagnostic Test,online questionnaire,2
Other,observational,2
Other,other,2
Other,retrospective analysis,2
Other,self-administered questionnaire,2
Other,survey,2
Behavioral,assessment of behavioral response to emotional stimulation,1
Behavioral,assessment of work-related stress,1
Behavioral,burnout,1
Behavioral,covid-surgres questionaire,1
Behavioral,observation of behavior and covid-19 infection will be conducted.,1
Behavioral,online survey,1
Behavioral,ptsd,1
Behavioral,social media & news consumption,1
Behavioral,turkish physicians,1
Biological,2019-ncov pcr,1
Biological,biological collection (patients co infected hiv sras-cov-2),1
Biological,blood sampling,1
Biological,covid-19 exposure,1
Biological,saliva sample collection,1
Combination Product,systemic treatment,1
Device,aerosol-reducing mask,1
Device,airgo respiratory monitor,1
Device,coviage,1
Device,covx,1
Device,ct-imaging,1
Device,ct-v,1
Device,echocardiography,1
Device,magec spine rod,1
Device,non-contact ecg,1
Device,sensiumvitals wearable sensor,1
Device,standard mask,1
Device,transpulmonary thermodilution,1
Device,wearable medical device (empatica e4),1
Diagnostic Test,a specifically designed self-administered questionnaire,1
Diagnostic Test,biomarkers expression,1
Diagnostic Test,biosensor,1
Diagnostic Test,breath test,1
Diagnostic Test,cambridge validated viral detection method,1
Diagnostic Test,chest computed tomography (ct),1
Diagnostic Test,covid-19 antibody testing (igg and igm),1
Diagnostic Test,covid-19 serology,1
Diagnostic Test,"covid-19 test, polymerase chain reaction for sars-cov-2",1
Diagnostic Test,cytokine profile,1
Diagnostic Test,diagnostic test,1
Diagnostic Test,ecg,1
Diagnostic Test,"electrocardiogram, telemetry, echocardiogram, laboratory values",1
Diagnostic Test,"electrocardiogram, transthoracic echocardiography and clinico-biological parameters in routine care",1
Diagnostic Test,elisa-test for igm and igg to sars-cov-2,1
Diagnostic Test,euroimmun assay,1
Diagnostic Test,global longitudinal strain,1
Diagnostic Test,igg,1
Diagnostic Test,igm and igg diagnostic kits to sars-cov-2,1
Diagnostic Test,loop mediated isothermal amplification covid-19,1
Diagnostic Test,machine learning model,1
Diagnostic Test,monthly serologic igm/g test,1
Diagnostic Test,nasopharyngeal covid 19 rt-pcr,1
Diagnostic Test,new qiastat-dx fully automatic multiple pcr detection platform,1
Diagnostic Test,no intervention planned due to the observational study design only a diagnostic testing,1
Diagnostic Test,odd/even birth year intervention groups,1
Diagnostic Test,point-of-care ultrasonography (pocus),1
Diagnostic Test,polysomnography,1
Diagnostic Test,public health england gold standard,1
Diagnostic Test,questionnaire forms,1
Diagnostic Test,radiological detection,1
Diagnostic Test,recombinase aided amplification (raa) assay,1
Diagnostic Test,reverse-transcription polymerase chain reaction (rt-pcr),1
Diagnostic Test,samba ii (diagnostic for the real world),1
Diagnostic Test,sampling salivary,1
Diagnostic Test,sars-cov-2 igg antibody testing kit,1
Diagnostic Test,sars-cov2 testing,1
Diagnostic Test,scanning chest x-rays and performing ai algorithms on images,1
Diagnostic Test,schirmer test i,1
Diagnostic Test,serology,1
Diagnostic Test,serum inflammatory biomarkers,1
Diagnostic Test,serum sars cov 2 igg screening in health care workers,1
Diagnostic Test,spartan cube point-of care covid-19 test,1
Diagnostic Test,"standard 12-lead ecg, nt-probnp, echocardiography",1
Diagnostic Test,standardized lung ultrasound (lus) examination,1
Diagnostic Test,swallowing evaluation with the eat-10 and the volume-viscosity swallowing test (v-vst),1
Diagnostic Test,tem-tpa,1
Diagnostic Test,testing sensitivity for sars-cov-2 virus in symptomatic individuals,1
Diagnostic Test,thoracic ct scan,1
Diagnostic Test,titanium blood test,1
Diagnostic Test,to assess for development of igg antibodies against sars-cov2,1
Diagnostic Test,tuberculin test,1
Dietary Supplement,sivomixx (200 billion),1
Drug,ace inhibitor,1
Drug,angiotensin-converting enzyme inhibitors (ace-i) and angiotensin ii receptor blockers (arb),1
Drug,any drug used to treat covid-19,1
Drug,arb,1
Drug,azithromycin,1
Drug,baricitinib or anakinra,1
Drug,canakinumab 150 mg/ml [ilaris],1
Drug,chemotherapy,1
Drug,chlorine dioxide 3000 ppm,1
Drug,dexmedetomidine injectable product,1
Drug,hydroxychloroquine,1
Drug,plaquenil 200mg tablet,1
Drug,remdesivir,1
Drug,ruxolitinib oral tablet,1
Drug,tcm prescriptions,1
Drug,thromboprophylaxis with low-molecular-weight heparin or fondaparinux,1
Drug,tocilizumab,1
Drug,tocilizumab 20 mg/ml intravenous solution [actemra],1
Genetic,next generation sequencing (ngs) analysis,1
Genetic,sequencing,1
Other,- synthetic anti-malarial drugs,1
Other,40ml blood sample,1
Other,all treatment about covid-2019,1
Other,assessment of postnatal depression using the the edinburgh questionnaire between 4 and 6 weeks after delivery,1
Other,auto-questionnaires (patients co infected hiv sras-cov-2),1
Other,bacterial species isolated,1
Other,biological samples collection,1
Other,blood donation from convalescent donor,1
Other,blood draw,1
Other,blood sampling,1
Other,cardiac and electrodermal recordings,1
Other,cardiac surgery,1
Other,comprehensive treatment,1
Other,covid-19 infection,1
Other,covid-19 pandemic,1
Other,cross-sectional observational study,1
Other,cross-sectional study investigating the association of npis with mental health,1
Other,ct score,1
Other,daily syndromic surveillance,1
Other,data record,1
Other,"determination of physical activity, quality of life, stress levels of isolated people at home with the danger of coronavirus.",1
Other,echocardiography,1
Other,equipment with smartwatch throughout hospital stay on the general ward,1
Other,evaluate hacor score effectivity in this patients,1
Other,evaluation of the epidemiological characteristics of coronavirus infection (sars-cov-2),1
Other,exposed to the novel coronavirus disease 2019,1
Other,exposure,1
Other,exposure (not intervention) - sars-cov-2 infection,1
Other,exposure to the sars-cov-2 and its consequences,1
Other,extra blood sample,1
Other,fibrin generation markers assays,1
Other,follow up,1
Other,gad-7 (7-item generalized anxiety disorder),1
Other,global survey,1
Other,"gps reports of potential patient safety incidents, non-covid-19 related",1
Other,hospital anxiety and depression scale,1
Other,human biological samples,1
Other,immunological profiling,1
Other,impact event score,1
Other,interview,1
Other,it is a survey,1
Other,liver injury,1
Other,maslach burnout inventory questionnair,1
Other,mobile internet survey on self-test,1
Other,modification of the planned therapeutic management,1
Other,monitoring for aggravation,1
Other,na (no intervention),1
Other,nasal swab,1
Other,"ncapp, a cell phone-based auto-diagnosis system",1
Other,no intervention (survey study for medical doctors).,1
Other,no interventional study,1
Other,non,1
Other,non-interventional,1
Other,none - na,1
Other,nosocomial infection/hospital acquired infection,1
Other,nutrition support,1
Other,observation,1
Other,observational study,1
Other,olfactory and gustatory tests,1
Other,on-line survey,1
Other,online survey,1
Other,oxygen treatment,1
Other,patient management suffering of coronavirus infection,1
Other,peep trial,1
Other,phq-9 (9-item patient health questionnaire),1
Other,phsyiotherapy,1
Other,practice details,1
Other,"primary care professionals reports of potential patient safety incidents, non-covid-19 related",1
Other,prone positioning,1
Other,prospective oberservational registry,1
Other,pss (perceived stress scale),1
Other,pulmonary ultrasound,1
Other,qualitative interviews (in 40 patients : 20 with covid-19 and 20 without covid-19),1
Other,quality of life,1
Other,quesionnair,1
Other,questionnair about emerging legal and ehical disputes over patient confidentiality,1
Other,questionnaire by phone call,1
Other,"questionnaires, spirometry",1
Other,quetionnary,1
Other,rapid molecular test,1
Other,retrospective data collection,1
Other,satisfaction evaluation,1
Other,serological test,1
Other,serum chemistry analysis,1
Other,severe covid-19 pneumonia with et,1
