Intervention_type,intervention,Study_count
placebo,placebo,576
Other,standard care,190
Drug,hydroxychloroquine,130
Biological,convalescent plasma,112
Drug,azithromycin,47
Drug,saline,45
Drug,tocilizumab,43
Drug,ivermectin,39
Drug,remdesivir,36
Drug,favipiravir,35
Biological,mesenchymal stem cells,35
Drug,enoxaparin,30
Drug,ritonavir,29
Biological,blood sample,26
Drug,lopinavir,26
Drug,control,21
Drug,heparin,21
Dietary Supplement,vitamin d,21
Drug,colchicine,20
Biological,inactivated sars-cov-2 vaccine,20
Drug,methylprednisolone,19
Other,prone positioning,19
Other,exercise,18
Drug,lopinavir/ritonavir,18
Drug,nitazoxanide,18
Device,oxygen,18
Dietary Supplement,vitamin c,18
Drug,chloroquine,17
Drug,dexamethasone,17
Biological,plasma,17
Drug,anakinra,16
Drug,interferon,16
Other,questionnaire,14
Drug,povidone/iodine,13
Diagnostic Test,serology test,12
Other,telehealth,12
Biological,chadox1,11
Drug,hydroxychloroquine / azithromycin,11
Drug,nitric oxide,11
Drug,ruxolitinib,11
Drug,baricitinib,10
Biological,bcg,10
Radiation,radiotherapy,10
Biological,sars-cov-2 rs,10
Dietary Supplement,zinc,10
Other,best available therapy,9
Drug,camostat mesilate,9
Biological,28-day schedule,8
Device,cellectraâ® 2000,8
Drug,cholecalciferol,8
Drug,losartan,8
Drug,oseltamivir,8
Biological,three dose regimen,8
Biological,two dose regimen,8
Diagnostic Test,biological samples,7
Biological,paracetamol,7
Drug,povidone-iodine,7
Drug,rivaroxaban,7
Drug,sarilumab,7
Biological,adjuvant,6
Drug,aspirin,6
Drug,best supportive care,6
Biological,bnt162b2,6
Drug,clazakizumab,6
Biological,dose) - stage 1,6
Drug,lenzilumab,6
Behavioral,mindfulness,6
Drug,nasal rinse,6
Drug,omega-3,6
Diagnostic Test,pcr,6
Drug,plitidepsin,6
Other,saliva,6
Biological,sars-cov-2 rs/matrix-m1 adjuvant,6
Drug,sofosbuvir,6
Drug,telmisartan,6
Procedure,therapeutic plasma exchange (tpe),6
Combination Product,,5
Biological,ad26.cov2.s,5
Biological,adenovirus type 5 vector,5
Drug,arbidol,5
Drug,azd7442,5
Biological,biological,5
Biological,blood test,5
Drug,camostat,5
Procedure,dalargin,5
Drug,famotidine,5
Biological,gam-covid-vac,5
Drug,kg,5
Drug,ly3819253,5
Drug,melatonin,5
Biological,mrna-1273,5
Drug,nigella sativa oil,5
Biological,nk cells,5
Drug,pulmozyme,5
Drug,regn10933,5
Drug,regn10987,5
Other,supportive care,5
Other,survey,5
Biological,14-day schedule,4
Other,ace inhibitor,4
Drug,anticoagulation,4
Drug,atorvastatin,4
Drug,atyr1923,4
Biological,bacille calmette-guã©rin (bcg),4
Behavioral,behavioral intervention,4
Drug,bromhexine hydrochloride,4
Drug,budesonide,4
Drug,canakinumab,4
Drug,ciclesonide,4
Drug,daclatasvir,4
Drug,doxycycline,4
Drug,fluvoxamine,4
Combination Product,hyperbaric oxygen,4
Drug,mavrilimumab,4
Biological,mesenchymalÂ stem cells,4
Drug,n-acetylcysteine,4
Combination Product,na-831,4
Drug,nafamostat mesilate,4
Diagnostic Test,nasopharyngeal swab,4
Drug,niclosamide,4
Other,normal saline (0.9% sodium chloride solution) - stage 1,4
Drug,peginterferon,4
Drug,sargramostim,4
Drug,sodium,4
Drug,1200 mg),3
Drug,acalabrutinib,3
Biological,ag0302-covid19,3
Behavioral,anxiety reduction training,3
Drug,apixaban 2.5 mg,3
Other,arb,3
Combination Product,atazanavir,3
Other,ayurveda,3
Drug,bamlanivimab,3
Biological,bcg-denmark,3
Behavioral,behavior,3
Other,blood,3
