Intervention_type,intervention,Study_count
Other,questionnaire,96
Other,no intervention,63
Diagnostic Test,pcr,27
Other,online survey,15
Other,observational,14
Biological,vaccine,13
Behavioral,questionnaire,12
Diagnostic Test,serology test,12
Biological,blood sample,11
Other,covid-19,10
Other,blood sample,9
Other,data collection,9
Other,survey,9
Diagnostic Test,blood sample,8
Diagnostic Test,lung ultrasound,8
Other,biological samples,8
Procedure,blood sample,8
Drug,remdesivir,7
Other,exposure,7
Diagnostic Test,saliva,6
Other,observation,6
Diagnostic Test,igg antibody test,5
Diagnostic Test,igm/igg rapid test,5
Drug,hydroxychloroquine,5
Other,clinical assessment,5
Other,covid-19 pandemic,5
Other,interview,5
Other,quality-of-life assessment,5
Procedure,biospecimen collection,5
Biological,convalescent plasma,4
Biological,saliva,4
Diagnostic Test,igm,4
Diagnostic Test,nasopharyngeal swab,4
Diagnostic Test,questionnaire,4
Drug,ace inhibitor,4
Drug,tocilizumab,4
Other,electronic health record review,4
Other,exercise,4
Other,other,4
Other,standard care,4
Procedure,prone positioning,4
Biological,bnt162b2,3
Diagnostic Test,blood test,3
Diagnostic Test,ct-scan,3
Diagnostic Test,flow cytometry,3
Diagnostic Test,igg,3
Diagnostic Test,serum test,3
Drug,methylprednisolone,3
Other,data record,3
Other,non-interventional,3
Other,prone positioning,3
Other,quality of life,3
Other,serology test,3
Other,taste,3
Other,ultrasound,3
Behavioral,assessment of work-related stress,2
Behavioral,behavior,2
Behavioral,emotional stimulation,2
Behavioral,fear of covid-19 scale,2
Behavioral,observation,2
Behavioral,prone positioning,2
Biological,biological samples,2
Biological,bnt162b2 mrna covid-19 vaccine,2
Biological,covid-19 vaccination,2
Biological,data,2
Biological,pcr,2
Biological,serology test,2
Device,breath biopsy,2
Device,breath biopsy face masks with removable filters/fitted pva strip,2
Device,ct-scan,2
Device,fitted pva strip,2
Device,"ib10 sphingotestâ® bio-admâ® apparatus (sphingotec gmbh, hennigsdorf, germany)",2
Device,impulseâ„¢ una e-stethoscope,2
Device,impulseâ„¢ una infrasound-to-ultrasound e-stethoscope,2
Device,ion mobility spectrometry (ims),2
Device,mask,2
Device,poc covidxâ„¢ rapid antigen test,2
Diagnostic Test,breath test,2
Diagnostic Test,bronchoalveolar lavage,2
Diagnostic Test,ecg,2
Diagnostic Test,echocardiography,2
Diagnostic Test,elisa,2
Diagnostic Test,exercise,2
Diagnostic Test,igm antibodytest,2
Diagnostic Test,nanomix elabâ® covid-19 rapid antigen panel (non-interventional),2
Diagnostic Test,online survey,2
Diagnostic Test,pulmonary function tests,2
Diagnostic Test,rapid test,2
Diagnostic Test,rothâ´s test,2
Diagnostic Test,saliva sampling,2
Diagnostic Test,sampling,2
Diagnostic Test,sars-cov-2,2
Diagnostic Test,sars-cov2 testing,2
Diagnostic Test,semen analysis,2
Diagnostic Test,spirometry,2
Diagnostic Test,standard care,2
Diagnostic Test,test,2
Drug,arb,2
Drug,azithromycin,2
Drug,corticosteroid,2
Drug,dalteparin,2
Drug,favipiravir,2
Drug,interleukin,2
Drug,ivermectin,2
Drug,tinzaparin,2
Drug,tinzaparin/dalteparin,2
Drug,vaccine,2
Other,acute kidney injury,2
Other,blood test,2
Other,brescä°a-covä°d respiratory severity scale,2
Other,clinical data,2
Other,covid-19 infection,2
Other,covid-19/ observational,2
Other,ct-scan,2
Other,data,2
Other,data collection/clinical testing of subjects,2
Other,diagnostic laboratory biomarker analysis,2
Other,dialysis,2
Other,file scanning,2
Other,indicators of central sensitisation,2
Other,non,2
Other,non interventional study,2
Other,patient-reported online questionnaire on olfactory,2
Other,patient-reported online questionnaire on olfactory/taste disturbances,2
Other,phone call interview,2
Other,practice details,2
Other,pulmonary rehabilitation,2
Other,retrospective data collection,2
Other,sample collection,2
Other,serum test,2
Other,t-detectâ„¢ sars-cov-2 assay,2
Other,taste disturbances,2
Other,teleconsultation,2
Other,telehealth,2
Procedure,biological samples,2
Procedure,throat swab,2
Behavioral,autoimmunity,1
