Intervention_type,intervention,Study_count
NA,NA,39
Other,no intervention,4
Other,pregnant women with laboratory-confirmed 2019-n-cov,2
Behavioral,enhanced hygiene measures,1
Behavioral,health care worker survey,1
Behavioral,survey,1
Combination Product,observational,1
Device,savr,1
Device,seraph,1
Device,tavr,1
Device,tavr/savr,1
Device,web application users,1
Diagnostic Test,antibody test,1
Diagnostic Test,assessment of cardiovascular diseases,1
Diagnostic Test,assessment of cardiovascular diseases/cardiovascular risk factors,1
Diagnostic Test,"biomarker (tropt, myoglobin, ck, ck-mb, ldh, d-dimer, crp, pct)",1
Diagnostic Test,blood sample,1
Diagnostic Test,cardiovascular risk factors,1
Diagnostic Test,copan swabbing,1
Diagnostic Test,copan swabbing/blood sample collection,1
Diagnostic Test,igg antibody test,1
Diagnostic Test,igm,1
Diagnostic Test,igm/igg rapid test,1
Diagnostic Test,laboratory,1
Diagnostic Test,muscle,1
Diagnostic Test,sars-cov-2-test,1
Dietary Supplement,vitamin d,1
Drug,ace inhibitor,1
Other,at risk for covid-19 infection,1
Other,biological samples,1
Other,blood d-dimer assay,1
Other,cardiopulmonary resuscitation,1
Other,chloroquine,1
Other,chloroquine/hydroxychloroquine,1
Other,clinical data,1
Other,coronavirus disease 2019,1
Other,data collection,1
Other,diagnosed with covid-19,1
Other,ecg-holter,1
Other,follow up,1
Other,hospitalized children with covid19,1
Other,hydroxychloroquine,1
Other,icu treatment,1
Other,modified rankin score,1
Other,newborns,1
Other,no special intervention,1
Other,observation,1
Other,observational,1
Other,postpartum,1
Other,postpartum women under investigation for coronavirus/diagnosed with covid-19,1
Other,pregnant women under investigation for coronavirus,1
Other,pregnant women under investigation for coronavirus/diagnosed with covid-19,1
Other,recop unit patient,1
Other,sars-cov-2 questionnaire survey,1
Other,serology,1
Other,standard protocol,1
Other,thromboprofylaxis protocol,1
Other,web-based redcap survey,1
Procedure,evaluation of changes in the diagnostic-therapeutic pathway,1
