nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT04320862,"ClinicalTrials.gov processed this data on January 29, 2021",3/23/2020,NA,NA,4/23/2020,3/23/2020,3/25/2020,Actual,NA,NA,NA,NA,NA,NA,4/23/2020,4/27/2020,Actual,3-Apr-20,Actual,4/3/2020,Apr-20,4/30/2020,31-Dec-21,Anticipated,12/31/2021,31-Dec-21,Anticipated,12/31/2021,NA,Observational,NA,,COVID-19 Pandemic Response Network,Pandemic Response Network: Duke Community Health Watch,Recruiting,NA,NA,200000,Anticipated,Duke University,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T12:35:01Z,2021-02-01T12:35:01Z
NCT04726865,"ClinicalTrials.gov processed this data on January 29, 2021",1/25/2021,NA,NA,1/26/2021,1/26/2021,1/27/2021,Actual,NA,NA,NA,NA,NA,NA,1/26/2021,1/27/2021,Actual,1-Oct-20,Actual,10/1/2020,Jan-21,1/31/2021,31-Dec-20,Actual,12/31/2020,20-Dec-20,Actual,12/20/2020,NA,Observational,NA,,COVID-19 Pandemic and Medical Students,Effects of COVID-19 Pandemic on Medical Students in Jordanian Universities: A Multi-center Cross-sectional Study,Completed,NA,NA,415,Actual,University of Jordan,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:38:19Z,2021-02-01T11:38:19Z
NCT04716465,"ClinicalTrials.gov processed this data on January 29, 2021",1/18/2021,NA,NA,1/19/2021,1/18/2021,1/20/2021,Actual,NA,NA,NA,NA,NA,NA,1/19/2021,1/22/2021,Actual,19-Jan-21,Actual,1/19/2021,Jan-21,1/31/2021,Jan-23,Anticipated,1/31/2023,Jan-23,Anticipated,1/31/2023,NA,Observational,DYSCO,,Dysautonomia in Patients Post COVID-19 Infection,Dysautonomia in Patients Post COVID-19 Infection,Recruiting,NA,NA,200,Anticipated,Universitair Ziekenhuis Brussel,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:39:31Z,2021-02-01T11:39:31Z
NCT04727294,"ClinicalTrials.gov processed this data on January 29, 2021",1/26/2021,NA,NA,1/26/2021,1/26/2021,1/27/2021,Actual,NA,NA,NA,NA,NA,NA,1/26/2021,1/27/2021,Actual,22-Jan-21,Anticipated,1/22/2021,Jan-21,1/31/2021,Dec-21,Anticipated,12/31/2021,Jun-21,Anticipated,6/30/2021,NA,Observational,NA,,"MGUS, SMM, and MM Patient Experience With Coronavirus 19 (COVID-19) Survey","Monoclonal Gammopathy of Undetermined Significance (MGUS), Smoldering Myeloma (SMM), and Multiple Myeloma Patient Experience With COVID-19 Survey",Recruiting,NA,NA,1500,Anticipated,HealthTree Foundation,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,Visit the HealthTree Foundation's online patient portal: HealthTree Cure Hub For Multiple Myeloma,http://healthtree.org,Yes,"The HealthTree foundation values responsible and ethical sharing of data from clinical trials. De-identified patient responses to the questionnaire will be aggregated and shared back with the patient. Additionally, portions of the de-identified results will be shared with the research community through publications (abstracts, reports, manuscripts).",2021-02-01T11:38:15Z,2021-02-01T11:38:15Z
NCT04725097,"ClinicalTrials.gov processed this data on January 29, 2021",1/25/2021,NA,NA,1/25/2021,1/25/2021,1/26/2021,Actual,NA,NA,NA,NA,NA,NA,1/25/2021,1/26/2021,Actual,10-Dec-20,Actual,12/10/2020,Jan-21,1/31/2021,30-Aug-21,Anticipated,8/30/2021,31-Jul-21,Anticipated,7/31/2021,NA,Observational,NA,,A Study to Evaluate Rapid Throughput Screening for Human COVID-19 Infection,Rapid Throughput Screening for Human COVID-19 Infection: A ECG Study,Recruiting,NA,NA,10000,Anticipated,Mayo Clinic,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:38:31Z,2021-02-01T11:38:31Z
NCT04725084,"ClinicalTrials.gov processed this data on January 29, 2021",1/21/2021,NA,NA,1/25/2021,1/25/2021,1/26/2021,Actual,NA,NA,NA,NA,NA,NA,1/25/2021,1/26/2021,Actual,1-Jul-20,Actual,7/1/2020,Jan-21,1/31/2021,15-Dec-20,Actual,12/15/2020,15-Dec-20,Actual,12/15/2020,NA,Observational,SONIC-19,,Comparison of Non-invasive Oxygenation Strategies in Patients Admitted for Covid-19 Acute Respiratory Distress Syndrome,Comparison of Non-invasive Oxygenation Strategies in ICU Patients Admitted for Covid-19 Acute Respiratory Distress Syndrome,Completed,NA,NA,300,Actual,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer,,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:38:31Z,2021-02-01T11:38:31Z
NCT04719182,"ClinicalTrials.gov processed this data on January 29, 2021",1/18/2021,NA,NA,1/20/2021,1/20/2021,1/22/2021,Actual,NA,NA,NA,NA,NA,NA,1/20/2021,1/22/2021,Actual,1-Sep-20,Actual,9/1/2020,Jan-21,1/31/2021,1-Jul-21,Anticipated,7/1/2021,1-Jan-21,Actual,1/1/2021,NA,Observational,PRoAcT-COVID,,Practice of Adjunctive Treatments in Intensive Care Unit Patients With COVID-19,Practice of Adjunctive Treatments in Intensive Care Unit Patients With Coronavirus Disease 2019 (PRoAcT-COVID) - an Observational Study in the Netherlands,"Active, not recruiting",NA,NA,1000,Anticipated,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-02-01T11:39:12Z,2021-02-01T11:39:12Z
NCT04718519,"ClinicalTrials.gov processed this data on January 29, 2021",1/20/2021,NA,NA,1/20/2021,1/20/2021,1/22/2021,Actual,NA,NA,NA,NA,NA,NA,1/20/2021,1/22/2021,Actual,22-Jun-20,Actual,6/22/2020,Jan-21,1/31/2021,11-Oct-20,Actual,10/11/2020,11-Oct-20,Actual,10/11/2020,NA,Observational,NA,,Individual and Institutional Resilience in Migrant Workers During the COVID-19 Pandemic,Individual and Institutional Resilience in Migrant Workers During the COVID-19 Pandemic,Completed,NA,NA,1288,Actual,Yale-NUS College,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,"Due to stipulations by the Institutional Review Board, data cannot be shared.",2021-02-01T11:39:16Z,2021-02-01T11:39:16Z
NCT04717024,"ClinicalTrials.gov processed this data on January 29, 2021",1/19/2021,NA,NA,1/19/2021,1/19/2021,1/20/2021,Actual,NA,NA,NA,NA,NA,NA,1/19/2021,1/20/2021,Actual,15-Sep-20,Actual,9/15/2020,Jan-21,1/31/2021,31-Dec-21,Anticipated,12/31/2021,31-Dec-21,Anticipated,12/31/2021,NA,Observational,NanoCOAT,,The Nanowear Wearable Covid-19 Observational and Analysis Trend,The Nanowear Wearable Covid-19 Observational and Analysis Trend,Recruiting,NA,NA,100,Anticipated,Nanowear Inc.,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:39:26Z,2021-02-01T11:39:26Z
NCT04716088,"ClinicalTrials.gov processed this data on January 29, 2021",1/15/2021,NA,NA,1/20/2021,1/18/2021,1/20/2021,Actual,NA,NA,NA,NA,NA,NA,1/20/2021,1/22/2021,Actual,18-Nov-20,Actual,11/18/2020,Jan-21,1/31/2021,22-Dec-20,Actual,12/22/2020,2-Dec-20,Actual,12/2/2020,NA,Observational,NA,,Rapid Antigen Testing for SARS-CoV-2 Among Healthcare Workers to Prevent Spread of COVID-19,Usefulness of Rapid Antigen Testing for SARS-CoV-2 Among Healthcare Workers to Prevent Spread of COVID-19 in the Hospital: a Pilot Study,Completed,NA,NA,36,Actual,The University Clinic of Pulmonary and Allergic Diseases Golnik,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,IPD are available on request from PI.,2021-02-01T11:39:34Z,2021-02-01T11:39:34Z
NCT04716023,"ClinicalTrials.gov processed this data on January 29, 2021",7/2/2020,NA,NA,1/18/2021,1/18/2021,1/20/2021,Actual,NA,NA,NA,NA,NA,NA,1/18/2021,1/20/2021,Actual,23-Aug-19,Actual,8/23/2019,Jan-21,1/31/2021,2-Feb-22,Anticipated,2/2/2022,22-Aug-21,Anticipated,8/22/2021,NA,Observational,PASSPORT,,Physiology and Structure of the Small Airways in Patients With Chronic Airflow Obstruction or COVID-19,Physiology and Structure of the Small Airways in Patients With Chronic Airflow Obstruction or COVID-19,Recruiting,NA,NA,42,Anticipated,Imperial College London,,NA,1,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:39:34Z,2021-02-01T11:39:34Z
NCT04715477,"ClinicalTrials.gov processed this data on January 29, 2021",1/15/2021,NA,NA,1/16/2021,1/16/2021,1/20/2021,Actual,NA,NA,NA,NA,NA,NA,1/16/2021,1/20/2021,Actual,17-Jan-21,Anticipated,1/17/2021,Jan-21,1/31/2021,15-Apr-21,Anticipated,4/15/2021,1-Apr-21,Anticipated,4/1/2021,NA,Observational,NA,,Intensive Care Anxiety in SARS-CoV-2 Patients,Intensive Care Anxiety in SARS-CoV-2 (COVID 19) Patients,Recruiting,NA,NA,100,Anticipated,Derince Training and Research Hospital,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:39:37Z,2021-02-01T11:39:37Z
NCT04715919,"ClinicalTrials.gov processed this data on January 29, 2021",12/28/2020,NA,NA,1/19/2021,1/19/2021,1/20/2021,Actual,NA,NA,NA,NA,NA,NA,1/19/2021,1/20/2021,Actual,15-Jan-21,Actual,1/15/2021,Jan-21,1/31/2021,1-Jun-21,Anticipated,6/1/2021,1-Jun-21,Anticipated,6/1/2021,NA,Observational,NA,,Long Term Outcomes of Coronavirus Disease-19 (COVID-19),"Long Term Outcomes in Patients With Coronavirus Disease-19 (COVID-19) on Pulmonary Functions, Exercise Capacity, Lung Structure and Quality of Life",Recruiting,NA,NA,80,Anticipated,Izmir Dr Suat Seren Chest Diseases and Surgery Education and Research Hospital,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:39:34Z,2021-02-01T11:39:34Z
NCT04714515,"ClinicalTrials.gov processed this data on January 29, 2021",9/19/2020,NA,NA,1/15/2021,1/15/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/15/2021,1/19/2021,Actual,20-Feb-20,Actual,2/20/2020,Jan-21,1/31/2021,20-Apr-20,Actual,4/20/2020,30-Mar-20,Actual,3/30/2020,NA,Observational,NA,,Montelukast - a Treatment Choice for COVID-19,Using Montelukast to Treat the Patients Infected With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),Completed,NA,NA,150,Actual,University of Sargodha,,NA,4,NA,FALSE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,Samples With DNA,"
      Nasal Swab samples
    ",NA,NA,NA,Undecided,NA,2021-02-01T11:39:44Z,2021-02-01T11:39:44Z
NCT04714333,"ClinicalTrials.gov processed this data on January 29, 2021",1/15/2021,NA,NA,1/19/2021,1/15/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/19/2021,1/22/2021,Actual,6-May-20,Actual,5/6/2020,Jan-21,1/31/2021,5-May-21,Anticipated,5/5/2021,5-May-21,Anticipated,5/5/2021,NA,Observational,Covid-VOC,,Detection of Covid-19 by Volatile Organic Compounds in Exhaled Breath,Detection of COVID-19 by Volatile Organic Compounds in Exhaled Breath (VOCs) - a Pilot Study,Enrolling by invitation,NA,NA,1000,Anticipated,British Columbia Cancer Agency,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:39:45Z,2021-02-01T11:39:45Z
NCT04714125,"ClinicalTrials.gov processed this data on January 29, 2021",1/14/2021,NA,NA,1/15/2021,1/15/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/15/2021,1/19/2021,Actual,19-Jun-20,Actual,6/19/2020,Jan-21,1/31/2021,1-Jun-22,Anticipated,6/1/2022,1-Feb-21,Anticipated,2/1/2021,NA,Observational,NA,,Prognostic Value of Flow-mediated Dilation in Hospitalized COVID-19 Patients,Prognostic Value of Flow-mediated Dilation in Hospitalized Patients With SARS-CoV-2 Infection: an Observational Prospective Study,Recruiting,NA,NA,250,Anticipated,University of Sao Paulo General Hospital,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:39:48Z,2021-02-01T11:39:48Z
NCT04713852,"ClinicalTrials.gov processed this data on January 29, 2021",1/15/2021,NA,NA,1/15/2021,1/15/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/15/2021,1/19/2021,Actual,13-Mar-20,Actual,3/13/2020,Jan-21,1/31/2021,31-Dec-20,Actual,12/31/2020,30-Sep-20,Actual,9/30/2020,NA,Observational,NA,,Predictive Value of SOFA and APACHE Scores for In-hospital Mortality in COVID-19 ICU Patients,Predictive Value of SOFA and APACHE Scores for In-hospital Mortality in COVID-19 ICU Patients: a Longitudinal Single-center Study,Completed,NA,NA,116,Actual,Jessa Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:39:49Z,2021-02-01T11:39:49Z
NCT04714008,"ClinicalTrials.gov processed this data on January 29, 2021",1/14/2021,NA,NA,1/15/2021,1/15/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/15/2021,1/19/2021,Actual,1-Dec-20,Actual,12/1/2020,Jan-21,1/31/2021,31-Dec-22,Anticipated,12/31/2022,31-Dec-22,Anticipated,12/31/2022,NA,Observational,CONGA,,Covid-19 and ONline GAmbling,Impact of the COVID-19 Pandemic on Online Gambling in France and Sweden,Recruiting,NA,NA,180000,Anticipated,Nantes University Hospital,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:39:48Z,2021-02-01T11:39:48Z
NCT04714138,"ClinicalTrials.gov processed this data on January 29, 2021",1/14/2021,NA,NA,1/22/2021,1/14/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/22/2021,1/25/2021,Actual,5-Jan-21,Actual,1/5/2021,Dec-20,12/31/2020,15-Mar-21,Anticipated,3/15/2021,20-Feb-21,Anticipated,2/20/2021,NA,Observational,TELECOVID,,Remote Video Consultation for Quality of Life Assessment in Patients Hospitalised After COVID-19 Infection,Remote Evaluation of Quality of Life and Functional Capacities in Patients Hospitalised for COVID-19: a Prospective Observational Study,Recruiting,NA,NA,190,Anticipated,Groupe Hospitalier du Havre,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-02-01T11:39:47Z,2021-02-01T11:39:47Z
NCT04713540,"ClinicalTrials.gov processed this data on January 29, 2021",1/14/2021,NA,NA,1/19/2021,1/15/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/19/2021,1/20/2021,Actual,1-Jan-21,Actual,1/1/2021,Jan-21,1/31/2021,1-May-21,Anticipated,5/1/2021,1-Apr-21,Anticipated,4/1/2021,NA,Observational,NA,,Rehabilitation in Intensive Care Unit,The Intensive Care Rehabilitation Experiences of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Patients of Pandemic Hospital in Turkey,Recruiting,NA,NA,58,Anticipated,Bakirkoy Dr. Sadi Konuk Research and Training Hospital,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:39:52Z,2021-02-01T11:39:52Z
NCT04713150,"ClinicalTrials.gov processed this data on January 29, 2021",12/17/2020,NA,NA,1/14/2021,1/14/2021,1/19/2021,Actual,NA,NA,NA,NA,NA,NA,1/14/2021,1/19/2021,Actual,5-Oct-20,Actual,10/5/2020,Jan-21,1/31/2021,Nov-21,Anticipated,11/30/2021,Sep-21,Anticipated,9/30/2021,NA,Observational,NA,,HEALthy Brain and Child Development Study - COVID-19 Supplement,HEALthy Brain and Child Development Study - COVID-19 Supplement,Recruiting,NA,NA,75,Anticipated,Boston Children's Hospital,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-02-01T11:39:55Z,2021-02-01T11:39:55Z
